FileName = C:\Users\skinner\Documents\Customers\Global Foundries\ALD\Malta\300137135 RTA2471 Lots Beign Rejected\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_03

LogCount = 100
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit"
"0","03/21","20:54:28","Send","S1F0","","03B5","OFF",
"1","03/21","20:24:57","Send","S1F0","","033E","OFF",
"2","03/21","20:24:25","Send","S1F18","","033B","OFF",
"3","03/21","20:24:25","Recv","S1F17","","033B","ON",
"4","03/21","20:24:25","Send","S1F14","","033A","OFF",
"5","03/21","20:24:25","Recv","S1F13","","033A","ON",
"6","03/21","20:23:55","Send","S1F18","","0338","OFF",
"7","03/21","20:23:55","Recv","S1F17","","0338","ON",
"8","03/21","20:23:55","Send","S1F14","","0337","OFF",
"9","03/21","20:23:55","Recv","S1F13","","0337","ON",
"10","03/21","20:23:26","Recv","S6F12","","000E","OFF",
"11","03/21","20:23:26","Send","S6F11","69648 (11010h)","000E","ON",
"12","03/21","20:23:25","Send","S1F18","","0335","OFF",
"13","03/21","20:23:25","Recv","S1F17","","0335","ON",
"14","03/21","20:23:25","Send","S1F14","","0334","OFF",
"15","03/21","20:23:25","Recv","S1F13","","0334","ON",
"16","03/21","20:23:25","Recv","S1F14","","000D","OFF",
"17","03/21","20:23:25","Send","S1F13","","000D","ON",
"18","03/21","20:22:57","Recv","S5F2","","000C","OFF",
"19","03/21","20:22:57","Send","S5F1","","000C","ON",
"20","03/21","20:22:57","Recv","S5F2","","000B","OFF",
"21","03/21","20:22:57","Send","S5F1","","000B","ON",
"22","03/21","20:22:57","Recv","S5F2","","000A","OFF",
"23","03/21","20:22:57","Recv","S5F2","","0009","OFF",
"24","03/21","20:22:57","Send","S5F1","","000A","ON",
"25","03/21","20:22:57","Send","S5F1","","0009","ON",
"26","03/21","20:22:57","Recv","S5F2","","0008","OFF",
"27","03/21","20:22:57","Send","S5F1","","0008","ON",
"28","03/21","20:22:57","Recv","S5F2","","0007","OFF",
"29","03/21","20:22:57","Send","S5F1","","0007","ON",
"30","03/21","20:22:57","Recv","S5F2","","0006","OFF",
"31","03/21","20:22:57","Send","S5F1","","0006","ON",
"32","03/21","20:22:57","Recv","S5F2","","0005","OFF",
"33","03/21","20:22:57","Send","S5F1","","0005","ON",
"34","03/21","20:22:57","Recv","S5F2","","0004","OFF",
"35","03/21","20:22:57","Send","S5F1","","0004","ON",
"36","03/21","20:22:57","Recv","S5F2","","0003","OFF",
"37","03/21","20:22:57","Send","S5F1","","0003","ON",
"38","03/21","20:22:57","Recv","S5F2","","0002","OFF",
"39","03/21","20:22:57","Send","S5F1","","0002","ON",
"40","03/21","20:22:57","Recv","S5F2","","0001","OFF",
"41","03/21","20:22:57","Send","S5F1","","0001","ON",
"42","03/21","19:15:52","Send","S1F0","","032D","OFF",
"43","03/21","19:15:20","Send","S1F18","","032A","OFF",
