FileName = C:\Users\tnguyen02\Documents\02-OneComm Escalation\GF\300138324-Self Reboot\LogCC-20180415-20180415060839-01\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_95

LogCount = 341
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit"
"0","04/15","04:32:36","Send","S14F2","","11F8","OFF",
"1","04/15","04:32:36","Recv","S14F1","","11F8","ON",
"2","04/15","04:32:36","Send","S14F2","","11F4","OFF",
"3","04/15","04:32:36","Recv","S14F1","","11F4","ON",
"4","04/15","04:32:35","Send","S2F30","","11F2","OFF",
"5","04/15","04:32:32","Recv","S2F29","","11F2","ON",
"6","04/15","04:32:30","Send","S6F11","106544 (1A030h)","014C","OFF",
"7","04/15","04:32:30","Send","S3F28","","11EF","OFF",
"8","04/15","04:32:29","Recv","S3F27","","11EF","ON",
"9","04/15","04:32:04","Send","S6F11","107248 (1A2F0h)","014B","OFF",
"10","04/15","04:32:02","Send","S6F11","107232 (1A2E0h)","014A","OFF",
"11","04/15","04:32:01","Send","S6F11","107392 (1A380h)","0149","OFF",
"12","04/15","04:31:40","Send","S6F11","94368 (170A0h)","0148","OFF",
"13","04/15","04:31:39","Send","S6F11","73744 (12010h)","0147","OFF",
"14","04/15","04:07:11","Send","S14F2","","1189","OFF",
"15","04/15","04:07:11","Recv","S14F1","","1189","ON",
"16","04/15","04:07:11","Send","S14F2","","1185","OFF",
"17","04/15","04:07:11","Recv","S14F1","","1185","ON",
"18","04/15","04:07:11","Send","S2F30","","1183","OFF",
"19","04/15","04:07:07","Recv","S2F29","","1183","ON",
"20","04/15","04:07:07","Send","S6F11","69680 (11030h)","0146","OFF",
"21","04/15","04:07:05","Send","S6F11","69664 (11020h)","0145","OFF",
"22","04/15","03:54:40","Send","S1F0","","114E","OFF",
"23","04/15","03:54:39","Send","S6F11","69648 (11010h)","0143","OFF",
"24","04/15","03:54:39","Recv","S1F14","","0142","OFF",
"25","04/15","03:54:39","Send","S1F13","","0142","ON",
"26","04/15","03:54:07","Send","S6F11","69648 (11010h)","0141","OFF",
"27","04/15","03:54:04","Send","S6F11","106832 (1A150h)","0140","OFF",
"28","04/15","03:54:03","Send","S6F11","69664 (11020h)","013F","OFF",
"29","04/15","03:53:50","Send","S6F11","107232 (1A2E0h)","013E","OFF",
"30","04/15","03:53:50","Send","S6F11","94368 (170A0h)","013D","OFF",
"31","04/15","03:53:33","Send","S6F11","107264 (1A300h)","013C","OFF",
"32","04/15","03:53:30","Send","S6F11","107392 (1A380h)","013B","OFF",
"33","04/15","03:53:27","Send","S6F11","94432 (170E0h)","013A","OFF",
"34","04/15","03:53:24","Send","S6F11","119040 (1D100h)","0139","OFF",
"35","04/15","03:53:24","Send","S6F11","118896 (1D070h)","0138","OFF",
"36","04/15","03:53:24","Send","S6F11","119040 (1D100h)","0137","OFF",
"37","04/15","03:53:24","Send","S6F11","118896 (1D070h)","0136","OFF",
"38","04/15","03:53:24","Send","S6F11","119040 (1D100h)","0135","OFF",
"39","04/15","03:53:24","Send","S6F11","118896 (1D070h)","0134","OFF",
"40","04/15","03:53:24","Send","S6F11","119040 (1D100h)","0133","OFF",
"41","04/15","03:53:24","Send","S6F11","118896 (1D070h)","0132","OFF",
"42","04/15","03:53:24","Send","S6F11","119040 (1D100h)","0131","OFF",
"43","04/15","03:53:24","Send","S6F11","118896 (1D070h)","0130","OFF",
"44","04/15","03:53:24","Send","S6F11","119040 (1D100h)","012F","OFF",
"45","04/15","03:53:23","Send","S6F11","118896 (1D070h)","012E","OFF",
"46","04/15","03:53:23","Send","S6F11","119040 (1D100h)","012D","OFF",
"47","04/15","03:53:23","Send","S6F11","118896 (1D070h)","012C","OFF",
"48","04/15","03:53:23","Send","S6F11","119040 (1D100h)","012B","OFF",
"49","04/15","03:53:23","Send","S6F11","118896 (1D070h)","012A","OFF",
"50","04/15","03:53:23","Send","S6F11","119040 (1D100h)","0129","OFF",
"51","04/15","03:53:23","Send","S6F11","118896 (1D070h)","0128","OFF",
"52","04/15","03:53:23","Send","S6F11","119040 (1D100h)","0127","OFF",
"53","04/15","03:53:23","Send","S6F11","118896 (1D070h)","0126","OFF",
"54","04/15","03:53:23","Send","S6F11","119040 (1D100h)","0125","OFF",
"55","04/15","03:53:23","Send","S6F11","118896 (1D070h)","0124","OFF",
"56","04/15","03:53:23","Send","S6F11","119040 (1D100h)","0123","OFF",
"57","04/15","03:53:23","Send","S6F11","118896 (1D070h)","0122","OFF",
"58","04/15","03:53:23","Send","S6F11","119040 (1D100h)","0121","OFF",
"59","04/15","03:53:23","Send","S6F11","118896 (1D070h)","0120","OFF",
"60","04/15","03:53:22","Send","S6F11","119040 (1D100h)","011F","OFF",
"61","04/15","03:53:22","Send","S6F11","118896 (1D070h)","011E","OFF",
"62","04/15","03:53:22","Send","S6F11","119040 (1D100h)","011D","OFF",
"63","04/15","03:53:22","Send","S6F11","118896 (1D070h)","011C","OFF",
"64","04/15","03:53:22","Send","S6F11","119040 (1D100h)","011B","OFF",
"65","04/15","03:53:22","Send","S6F11","118896 (1D070h)","011A","OFF",
"66","04/15","03:53:22","Send","S6F11","119040 (1D100h)","0119","OFF",
"67","04/15","03:53:22","Send","S6F11","118896 (1D070h)","0118","OFF",
"68","04/15","03:53:22","Send","S6F11","119040 (1D100h)","0117","OFF",
"69","04/15","03:53:22","Send","S6F11","118896 (1D070h)","0116","OFF",
"70","04/15","03:53:22","Send","S6F11","119040 (1D100h)","0115","OFF",
"71","04/15","03:53:22","Send","S6F11","118896 (1D070h)","0114","OFF",
"72","04/15","03:53:21","Send","S6F11","119040 (1D100h)","0113","OFF",
"73","04/15","03:53:21","Send","S6F11","118896 (1D070h)","0112","OFF",
"74","04/15","03:53:21","Send","S6F11","119040 (1D100h)","0111","OFF",
"75","04/15","03:53:21","Send","S6F11","118896 (1D070h)","0110","OFF",
"76","04/15","03:53:06","Send","S6F11","73744 (12010h)","010F","OFF",
"77","04/15","03:52:45","Send","S6F11","107152 (1A290h)","010E","OFF",
"78","04/15","03:52:45","Send","S6F11","107120 (1A270h)","010D","OFF",
"79","04/15","03:52:45","Send","S6F11","73744 (12010h)","010C","OFF",
"80","04/15","03:52:43","Send","S6F11","107136 (1A280h)","010B","OFF",
"81","04/15","03:52:43","Send","S6F11","73744 (12010h)","010A","OFF",
"82","04/15","03:51:45","Send","S6F11","107152 (1A290h)","0109","OFF",
"83","04/15","03:51:45","Send","S6F11","107120 (1A270h)","0108","OFF",
"84","04/15","03:51:45","Send","S6F11","73744 (12010h)","0107","OFF",
"85","04/15","03:50:19","Send","S6F11","69680 (11030h)","0106","OFF",
"86","04/15","03:49:59","Send","S6F11","73744 (12010h)","0105","OFF",
"87","04/15","03:49:37","Send","S6F11","119040 (1D100h)","0104","OFF",
"88","04/15","03:49:37","Send","S6F11","118896 (1D070h)","0103","OFF",
"89","04/15","03:49:37","Send","S6F11","119040 (1D100h)","0102","OFF",
"90","04/15","03:49:36","Send","S6F11","118896 (1D070h)","0101","OFF",
"91","04/15","03:49:36","Send","S6F11","119040 (1D100h)","0100","OFF",
"92","04/15","03:49:36","Send","S6F11","118896 (1D070h)","00FF","OFF",
"93","04/15","03:49:36","Send","S6F11","119040 (1D100h)","00FE","OFF",
"94","04/15","03:49:36","Send","S6F11","118896 (1D070h)","00FD","OFF",
"95","04/15","03:49:36","Send","S6F11","119040 (1D100h)","00FC","OFF",
"96","04/15","03:49:36","Send","S6F11","118896 (1D070h)","00FB","OFF",
"97","04/15","03:49:36","Send","S6F11","119040 (1D100h)","00FA","OFF",
"98","04/15","03:49:36","Send","S6F11","118896 (1D070h)","00F9","OFF",
"99","04/15","03:49:36","Send","S6F11","119040 (1D100h)","00F8","OFF",
"100","04/15","03:49:36","Send","S6F11","118896 (1D070h)","00F7","OFF",
"101","04/15","03:49:36","Send","S6F11","119040 (1D100h)","00F6","OFF",
"102","04/15","03:49:36","Send","S6F11","118896 (1D070h)","00F5","OFF",
"103","04/15","03:49:36","Send","S6F11","119040 (1D100h)","00F4","OFF",
"104","04/15","03:49:36","Send","S6F11","118896 (1D070h)","00F3","OFF",
"105","04/15","03:49:36","Send","S6F11","119040 (1D100h)","00F2","OFF",
"106","04/15","03:49:35","Send","S6F11","118896 (1D070h)","00F1","OFF",
"107","04/15","03:49:35","Send","S6F11","119040 (1D100h)","00F0","OFF",
"108","04/15","03:49:35","Send","S6F11","118896 (1D070h)","00EF","OFF",
"109","04/15","03:49:35","Send","S6F11","119040 (1D100h)","00EE","OFF",
"110","04/15","03:49:35","Send","S6F11","118896 (1D070h)","00ED","OFF",
"111","04/15","03:49:35","Send","S6F11","119040 (1D100h)","00EC","OFF",
"112","04/15","03:49:35","Send","S6F11","118896 (1D070h)","00EB","OFF",
"113","04/15","03:49:35","Send","S6F11","119040 (1D100h)","00EA","OFF",
"114","04/15","03:49:35","Send","S6F11","118896 (1D070h)","00E9","OFF",
