Got SoftRev: 1.78a2 
-> extractFromLog: S1F12 : Total : 15941 
VID : $02000010 : 33554448 : ControlState :
VID : $02000020 : 33554464 : PreviousControlState :
VID : $02010010 : 33619984 : LimitsEnabled :
VID : $02010021 : 33620001 : RC1LimitMaxMinAI0 :
VID : $02010031 : 33620017 : RC1LimitMaxMinAI1 :
VID : $02010041 : 33620033 : RC1LimitMaxMinAI2 :
VID : $02010051 : 33620049 : RC1LimitMaxMinAI3 :
VID : $02010061 : 33620065 : RC1LimitMaxMinAI4 :
VID : $02010071 : 33620081 : RC1LimitMaxMinAI5 :
VID : $02010081 : 33620097 : RC1LimitMaxMinAI6 :
VID : $02010091 : 33620113 : RC1LimitMaxMinAI7 :
VID : $020100a1 : 33620129 : RC1LimitMaxMinAI8 :
VID : $020100b1 : 33620145 : RC1LimitMaxMinAI9 :
VID : $020100c1 : 33620161 : RC1LimitMaxMinAI10 :
VID : $020100d1 : 33620177 : RC1LimitMaxMinAI11 :
VID : $020100e1 : 33620193 : RC1LimitMaxMinAI12 :
VID : $020100f1 : 33620209 : RC1LimitMaxMinAI13 :
VID : $02010101 : 33620225 : RC1LimitMaxMinAI14 :
VID : $02010111 : 33620241 : RC1LimitMaxMinAI15 :
VID : $02010121 : 33620257 : RC1LimitMaxMinAI16 :
VID : $02010131 : 33620273 : RC1LimitMaxMinAI17 :
VID : $02010141 : 33620289 : RC1LimitMaxMinAI18 :
VID : $02010151 : 33620305 : RC1LimitMaxMinAI19 :
VID : $02010161 : 33620321 : RC1LimitMaxMinAI20 :
VID : $02010171 : 33620337 : RC1LimitMaxMinAI21 :
VID : $02010181 : 33620353 : RC1LimitMaxMinAI22 :
VID : $02010191 : 33620369 : RC1LimitMaxMinAI23 :
VID : $020101a1 : 33620385 : RC1LimitMaxMinAI24 :
VID : $020101b1 : 33620401 : RC1LimitMaxMinAI25 :
VID : $020101c1 : 33620417 : RC1LimitMaxMinAI26 :
VID : $020101d1 : 33620433 : RC1LimitMaxMinAI27 :
VID : $020101e1 : 33620449 : RC1LimitMaxMinAI28 :
VID : $020101f1 : 33620465 : RC1LimitMaxMinAI29 :
VID : $02010201 : 33620481 : RC1LimitMaxMinAI30 :
VID : $02010211 : 33620497 : RC1LimitMaxMinAI31 :
VID : $02010221 : 33620513 : RC1LimitMaxMinAI32 :
VID : $02010231 : 33620529 : RC1LimitMaxMinAI33 :
VID : $02010241 : 33620545 : RC1LimitMaxMinAI34 :
VID : $02010251 : 33620561 : RC1LimitMaxMinAI35 :
VID : $02010261 : 33620577 : RC1LimitMaxMinAI36 :
VID : $02010271 : 33620593 : RC1LimitMaxMinAI37 :
VID : $02010281 : 33620609 : RC1LimitMaxMinAI38 :
VID : $02010291 : 33620625 : RC1LimitMaxMinAI39 :
VID : $020102a1 : 33620641 : RC1LimitMaxMinAI40 :
VID : $020102b1 : 33620657 : RC1LimitMaxMinAI41 :
VID : $020102c1 : 33620673 : RC1LimitMaxMinAI42 :
VID : $020102d1 : 33620689 : RC1LimitMaxMinAI43 :
VID : $020102e1 : 33620705 : RC1LimitMaxMinAI44 :
VID : $020102f1 : 33620721 : RC1LimitMaxMinAI45 :
VID : $02010301 : 33620737 : RC1LimitMaxMinAI46 :
VID : $02010311 : 33620753 : RC1LimitMaxMinAI47 :
VID : $02010321 : 33620769 : RC1LimitMaxMinAI48 :
VID : $02010331 : 33620785 : RC1LimitMaxMinAI49 :
VID : $02010341 : 33620801 : RC1LimitMaxMinAI50 :
VID : $02010351 : 33620817 : RC1LimitMaxMinAI51 :
VID : $02010361 : 33620833 : RC1LimitMaxMinAI52 :
VID : $02010371 : 33620849 : RC1LimitMaxMinAI53 :
VID : $02010381 : 33620865 : RC1LimitMaxMinAI54 :
VID : $02010391 : 33620881 : RC1LimitMaxMinAI55 :
VID : $020103a1 : 33620897 : RC1LimitMaxMinAI56 :
VID : $020103b1 : 33620913 : RC1LimitMaxMinAI57 :
VID : $020103c1 : 33620929 : RC1LimitMaxMinAI58 :
VID : $020103d1 : 33620945 : RC1LimitMaxMinAI59 :
VID : $020103e1 : 33620961 : RC1LimitMaxMinAI60 :
VID : $020103f1 : 33620977 : RC1LimitMaxMinAI61 :
VID : $02010401 : 33620993 : RC1LimitMaxMinAI62 :
VID : $02010411 : 33621009 : RC1LimitMaxMinAI63 :
VID : $02010022 : 33620002 : RC2LimitMaxMinAI0 :
VID : $02010032 : 33620018 : RC2LimitMaxMinAI1 :
VID : $02010042 : 33620034 : RC2LimitMaxMinAI2 :
VID : $02010052 : 33620050 : RC2LimitMaxMinAI3 :
VID : $02010062 : 33620066 : RC2LimitMaxMinAI4 :
VID : $02010072 : 33620082 : RC2LimitMaxMinAI5 :
VID : $02010082 : 33620098 : RC2LimitMaxMinAI6 :
VID : $02010092 : 33620114 : RC2LimitMaxMinAI7 :
VID : $020100a2 : 33620130 : RC2LimitMaxMinAI8 :
VID : $020100b2 : 33620146 : RC2LimitMaxMinAI9 :
VID : $020100c2 : 33620162 : RC2LimitMaxMinAI10 :
VID : $020100d2 : 33620178 : RC2LimitMaxMinAI11 :
VID : $020100e2 : 33620194 : RC2LimitMaxMinAI12 :
VID : $020100f2 : 33620210 : RC2LimitMaxMinAI13 :
VID : $02010102 : 33620226 : RC2LimitMaxMinAI14 :
VID : $02010112 : 33620242 : RC2LimitMaxMinAI15 :
VID : $02010122 : 33620258 : RC2LimitMaxMinAI16 :
