Got SoftRev: 1.78a2 
-> extractFromLog: S1F22 : Total : 2429 
VID : $05010010 : 83951632 : EventLimit :
VID : $05010020 : 83951648 : LimitsVariable :
VID : $05010030 : 83951664 : TransitionType :
VID : $05030010 : 84082704 : SpoolTransmitFailure :
VID : $05040010 : 84148240 : AlarmID :
VID : $05040020 : 84148256 : AlarmStatus :
VID : $05040030 : 84148272 : AlarmStateMsg :
VID : $05050010 : 84213776 : EquipmentConstantID :
VID : $05050020 : 84213792 : OperatorId :
VID : $05050030 : 84213808 : PPChangeStatus :
VID : $05050040 : 84213824 : PPChangeName :
VID : $050547a0 : 84232096 : PPChangeMethod :
VID : $05050060 : 84213856 : PPCheck :
VID : $05050070 : 84213872 : PPCheckMsg :
VID : $05050080 : 84213888 : PPExecName :
VID : $05050090 : 84213904 : OperatorCommand :
VID : $050500a0 : 84213920 : CommandOption :
VID : $050500b0 : 84213936 : PreviousCommand :
VID : $05050100 : 84214016 : ProcRCRound :
VID : $05050110 : 84214032 : ProcPPName :
VID : $05050120 : 84214048 : ProcProRcpName :
VID : $05050130 : 84214064 : ProcRC :
VID : $05050140 : 84214080 : ProcRCSeq :
VID : $05050150 : 84214096 : ProcRCStepData :
VID : $05050160 : 84214112 : ProcStartTime :
VID : $05050170 : 84214128 : ProcEndTime :
VID : $05050180 : 84214144 : ProcEndState :
VID : $05050190 : 84214160 : ProcWC :
VID : $050501a0 : 84214176 : ProcWS :
VID : $050501b0 : 84214192 : ProcRealWC :
VID : $050501c0 : 84214208 : ProcSetWC :
VID : $050501d0 : 84214224 : ProcRCPrsDataFirst :
VID : $050501e0 : 84214240 : ProcRCPrsDataFinish :
VID : $050501f0 : 84214256 : ProcRCPrsDataMax :
VID : $05050200 : 84214272 : ProcRCPrsDataMin :
VID : $05050210 : 84214288 : ProcRCPrsTime :
VID : $05050280 : 84214400 : ProcRCDepoCount1 :
VID : $05050290 : 84214416 : ProcRCDepoCount2 :
VID : $050502a0 : 84214432 : ProcRCDepoCount3 :
VID : $050502b0 : 84214448 : ProcRCDepoCount4 :
VID : $050502c0 : 84214464 : ProcRCDepoCount5 :
VID : $050502d0 : 84214480 : ProcRCDepoCount6 :
VID : $050502e0 : 84214496 : ProcRCDepoCount7 :
VID : $050502f0 : 84214512 : ProcRCDepoCount8 :
VID : $05050300 : 84214528 : ProcRCDepoCount9 :
VID : $05050310 : 84214544 : ProcRCDepoCount10 :
VID : $05050320 : 84214560 : ProcRCDepoCount11 :
VID : $05050330 : 84214576 : ProcRCDepoCount12 :
VID : $05050340 : 84214592 : ProcRCDepoCount13 :
VID : $05050350 : 84214608 : ProcRCDepoCount14 :
VID : $05050360 : 84214624 : ProcRCDepoCount15 :
VID : $05050370 : 84214640 : ProcRCDepoCount16 :
VID : $05050380 : 84214656 : ProcRCDepoCount17 :
VID : $05050390 : 84214672 : ProcRCDepoCount18 :
VID : $050503a0 : 84214688 : ProcRCDepoCount19 :
VID : $050503b0 : 84214704 : ProcRCDepoCount20 :
VID : $050503c0 : 84214720 : ProcRCEtchCount1 :
VID : $050503d0 : 84214736 : ProcRCEtchCount2 :
VID : $050503e0 : 84214752 : ProcRCEtchCount3 :
VID : $050503f0 : 84214768 : ProcRCEtchCount4 :
VID : $05050400 : 84214784 : ProcRCEtchCount5 :
VID : $05050410 : 84214800 : ProcRCEtchCount6 :
VID : $05050420 : 84214816 : ProcRCEtchCount7 :
VID : $05050430 : 84214832 : ProcRCEtchCount8 :
VID : $05050440 : 84214848 : ProcRCEtchCount9 :
VID : $05050450 : 84214864 : ProcRCEtchCount10 :
VID : $05050460 : 84214880 : ProcRCEtchCount11 :
VID : $05050470 : 84214896 : ProcRCEtchCount12 :
VID : $05050480 : 84214912 : ProcRCEtchCount13 :
VID : $05050490 : 84214928 : ProcRCEtchCount14 :
VID : $050504a0 : 84214944 : ProcRCEtchCount15 :
VID : $050504b0 : 84214960 : ProcRCEtchCount16 :
VID : $050504c0 : 84214976 : ProcRCEtchCount17 :
VID : $050504d0 : 84214992 : ProcRCEtchCount18 :
VID : $050504e0 : 84215008 : ProcRCEtchCount19 :
VID : $050504f0 : 84215024 : ProcRCEtchCount20 :
VID : $05050500 : 84215040 : ProcRCDataMaxAI0 :
VID : $05050510 : 84215056 : ProcRCDataMaxAI1 :
VID : $05050520 : 84215072 : ProcRCDataMaxAI2 :
VID : $05050530 : 84215088 : ProcRCDataMaxAI3 :
VID : $05050540 : 84215104 : ProcRCDataMaxAI4 :
VID : $05050550 : 84215120 : ProcRCDataMaxAI5 :
VID : $05050560 : 84215136 : ProcRCDataMaxAI6 :
VID : $05050570 : 84215152 : ProcRCDataMaxAI7 :
VID : $05050580 : 84215168 : ProcRCDataMaxAI8 :
VID : $05050590 : 84215184 : ProcRCDataMaxAI9 :
VID : $050505a0 : 84215200 : ProcRCDataMaxAI10 :
VID : $050505b0 : 84215216 : ProcRCDataMaxAI11 :
VID : $050505c0 : 84215232 : ProcRCDataMaxAI12 :
VID : $050505d0 : 84215248 : ProcRCDataMaxAI13 :
VID : $050505e0 : 84215264 : ProcRCDataMaxAI14 :
VID : $050505f0 : 84215280 : ProcRCDataMaxAI15 :
VID : $05050600 : 84215296 : ProcRCDataMaxAI16 :
VID : $05050610 : 84215312 : ProcRCDataMaxAI17 :
VID : $05050620 : 84215328 : ProcRCDataMaxAI18 :
VID : $05050630 : 84215344 : ProcRCDataMaxAI19 :
VID : $05050640 : 84215360 : ProcRCDataMaxAI20 :
VID : $05050650 : 84215376 : ProcRCDataMaxAI21 :
VID : $05050660 : 84215392 : ProcRCDataMaxAI22 :
VID : $05050670 : 84215408 : ProcRCDataMaxAI23 :
VID : $05050680 : 84215424 : ProcRCDataMaxAI24 :
VID : $05050690 : 84215440 : ProcRCDataMaxAI25 :
VID : $050506a0 : 84215456 : ProcRCDataMaxAI26 :
VID : $050506b0 : 84215472 : ProcRCDataMaxAI27 :
VID : $050506c0 : 84215488 : ProcRCDataMaxAI28 :
VID : $050506d0 : 84215504 : ProcRCDataMaxAI29 :
VID : $050506e0 : 84215520 : ProcRCDataMaxAI30 :
VID : $050506f0 : 84215536 : ProcRCDataMaxAI31 :
VID : $05050700 : 84215552 : ProcRCDataMaxAI32 :
VID : $05050710 : 84215568 : ProcRCDataMaxAI33 :
VID : $05050720 : 84215584 : ProcRCDataMaxAI34 :
VID : $05050730 : 84215600 : ProcRCDataMaxAI35 :
VID : $05050740 : 84215616 : ProcRCDataMaxAI36 :
VID : $05050750 : 84215632 : ProcRCDataMaxAI37 :
VID : $05050760 : 84215648 : ProcRCDataMaxAI38 :
VID : $05050770 : 84215664 : ProcRCDataMaxAI39 :
VID : $05050780 : 84215680 : ProcRCDataMaxAI40 :
VID : $05050790 : 84215696 : ProcRCDataMaxAI41 :
VID : $050507a0 : 84215712 : ProcRCDataMaxAI42 :
VID : $050507b0 : 84215728 : ProcRCDataMaxAI43 :
VID : $050507c0 : 84215744 : ProcRCDataMaxAI44 :
VID : $050507d0 : 84215760 : ProcRCDataMaxAI45 :
VID : $050507e0 : 84215776 : ProcRCDataMaxAI46 :
VID : $050507f0 : 84215792 : ProcRCDataMaxAI47 :
VID : $05050800 : 84215808 : ProcRCDataMaxAI48 :
VID : $05050810 : 84215824 : ProcRCDataMaxAI49 :
VID : $05050820 : 84215840 : ProcRCDataMaxAI50 :
VID : $05050830 : 84215856 : ProcRCDataMaxAI51 :
VID : $05050840 : 84215872 : ProcRCDataMaxAI52 :
VID : $05050850 : 84215888 : ProcRCDataMaxAI53 :
VID : $05050860 : 84215904 : ProcRCDataMaxAI54 :
VID : $05050870 : 84215920 : ProcRCDataMaxAI55 :
VID : $05050880 : 84215936 : ProcRCDataMaxAI56 :
VID : $05050890 : 84215952 : ProcRCDataMaxAI57 :
VID : $050508a0 : 84215968 : ProcRCDataMaxAI58 :
VID : $050508b0 : 84215984 : ProcRCDataMaxAI59 :
VID : $050508c0 : 84216000 : ProcRCDataMaxAI60 :
VID : $050508d0 : 84216016 : ProcRCDataMaxAI61 :
VID : $050508e0 : 84216032 : ProcRCDataMaxAI62 :
VID : $050508f0 : 84216048 : ProcRCDataMaxAI63 :
VID : $05050900 : 84216064 : ProcRCDataMaxTI0 :
VID : $05050910 : 84216080 : ProcRCDataMaxTI1 :
VID : $05050920 : 84216096 : ProcRCDataMaxTI2 :
VID : $05050930 : 84216112 : ProcRCDataMaxTI3 :
VID : $05050940 : 84216128 : ProcRCDataMaxTI4 :
VID : $05050950 : 84216144 : ProcRCDataMaxTI5 :
VID : $05050960 : 84216160 : ProcRCDataMaxTI6 :
VID : $05050970 : 84216176 : ProcRCDataMaxTI7 :
VID : $05050980 : 84216192 : ProcRCDataMaxTI8 :
VID : $05050990 : 84216208 : ProcRCDataMaxTI9 :
VID : $050509a0 : 84216224 : ProcRCDataMaxTI10 :
VID : $050509b0 : 84216240 : ProcRCDataMaxTI11 :
VID : $050509c0 : 84216256 : ProcRCDataMaxTI12 :
VID : $050509d0 : 84216272 : ProcRCDataMaxTI13 :
VID : $050509e0 : 84216288 : ProcRCDataMaxTI14 :
VID : $050509f0 : 84216304 : ProcRCDataMaxTI15 :
VID : $05050a00 : 84216320 : ProcRCDataMaxTI16 :
VID : $05050a10 : 84216336 : ProcRCDataMaxTI17 :
VID : $05050a20 : 84216352 : ProcRCDataMaxTI18 :
VID : $05050a30 : 84216368 : ProcRCDataMaxTI19 :
VID : $05050a40 : 84216384 : ProcRCDataMaxTI20 :
VID : $05050a50 : 84216400 : ProcRCDataMaxTI21 :
VID : $05050a60 : 84216416 : ProcRCDataMaxTI22 :
VID : $05050a70 : 84216432 : ProcRCDataMaxTI23 :
VID : $05050a80 : 84216448 : ProcRCDataMaxTI24 :
VID : $05050a90 : 84216464 : ProcRCDataMaxTI25 :
VID : $05050aa0 : 84216480 : ProcRCDataMaxTI26 :
VID : $05050ab0 : 84216496 : ProcRCDataMaxTI27 :
VID : $05050ac0 : 84216512 : ProcRCDataMaxTI28 :
VID : $05050ad0 : 84216528 : ProcRCDataMaxTI29 :
VID : $05050ae0 : 84216544 : ProcRCDataMaxTI30 :
VID : $05050af0 : 84216560 : ProcRCDataMaxTI31 :
VID : $05050b00 : 84216576 : ProcRCDataMeanAI0 :
VID : $05050b10 : 84216592 : ProcRCDataMeanAI1 :
VID : $05050b20 : 84216608 : ProcRCDataMeanAI2 :
VID : $05050b30 : 84216624 : ProcRCDataMeanAI3 :
VID : $05050b40 : 84216640 : ProcRCDataMeanAI4 :
VID : $05050b50 : 84216656 : ProcRCDataMeanAI5 :
VID : $05050b60 : 84216672 : ProcRCDataMeanAI6 :
VID : $05050b70 : 84216688 : ProcRCDataMeanAI7 :
VID : $05050b80 : 84216704 : ProcRCDataMeanAI8 :
VID : $05050b90 : 84216720 : ProcRCDataMeanAI9 :
VID : $05050ba0 : 84216736 : ProcRCDataMeanAI10 :
