///////////////////////////////////////////////////////////////
// Scripted by THINH NGUYEN
// File: ECIDsFromS2F30.txt
// SoftRev: 1.7600
// Date: Mon Jun 17 21:31:21 2019
//
// This file is to configure all ECIDs. WARNING!!!
// DO NOT_EDIT without reading first.
// All comments should follow the format being used and seen.
// The last line should be an empty line.
//
ECID : $1000010 : 16777232 : EstablishCommunicationTimeout : 
ECID : $1000020 : 16777248 : InitCommState : 
ECID : $1000030 : 16777264 : PollDelay : 
ECID : $1000040 : 16777280 : InitControlState : 
ECID : $1000050 : 16777296 : InitControlOfflineSubState : 
ECID : $1000060 : 16777312 : ControlOnlineFailedState : 
ECID : $1000070 : 16777328 : InitControlOnlineSubState : 
ECID : $1010010 : 16842768 : LimitsDelay : 
ECID : $1030010 : 16973840 : EnableSpooling : 
ECID : $1030030 : 16973872 : MaxSpoolTransmit : 
ECID : $1030040 : 16973888 : OverWriteSpool : 
ECID : $1050010 : 17104912 : MDLN : 
ECID : $1050020 : 17104928 : SOFTREV : 
ECID : $1050030 : 17104944 : TimeFormat : 
ECID : $1050041 : 17104961 : PortUsage1 : 
ECID : $1050042 : 17104962 : PortUsage2 : 
ECID : $1050043 : 17104963 : PortUsage3 : 
ECID : $1050050 : 17104976 : ControlModeSetting : 
ECID : $1050110 : 17105168 : S6F1WBitEnable : 
ECID : $1050120 : 17105184 : S6F11WBitEnable : 
ECID : $1050130 : 17105200 : S5F1WBitEnable : 
ECID : $1050201 : 17105409 : RC1DepoCount1Name : 
ECID : $1050211 : 17105425 : RC1DepoCount2Name : 
ECID : $1050221 : 17105441 : RC1DepoCount3Name : 
ECID : $1050231 : 17105457 : RC1DepoCount4Name : 
ECID : $1050241 : 17105473 : RC1DepoCount5Name : 
ECID : $1050251 : 17105489 : RC1DepoCount6Name : 
ECID : $1050261 : 17105505 : RC1DepoCount7Name : 
ECID : $1050271 : 17105521 : RC1DepoCount8Name : 
ECID : $1050281 : 17105537 : RC1DepoCount9Name : 
ECID : $1050291 : 17105553 : RC1DepoCount10Name : 
ECID : $10502a1 : 17105569 : RC1DepoCount11Name : 
ECID : $10502b1 : 17105585 : RC1DepoCount12Name : 
ECID : $10502c1 : 17105601 : RC1DepoCount13Name : 
ECID : $10502d1 : 17105617 : RC1DepoCount14Name : 
ECID : $10502e1 : 17105633 : RC1DepoCount15Name : 
ECID : $10502f1 : 17105649 : RC1DepoCount16Name : 
ECID : $1050301 : 17105665 : RC1DepoCount17Name : 
ECID : $1050311 : 17105681 : RC1DepoCount18Name : 
ECID : $1050321 : 17105697 : RC1DepoCount19Name : 
ECID : $1050331 : 17105713 : RC1DepoCount20Name : 
ECID : $1050202 : 17105410 : RC2DepoCount1Name : 
ECID : $1050212 : 17105426 : RC2DepoCount2Name : 
ECID : $1050222 : 17105442 : RC2DepoCount3Name : 
ECID : $1050232 : 17105458 : RC2DepoCount4Name : 
ECID : $1050242 : 17105474 : RC2DepoCount5Name : 
ECID : $1050252 : 17105490 : RC2DepoCount6Name : 
ECID : $1050262 : 17105506 : RC2DepoCount7Name : 
ECID : $1050272 : 17105522 : RC2DepoCount8Name : 
ECID : $1050282 : 17105538 : RC2DepoCount9Name : 
ECID : $1050292 : 17105554 : RC2DepoCount10Name : 
ECID : $10502a2 : 17105570 : RC2DepoCount11Name : 
ECID : $10502b2 : 17105586 : RC2DepoCount12Name : 
ECID : $10502c2 : 17105602 : RC2DepoCount13Name : 
ECID : $10502d2 : 17105618 : RC2DepoCount14Name : 
ECID : $10502e2 : 17105634 : RC2DepoCount15Name : 
ECID : $10502f2 : 17105650 : RC2DepoCount16Name : 
ECID : $1050302 : 17105666 : RC2DepoCount17Name : 
ECID : $1050312 : 17105682 : RC2DepoCount18Name : 
ECID : $1050322 : 17105698 : RC2DepoCount19Name : 
ECID : $1050332 : 17105714 : RC2DepoCount20Name : 
ECID : $1050203 : 17105411 : RC3DepoCount1Name : 
ECID : $1050213 : 17105427 : RC3DepoCount2Name : 
ECID : $1050223 : 17105443 : RC3DepoCount3Name : 
ECID : $1050233 : 17105459 : RC3DepoCount4Name : 
ECID : $1050243 : 17105475 : RC3DepoCount5Name : 
ECID : $1050253 : 17105491 : RC3DepoCount6Name : 
ECID : $1050263 : 17105507 : RC3DepoCount7Name : 
ECID : $1050273 : 17105523 : RC3DepoCount8Name : 
ECID : $1050283 : 17105539 : RC3DepoCount9Name : 
ECID : $1050293 : 17105555 : RC3DepoCount10Name : 
ECID : $10502a3 : 17105571 : RC3DepoCount11Name : 
ECID : $10502b3 : 17105587 : RC3DepoCount12Name : 
ECID : $10502c3 : 17105603 : RC3DepoCount13Name : 
ECID : $10502d3 : 17105619 : RC3DepoCount14Name : 
ECID : $10502e3 : 17105635 : RC3DepoCount15Name : 
ECID : $10502f3 : 17105651 : RC3DepoCount16Name : 
ECID : $1050303 : 17105667 : RC3DepoCount17Name : 
ECID : $1050313 : 17105683 : RC3DepoCount18Name : 
ECID : $1050323 : 17105699 : RC3DepoCount19Name : 
ECID : $1050333 : 17105715 : RC3DepoCount20Name : 
ECID : $1050204 : 17105412 : RC4DepoCount1Name : 
ECID : $1050214 : 17105428 : RC4DepoCount2Name : 
ECID : $1050224 : 17105444 : RC4DepoCount3Name : 
ECID : $1050234 : 17105460 : RC4DepoCount4Name : 
ECID : $1050244 : 17105476 : RC4DepoCount5Name : 
ECID : $1050254 : 17105492 : RC4DepoCount6Name : 
ECID : $1050264 : 17105508 : RC4DepoCount7Name : 
ECID : $1050274 : 17105524 : RC4DepoCount8Name : 
ECID : $1050284 : 17105540 : RC4DepoCount9Name : 
ECID : $1050294 : 17105556 : RC4DepoCount10Name : 
ECID : $10502a4 : 17105572 : RC4DepoCount11Name : 
ECID : $10502b4 : 17105588 : RC4DepoCount12Name : 
ECID : $10502c4 : 17105604 : RC4DepoCount13Name : 
ECID : $10502d4 : 17105620 : RC4DepoCount14Name : 
ECID : $10502e4 : 17105636 : RC4DepoCount15Name : 
ECID : $10502f4 : 17105652 : RC4DepoCount16Name : 
ECID : $1050304 : 17105668 : RC4DepoCount17Name : 
ECID : $1050314 : 17105684 : RC4DepoCount18Name : 
ECID : $1050324 : 17105700 : RC4DepoCount19Name : 
ECID : $1050334 : 17105716 : RC4DepoCount20Name : 
ECID : $1080041 : 17301569 : RC1SusceptorUpPositionPulse : 
ECID : $1080042 : 17301570 : RC2SusceptorUpPositionPulse : 
ECID : $1080043 : 17301571 : RC3SusceptorUpPositionPulse : 
ECID : $1080044 : 17301572 : RC4SusceptorUpPositionPulse : 
ECID : $1080051 : 17301585 : RC1SusceptorContactPositionPulse : 
ECID : $1080052 : 17301586 : RC2SusceptorContactPositionPulse : 
ECID : $1080053 : 17301587 : RC3SusceptorContactPositionPulse : 
ECID : $1080054 : 17301588 : RC4SusceptorContactPositionPulse : 
ECID : $1080061 : 17301601 : RC1SusceptorDownPositionPulse : 
ECID : $1080062 : 17301602 : RC2SusceptorDownPositionPulse : 
ECID : $1080063 : 17301603 : RC3SusceptorDownPositionPulse : 
