///////////////////////////////////////////////////////////////
// Scripted by THINH NGUYEN
// File: VIDsOnlyFromS1F12.txt
// SoftRev: 1.7600
// Date: Mon Jun 17 21:28:22 2019
//
// This file is to configure all VIDs. WARNING!!!
// DO NOT_EDIT without reading first.
// All comments should follow the format being used and seen.
// The last line should be an empty line.
//
VID : $861226056 : 33554448 : ControlState : 
VID : $861226084 : 33554464 : PreviousControlState : 
VID : $862034308 : 33619984 : LimitsEnabled : 
VID : $862060545 : 33620001 : RC1LimitMaxMinAI0 : 
VID : $862060567 : 33620017 : RC1LimitMaxMinAI1 : 
VID : $862060595 : 33620033 : RC1LimitMaxMinAI2 : 
VID : $862060617 : 33620049 : RC1LimitMaxMinAI3 : 
VID : $862060645 : 33620065 : RC1LimitMaxMinAI4 : 
VID : $862060673 : 33620081 : RC1LimitMaxMinAI5 : 
VID : $862060695 : 33620097 : RC1LimitMaxMinAI6 : 
VID : $862060819 : 33620113 : RC1LimitMaxMinAI7 : 
VID : $862060841 : 33620129 : RC1LimitMaxMinAI8 : 
VID : $862060869 : 33620145 : RC1LimitMaxMinAI9 : 
VID : $862060897 : 33620161 : RC1LimitMaxMinAI10 : 
VID : $862060919 : 33620177 : RC1LimitMaxMinAI11 : 
VID : $862060947 : 33620193 : RC1LimitMaxMinAI12 : 
VID : $862061065 : 33620209 : RC1LimitMaxMinAI13 : 
VID : $862061093 : 33620225 : RC1LimitMaxMinAI14 : 
VID : $862061121 : 33620241 : RC1LimitMaxMinAI15 : 
VID : $862061143 : 33620257 : RC1LimitMaxMinAI16 : 
VID : $862061171 : 33620273 : RC1LimitMaxMinAI17 : 
VID : $862061193 : 33620289 : RC1LimitMaxMinAI18 : 
VID : $862061317 : 33620305 : RC1LimitMaxMinAI19 : 
VID : $862061345 : 33620321 : RC1LimitMaxMinAI20 : 
VID : $862061367 : 33620337 : RC1LimitMaxMinAI21 : 
VID : $862061395 : 33620353 : RC1LimitMaxMinAI22 : 
VID : $862061417 : 33620369 : RC1LimitMaxMinAI23 : 
VID : $862061445 : 33620385 : RC1LimitMaxMinAI24 : 
VID : $862061569 : 33620401 : RC1LimitMaxMinAI25 : 
VID : $862061591 : 33620417 : RC1LimitMaxMinAI26 : 
VID : $862061619 : 33620433 : RC1LimitMaxMinAI27 : 
VID : $862061641 : 33620449 : RC1LimitMaxMinAI28 : 
VID : $862061669 : 33620465 : RC1LimitMaxMinAI29 : 
VID : $862061697 : 33620481 : RC1LimitMaxMinAI30 : 
VID : $862061719 : 33620497 : RC1LimitMaxMinAI31 : 
VID : $862061843 : 33620513 : RC1LimitMaxMinAI32 : 
VID : $862061865 : 33620529 : RC1LimitMaxMinAI33 : 
VID : $862061893 : 33620545 : RC1LimitMaxMinAI34 : 
VID : $862061921 : 33620561 : RC1LimitMaxMinAI35 : 
VID : $862061943 : 33620577 : RC1LimitMaxMinAI36 : 
VID : $862061971 : 33620593 : RC1LimitMaxMinAI37 : 
