///////////////////////////////////////////////////////////////
// Scripted by THINH NGUYEN
// File: ECIDsOnlyFromHostLog.txt
// SoftRev: 3.17b25
// Date: Fri Aug 30 22:21:35 2019
//
// This file is to configure all VIDs. WARNING!!!
// DO NOT_EDIT without reading first.
// All comments should follow the format being used and seen.
// The last line should be an empty line.
//
ECID : $01000010 : 16777232 : EstablishCommunicationTimeout : 
ECID : $01000020 : 16777248 : InitCommState : 
ECID : $01000030 : 16777264 : PollDelay : 
ECID : $01000040 : 16777280 : InitControlState : 
ECID : $01000050 : 16777296 : InitControlOfflineSubState : 
ECID : $01000060 : 16777312 : ControlOnlineFailedState : 
ECID : $01000070 : 16777328 : InitControlOnlineSubState : 
ECID : $01010010 : 16842768 : LimitsDelay : 
ECID : $01030010 : 16973840 : EnableSpooling : 
ECID : $01030030 : 16973872 : MaxSpoolTransmit : 
ECID : $01030040 : 16973888 : OverWriteSpool : 
ECID : $01050010 : 17104912 : MDLN : 
ECID : $01050020 : 17104928 : SOFTREV : 
ECID : $01050030 : 17104944 : TimeFormat : 
ECID : $01050041 : 17104961 : PortUsage1 : 
ECID : $01050042 : 17104962 : PortUsage2 : 
ECID : $01050043 : 17104963 : PortUsage3 : 
ECID : $01050050 : 17104976 : ControlModeSetting : 
ECID : $01050110 : 17105168 : S6F1WBitEnable : 
ECID : $01050120 : 17105184 : S6F11WBitEnable : 
ECID : $01050130 : 17105200 : S5F1WBitEnable : 
ECID : $01080110 : 17301776 : MessageLanguage : 
ECID : $01080120 : 17301792 : BuzzerFunction : 
ECID : $01080130 : 17301808 : EndBuzzer : 
ECID : $01080140 : 17301824 : SystemReset : 
ECID : $01080150 : 17301840 : RCReset : 
ECID : $01080160 : 17301856 : WAITRecipe : 
ECID : $01080170 : 17301872 : LLPressure : 
ECID : $01080180 : 17301888 : CarrierStopped : 
ECID : $01080190 : 17301904 : PJEngRecipeID : 
ECID : $010801a0 : 17301920 : PJMultiCreate : 
ECID : $010801b0 : 17301936 : PJSlotCheck : 
ECID : $010801c0 : 17301952 : WaferAlignerUse : 
ECID : $010801d0 : 17301968 : InitCapInSetup : 
ECID : $010801e0 : 17301984 : HandOffCap : 
ECID : $010801f0 : 17302000 : ProcessCounter : 
ECID : $01080200 : 17302016 : PJEngRecipeRC : 
ECID : $01080210 : 17302032 : CarrierOutTiming : 
ECID : $01080220 : 17302048 : PJCompleteTiming : 
ECID : $01080230 : 17302064 : RCMaintenance : 
ECID : $01080240 : 17302080 : RCAbortProcess : 
ECID : $01080250 : 17302096 : RCNonePJ : 
ECID : $01080260 : 17302112 : AbortedCJ : 
ECID : $01080270 : 17302128 : CJAbortCondition : 
ECID : $01080280 : 17302144 : PackPostFirstLastOfNextPJ : 
ECID : $01080290 : 17302160 : PackPostContinuousCondition : 
ECID : $010802a0 : 17302176 : RBEndInitialize : 
ECID : $010802b0 : 17302192 : ResumeCleaning : 
ECID : $010802c0 : 17302208 : PMMaintenance : 
ECID : $010802d0 : 17302224 : BERBLoadArm : 
ECID : $0109fa10 : 17431056 : MultiRCWafSwap : 
ECID : $0109fa30 : 17431088 : PjRcSharing : 
ECID : $0109f970 : 17430896 : FERBUnprocessArm : 
ECID : $0109f980 : 17430912 : BERBUnprocessArm : 
ECID : $010802e0 : 17302240 : LLLoadSlot : 
ECID : $010802f0 : 17302256 : CLUnloadTiming : 
ECID : $01080300 : 17302272 : WaferPreTransfer : 
ECID : $010848b0 : 17320112 : TP1Timer : 
ECID : $010848c0 : 17320128 : TP2Timer : 
ECID : $010848d0 : 17320144 : TP3Timer : 
ECID : $010848e0 : 17320160 : TP4Timer : 
ECID : $010848f0 : 17320176 : TP5Timer : 
ECID : $01084900 : 17320192 : TP6Timer : 
ECID : $01084910 : 17320208 : TD1Timer : 
ECID : $01084920 : 17320224 : LoadTimer1 : 
ECID : $01084930 : 17320240 : LoadTimer2 : 
ECID : $01084940 : 17320256 : UnloadTimer1 : 
ECID : $01084950 : 17320272 : UnloadTimer2 : 
ECID : $010849a1 : 17320353 : LP1CarrierSettingIDREADER : 
ECID : $010849a2 : 17320354 : LP2CarrierSettingIDREADER : 
ECID : $010849a3 : 17320355 : LP3CarrierSettingIDREADER : 
ECID : $010849b1 : 17320369 : LP1CarrierSettingStyle : 
ECID : $010849b2 : 17320370 : LP2CarrierSettingStyle : 
ECID : $010849b3 : 17320371 : LP3CarrierSettingStyle : 
ECID : $010849c1 : 17320385 : LP1CarrierSettingDefaultID : 
ECID : $010849c2 : 17320386 : LP2CarrierSettingDefaultID : 
ECID : $010849c3 : 17320387 : LP3CarrierSettingDefaultID : 
ECID : $010849d1 : 17320401 : LP1MapVerificaionDialogStyl : 
ECID : $010849d2 : 17320402 : LP2MapVerificaionDialogStyl : 
ECID : $010849d3 : 17320403 : LP3MapVerificaionDialogStyl : 
ECID : $01088a90 : 17336976 : ActiveRecipeFolder : 
ECID : $0109b761 : 17413985 : RC1AI0AlarmLimits : 
ECID : $0109b771 : 17414001 : RC1AI1AlarmLimits : 
ECID : $0109b781 : 17414017 : RC1AI2AlarmLimits : 
ECID : $0109b791 : 17414033 : RC1AI3AlarmLimits : 
ECID : $0109b7a1 : 17414049 : RC1AI4AlarmLimits : 
ECID : $0109b7b1 : 17414065 : RC1AI5AlarmLimits : 
ECID : $0109b7c1 : 17414081 : RC1AI6AlarmLimits : 
ECID : $0109b7d1 : 17414097 : RC1AI7AlarmLimits : 
ECID : $0109b7e1 : 17414113 : RC1AI8AlarmLimits : 
ECID : $0109b7f1 : 17414129 : RC1AI9AlarmLimits : 
ECID : $0109b801 : 17414145 : RC1AI10AlarmLimits : 
ECID : $0109b811 : 17414161 : RC1AI11AlarmLimits : 
ECID : $0109b821 : 17414177 : RC1AI12AlarmLimits : 
ECID : $0109b831 : 17414193 : RC1AI13AlarmLimits : 
ECID : $0109b841 : 17414209 : RC1AI14AlarmLimits : 
ECID : $0109b851 : 17414225 : RC1AI15AlarmLimits : 
ECID : $0109b861 : 17414241 : RC1AI16AlarmLimits : 
ECID : $0109b871 : 17414257 : RC1AI17AlarmLimits : 
ECID : $0109b881 : 17414273 : RC1AI18AlarmLimits : 
ECID : $0109b891 : 17414289 : RC1AI19AlarmLimits : 
ECID : $0109b8a1 : 17414305 : RC1AI20AlarmLimits : 
ECID : $0109b8b1 : 17414321 : RC1AI21AlarmLimits : 
ECID : $0109b8c1 : 17414337 : RC1AI22AlarmLimits : 
ECID : $0109b8d1 : 17414353 : RC1AI23AlarmLimits : 
ECID : $0109b8e1 : 17414369 : RC1AI24AlarmLimits : 
ECID : $0109b8f1 : 17414385 : RC1AI25AlarmLimits : 
ECID : $0109b901 : 17414401 : RC1AI26AlarmLimits : 
ECID : $0109b911 : 17414417 : RC1AI27AlarmLimits : 
ECID : $0109b921 : 17414433 : RC1AI28AlarmLimits : 
ECID : $0109b931 : 17414449 : RC1AI29AlarmLimits : 
ECID : $0109b941 : 17414465 : RC1AI30AlarmLimits : 
ECID : $0109b951 : 17414481 : RC1AI31AlarmLimits : 
ECID : $0109b961 : 17414497 : RC1AI32AlarmLimits : 
ECID : $0109b971 : 17414513 : RC1AI33AlarmLimits : 
ECID : $0109b981 : 17414529 : RC1AI34AlarmLimits : 
ECID : $0109b991 : 17414545 : RC1AI35AlarmLimits : 
ECID : $0109b9a1 : 17414561 : RC1AI36AlarmLimits : 
ECID : $0109b9b1 : 17414577 : RC1AI37AlarmLimits : 
ECID : $0109b9c1 : 17414593 : RC1AI38AlarmLimits : 
ECID : $0109b9d1 : 17414609 : RC1AI39AlarmLimits : 
ECID : $0109b9e1 : 17414625 : RC1AI40AlarmLimits : 
ECID : $0109b9f1 : 17414641 : RC1AI41AlarmLimits : 
ECID : $0109ba01 : 17414657 : RC1AI42AlarmLimits : 
ECID : $0109ba11 : 17414673 : RC1AI43AlarmLimits : 
ECID : $0109ba21 : 17414689 : RC1AI44AlarmLimits : 
ECID : $0109ba31 : 17414705 : RC1AI45AlarmLimits : 
ECID : $0109ba41 : 17414721 : RC1AI46AlarmLimits : 
ECID : $0109ba51 : 17414737 : RC1AI47AlarmLimits : 
ECID : $0109ba61 : 17414753 : RC1AI48AlarmLimits : 
ECID : $0109ba71 : 17414769 : RC1AI49AlarmLimits : 
ECID : $0109ba81 : 17414785 : RC1AI50AlarmLimits : 
ECID : $0109ba91 : 17414801 : RC1AI51AlarmLimits : 
ECID : $0109baa1 : 17414817 : RC1AI52AlarmLimits : 
ECID : $0109bab1 : 17414833 : RC1AI53AlarmLimits : 
ECID : $0109bac1 : 17414849 : RC1AI54AlarmLimits : 
ECID : $0109bad1 : 17414865 : RC1AI55AlarmLimits : 
ECID : $0109bae1 : 17414881 : RC1AI56AlarmLimits : 
ECID : $0109baf1 : 17414897 : RC1AI57AlarmLimits : 
ECID : $0109bb01 : 17414913 : RC1AI58AlarmLimits : 
ECID : $0109bb11 : 17414929 : RC1AI59AlarmLimits : 
ECID : $0109bb21 : 17414945 : RC1AI60AlarmLimits : 
ECID : $0109bb31 : 17414961 : RC1AI61AlarmLimits : 
ECID : $0109bb41 : 17414977 : RC1AI62AlarmLimits : 
ECID : $0109bb51 : 17414993 : RC1AI63AlarmLimits : 
ECID : $0109bb61 : 17415009 : RC1AI64AlarmLimits : 
ECID : $0109bb71 : 17415025 : RC1AI65AlarmLimits : 
ECID : $0109bb81 : 17415041 : RC1AI66AlarmLimits : 
ECID : $0109bb91 : 17415057 : RC1AI67AlarmLimits : 
ECID : $0109bba1 : 17415073 : RC1AI68AlarmLimits : 
ECID : $0109bbb1 : 17415089 : RC1AI69AlarmLimits : 
ECID : $0109bbc1 : 17415105 : RC1AI70AlarmLimits : 
ECID : $0109bbd1 : 17415121 : RC1AI71AlarmLimits : 
ECID : $0109bbe1 : 17415137 : RC1AI72AlarmLimits : 
ECID : $0109bbf1 : 17415153 : RC1AI73AlarmLimits : 
ECID : $0109bc01 : 17415169 : RC1AI74AlarmLimits : 
ECID : $0109bc11 : 17415185 : RC1AI75AlarmLimits : 
ECID : $0109bc21 : 17415201 : RC1AI76AlarmLimits : 
ECID : $0109bc31 : 17415217 : RC1AI77AlarmLimits : 
ECID : $0109bc41 : 17415233 : RC1AI78AlarmLimits : 
ECID : $0109bc51 : 17415249 : RC1AI79AlarmLimits : 
ECID : $0109bc61 : 17415265 : RC1AI80AlarmLimits : 
ECID : $0109bc71 : 17415281 : RC1AI81AlarmLimits : 
ECID : $0109bc81 : 17415297 : RC1AI82AlarmLimits : 
ECID : $0109bc91 : 17415313 : RC1AI83AlarmLimits : 
ECID : $0109bca1 : 17415329 : RC1AI84AlarmLimits : 
ECID : $0109bcb1 : 17415345 : RC1AI85AlarmLimits : 
ECID : $0109bcc1 : 17415361 : RC1AI86AlarmLimits : 
ECID : $0109bcd1 : 17415377 : RC1AI87AlarmLimits : 
ECID : $0109bce1 : 17415393 : RC1AI88AlarmLimits : 
ECID : $0109bcf1 : 17415409 : RC1AI89AlarmLimits : 
ECID : $0109bd01 : 17415425 : RC1AI90AlarmLimits : 
ECID : $0109bd11 : 17415441 : RC1AI91AlarmLimits : 
ECID : $0109bd21 : 17415457 : RC1AI92AlarmLimits : 
ECID : $0109bd31 : 17415473 : RC1AI93AlarmLimits : 
ECID : $0109bd41 : 17415489 : RC1AI94AlarmLimits : 
ECID : $0109bd51 : 17415505 : RC1AI95AlarmLimits : 
ECID : $0109bd61 : 17415521 : RC1AI96AlarmLimits : 
ECID : $0109bd71 : 17415537 : RC1AI97AlarmLimits : 
ECID : $0109bd81 : 17415553 : RC1AI98AlarmLimits : 
ECID : $0109bd91 : 17415569 : RC1AI99AlarmLimits : 
ECID : $0109bda1 : 17415585 : RC1AI100AlarmLimits : 
ECID : $0109bdb1 : 17415601 : RC1AI101AlarmLimits : 
ECID : $0109bdc1 : 17415617 : RC1AI102AlarmLimits : 
ECID : $0109bdd1 : 17415633 : RC1AI103AlarmLimits : 
ECID : $0109bde1 : 17415649 : RC1AI104AlarmLimits : 
ECID : $0109bdf1 : 17415665 : RC1AI105AlarmLimits : 
ECID : $0109be01 : 17415681 : RC1AI106AlarmLimits : 
ECID : $0109be11 : 17415697 : RC1AI107AlarmLimits : 
ECID : $0109be21 : 17415713 : RC1AI108AlarmLimits : 
ECID : $0109be31 : 17415729 : RC1AI109AlarmLimits : 
ECID : $0109be41 : 17415745 : RC1AI110AlarmLimits : 
ECID : $0109be51 : 17415761 : RC1AI111AlarmLimits : 
ECID : $0109be61 : 17415777 : RC1AI112AlarmLimits : 
ECID : $0109be71 : 17415793 : RC1AI113AlarmLimits : 
ECID : $0109be81 : 17415809 : RC1AI114AlarmLimits : 
ECID : $0109be91 : 17415825 : RC1AI115AlarmLimits : 
ECID : $0109bea1 : 17415841 : RC1AI116AlarmLimits : 
ECID : $0109beb1 : 17415857 : RC1AI117AlarmLimits : 
ECID : $0109bec1 : 17415873 : RC1AI118AlarmLimits : 
ECID : $0109bed1 : 17415889 : RC1AI119AlarmLimits : 
ECID : $0109bee1 : 17415905 : RC1AI120AlarmLimits : 
ECID : $0109bef1 : 17415921 : RC1AI121AlarmLimits : 
ECID : $0109bf01 : 17415937 : RC1AI122AlarmLimits : 
ECID : $0109bf11 : 17415953 : RC1AI123AlarmLimits : 
ECID : $0109bf21 : 17415969 : RC1AI124AlarmLimits : 
ECID : $0109bf31 : 17415985 : RC1AI125AlarmLimits : 
ECID : $0109bf41 : 17416001 : RC1AI126AlarmLimits : 
ECID : $0109bf51 : 17416017 : RC1AI127AlarmLimits : 
ECID : $0109bf61 : 17416033 : RC1AI128AlarmLimits : 
ECID : $0109bf71 : 17416049 : RC1AI129AlarmLimits : 
ECID : $0109bf81 : 17416065 : RC1AI130AlarmLimits : 
ECID : $0109bf91 : 17416081 : RC1AI131AlarmLimits : 
ECID : $0109bfa1 : 17416097 : RC1AI132AlarmLimits : 
ECID : $0109bfb1 : 17416113 : RC1AI133AlarmLimits : 
ECID : $0109bfc1 : 17416129 : RC1AI134AlarmLimits : 
ECID : $0109bfd1 : 17416145 : RC1AI135AlarmLimits : 
ECID : $0109bfe1 : 17416161 : RC1AI136AlarmLimits : 
ECID : $0109bff1 : 17416177 : RC1AI137AlarmLimits : 
ECID : $0109c001 : 17416193 : RC1AI138AlarmLimits : 
ECID : $0109c011 : 17416209 : RC1AI139AlarmLimits : 
ECID : $0109c021 : 17416225 : RC1AI140AlarmLimits : 
ECID : $0109c031 : 17416241 : RC1AI141AlarmLimits : 
ECID : $0109c041 : 17416257 : RC1AI142AlarmLimits : 
ECID : $0109c051 : 17416273 : RC1AI143AlarmLimits : 
ECID : $0109c061 : 17416289 : RC1AI144AlarmLimits : 
ECID : $0109c071 : 17416305 : RC1AI145AlarmLimits : 
ECID : $0109c081 : 17416321 : RC1AI146AlarmLimits : 
ECID : $0109c091 : 17416337 : RC1AI147AlarmLimits : 
ECID : $0109c0a1 : 17416353 : RC1AI148AlarmLimits : 
ECID : $0109c0b1 : 17416369 : RC1AI149AlarmLimits : 
ECID : $0109c0c1 : 17416385 : RC1AI150AlarmLimits : 
ECID : $0109c0d1 : 17416401 : RC1AI151AlarmLimits : 
ECID : $0109c0e1 : 17416417 : RC1AI152AlarmLimits : 
ECID : $0109c0f1 : 17416433 : RC1AI153AlarmLimits : 
ECID : $0109c101 : 17416449 : RC1AI154AlarmLimits : 
ECID : $0109c111 : 17416465 : RC1AI155AlarmLimits : 
ECID : $0109c121 : 17416481 : RC1AI156AlarmLimits : 
ECID : $0109c131 : 17416497 : RC1AI157AlarmLimits : 
ECID : $0109c141 : 17416513 : RC1AI158AlarmLimits : 
ECID : $0109c151 : 17416529 : RC1AI159AlarmLimits : 
ECID : $0109c161 : 17416545 : RC1AI160AlarmLimits : 
ECID : $0109c171 : 17416561 : RC1AI161AlarmLimits : 
ECID : $0109c181 : 17416577 : RC1AI162AlarmLimits : 
ECID : $0109c191 : 17416593 : RC1AI163AlarmLimits : 
ECID : $0109c1a1 : 17416609 : RC1AI164AlarmLimits : 
ECID : $0109c1b1 : 17416625 : RC1AI165AlarmLimits : 
ECID : $0109c1c1 : 17416641 : RC1AI166AlarmLimits : 
ECID : $0109c1d1 : 17416657 : RC1AI167AlarmLimits : 
ECID : $0109c1e1 : 17416673 : RC1AI168AlarmLimits : 
