FileName = C:\Escalation\GF\Archive\300167814 GV4 Wafer Interlock Error\Old logs\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_51

LogCount = 3188
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit","Detail","ReplyResult"
"0","2019/09/23","14:27:55","Send","S6F11","118960 (1D0B0h)","3577","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :118960 (1D0B0h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :172 (ACh)
      List (1)   5
        Ascii(1)  12  :PQSBC182MXB7
        Ascii(1)   7  :AW01.16
        Ascii(1)   7  :AW01.16
        UInt1(1)   1  :2 (02h)
        Ascii(1)  16  :2019092314275537",""
"1","2019/09/23","14:27:55","Recv","S6F12","","3576","OFF","Byte (1)   1  :00",""
"2","2019/09/23","14:27:55","Send","S6F11","118800 (1D010h)","3576","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :118800 (1D010h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :180 (B4h)
      List (1)   4
        Ascii(1)  12  :PQSBC182MXB7
        Ascii(1)   7  :AW01.16
        UInt1(1)   1  :1 (01h)
        Ascii(1)  16  :2019092314275562",""
"3","2019/09/23","14:27:55","Recv","S6F12","","3575","OFF","Byte (1)   1  :00",""
"4","2019/09/23","14:27:55","Send","S6F11","118816 (1D020h)","3575","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :118816 (1D020h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :180 (B4h)
      List (1)   4
        Ascii(1)  12  :PQSBC182MXB7
        Ascii(1)   8  :FERobot2
        UInt1(1)   1  :0 (00h)
        Ascii(1)  16  :2019092314275562",""
"5","2019/09/23","14:27:50","Recv","S6F12","","3574","OFF","Byte (1)   1  :00",""
"6","2019/09/23","14:27:50","Send","S6F11","118944 (1D0A0h)","3574","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :118944 (1D0A0h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :170 (AAh)
      List (1)   5
        Ascii(1)  12  :PQSBC182MXB7
        Ascii(1)   8  :FERobot2
        UInt1(1)   1  :1 (01h)
        Ascii(1)   7  :AW01.16
        Ascii(1)  16  :2019092314275067",""
"7","2019/09/23","14:27:50","Recv","S6F12","","3573","OFF","Byte (1)   1  :00",""
"8","2019/09/23","14:27:50","Send","S6F11","118800 (1D010h)","3573","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :118800 (1D010h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :180 (B4h)
      List (1)   4
        Ascii(1)  12  :PQSBC182MXB7
        Ascii(1)   8  :FERobot2
        UInt1(1)   1  :1 (01h)
        Ascii(1)  16  :2019092314275034",""
"9","2019/09/23","14:27:50","Recv","S6F12","","3572","OFF","Byte (1)   1  :00",""
"10","2019/09/23","14:27:50","Send","S6F11","118816 (1D020h)","3572","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :118816 (1D020h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :180 (B4h)
      List (1)   4
        Ascii(1)  12  :PQSBC182MXB7
        Ascii(1)  11  :Loadlock1-1
        UInt1(1)   1  :0 (00h)
        Ascii(1)  16  :2019092314275034",""
"11","2019/09/23","14:27:47","Recv","S6F12","","3571","OFF","Byte (1)   1  :00",""
