FileName = C:\Escalation\GF\Archive\300169347 Start Job Setup Failed\CCU Log\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_87

LogCount = 3711
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit","Detail","ReplyResult"
"0","2019/11/03","22:25:36","Send","S6F11","102416 (19010h)","C38F","OFF","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :102416 (19010h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :1020 (3FCh)
      List (1)  16
        Ascii(1)  21  :RTA2462-20191103-0037
        Ascii(1)  27  :201911032138-8R92003.000-01
        Ascii(1)   4  :AUUE
        Ascii(1)  11  :8R92003.000
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :21 (15h)
        Ascii(1)  12  :KD50U081WFF2
        UInt1(1)   1  :1 (01h)
        Ascii(1)  23  :P-HFO20CYLPP-8R92003000
        Ascii(1)  23  :HFO20CYLPP_1-8R92003000
        Ascii(1)   8  :00000500
        UInt2(1)   2  :16 (10h)
        Ascii(1)   3  :up2
        UInt2(1)   2  :17 (11h)
        Ascii(1)   9  :Pre_stab2
        Ascii(1)  16  :2019110322253631",""
"1","2019/11/03","22:25:36","Send","S6F11","105281 (19B41h)","C38E","OFF","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :105281 (19B41h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :1020 (3FCh)
      List (1)  16
        Ascii(1)  21  :RTA2462-20191103-0037
        Ascii(1)  27  :201911032138-8R92003.000-01
        Ascii(1)   4  :AUUE
        Ascii(1)  11  :8R92003.000
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :21 (15h)
        Ascii(1)  12  :KD50U081WFF2
        UInt1(1)   1  :1 (01h)
        Ascii(1)  23  :P-HFO20CYLPP-8R92003000
        Ascii(1)  23  :HFO20CYLPP_1-8R92003000
        Ascii(1)   8  :00000100
        UInt2(1)   2  :16 (10h)
        Ascii(1)   3  :up2
        UInt2(1)   2  :0 (00h)
        Ascii(1)   0  :
        Ascii(1)  16  :2019110322253627",""
"2","2019/11/03","22:25:35","Send","S6F11","102416 (19010h)","C38D","OFF","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :102416 (19010h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :1020 (3FCh)
      List (1)  16
        Ascii(1)  21  :RTA2462-20191103-0037
        Ascii(1)  27  :201911032138-8R92003.000-01
        Ascii(1)   4  :AUUE
        Ascii(1)  11  :8R92003.000
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :20 (14h)
        Ascii(1)  12  :KD50U130WFH1
        UInt1(1)   1  :2 (02h)
        Ascii(1)  23  :P-HFO20CYLPP-8R92003000
        Ascii(1)  17  :4stdby-8R92003000
        Ascii(1)   8  :00000300
        UInt2(1)   2  :5 (05h)
        Ascii(1)   9  :S7toPurge
        UInt2(1)   2  :6 (06h)
        Ascii(1)  10  :S7rampFlow
        Ascii(1)  16  :2019110322253520",""
"3","2019/11/03","22:25:34","Send","S6F11","105265 (19B31h)","C38C","OFF","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :105265 (19B31h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :1020 (3FCh)
      List (1)  16
        Ascii(1)  21  :RTA2462-20191103-0037
        Ascii(1)  27  :201911032138-8R92003.000-01
        Ascii(1)   4  :AUUE
        Ascii(1)  11  :8R92003.000
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :21 (15h)
        Ascii(1)  12  :KD50U081WFF2
        UInt1(1)   1  :1 (01h)
        Ascii(1)  23  :P-HFO20CYLPP-8R92003000
        Ascii(1)  23  :HFO20CYLPP_1-8R92003000
        Ascii(1)   8  :00000100
        UInt2(1)   2  :0 (00h)
        Ascii(1)   0  :
        UInt2(1)   2  :16 (10h)
        Ascii(1)   3  :up2
        Ascii(1)  16  :2019110322253456",""
"4","2019/11/03","22:25:34","Send","S6F11","102416 (19010h)","C38B","OFF","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :102416 (19010h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :1020 (3FCh)
      List (1)  16
        Ascii(1)  21  :RTA2462-20191103-0037
        Ascii(1)  27  :201911032138-8R92003.000-01
        Ascii(1)   4  :AUUE
        Ascii(1)  11  :8R92003.000
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :21 (15h)
        Ascii(1)  12  :KD50U081WFF2
        UInt1(1)   1  :1 (01h)
        Ascii(1)  23  :P-HFO20CYLPP-8R92003000
        Ascii(1)  23  :HFO20CYLPP_1-8R92003000
        Ascii(1)   8  :00000100
        UInt2(1)   2  :15 (0Fh)
        Ascii(1)   6  :index2
        UInt2(1)   2  :16 (10h)
        Ascii(1)   3  :up2
        Ascii(1)  16  :2019110322253452",""
"5","2019/11/03","22:25:34","Send","S6F11","105281 (19B41h)","C38A","OFF","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :105281 (19B41h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :1020 (3FCh)
      List (1)  16
        Ascii(1)  21  :RTA2462-20191103-0037
        Ascii(1)  27  :201911032138-8R92003.000-01
        Ascii(1)   4  :AUUE
        Ascii(1)  11  :8R92003.000
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :21 (15h)
        Ascii(1)  12  :KD50U081WFF2
        UInt1(1)   1  :1 (01h)
        Ascii(1)  23  :P-HFO20CYLPP-8R92003000
        Ascii(1)  23  :HFO20CYLPP_1-8R92003000
        Ascii(1)   8  :00000100
        UInt2(1)   2  :15 (0Fh)
        Ascii(1)   6  :index2
        UInt2(1)   2  :0 (00h)
        Ascii(1)   0  :
        Ascii(1)  16  :2019110322253449",""
"6","2019/11/03","22:25:33","Send","S6F11","105267 (19B33h)","C389","OFF","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :105267 (19B33h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :1020 (3FCh)
      List (1)  16
        Ascii(1)  21  :RTA2462-20191103-0037
        Ascii(1)  27  :201911032138-8R92003.000-01
        Ascii(1)   4  :AUUE
        Ascii(1)  11  :8R92003.000
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :22 (16h)
        Ascii(1)  12  :KD50U236WFC2
        UInt1(1)   1  :3 (03h)
        Ascii(1)  23  :P-HFO20CYLPP-8R92003000
        Ascii(1)  23  :HFO20CYLPP_3-8R92003000
        Ascii(1)   8  :00000500
        UInt2(1)   2  :0 (00h)
        Ascii(1)   0  :
        UInt2(1)   2  :10 (0Ah)
        Ascii(1)   9  :Pre_stab2
        Ascii(1)  16  :2019110322253341",""
"7","2019/11/03","22:25:33","Send","S6F11","102416 (19010h)","C388","OFF","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :102416 (19010h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :1020 (3FCh)
      List (1)  16
        Ascii(1)  21  :RTA2462-20191103-0037
        Ascii(1)  27  :201911032138-8R92003.000-01
        Ascii(1)   4  :AUUE
        Ascii(1)  11  :8R92003.000
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :22 (16h)
        Ascii(1)  12  :KD50U236WFC2
        UInt1(1)   1  :3 (03h)
        Ascii(1)  23  :P-HFO20CYLPP-8R92003000
        Ascii(1)  23  :HFO20CYLPP_3-8R92003000
        Ascii(1)   8  :00000500
        UInt2(1)   2  :9 (09h)
        Ascii(1)   3  :up1
        UInt2(1)   2  :10 (0Ah)
        Ascii(1)   9  :Pre_stab2
        Ascii(1)  16  :2019110322253340",""
"8","2019/11/03","22:25:33","Send","S6F11","105283 (19B43h)","C387","OFF","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :105283 (19B43h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :1020 (3FCh)
      List (1)  16
        Ascii(1)  21  :RTA2462-20191103-0037
        Ascii(1)  27  :201911032138-8R92003.000-01
        Ascii(1)   4  :AUUE
        Ascii(1)  11  :8R92003.000
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :22 (16h)
        Ascii(1)  12  :KD50U236WFC2
        UInt1(1)   1  :3 (03h)
        Ascii(1)  23  :P-HFO20CYLPP-8R92003000
        Ascii(1)  23  :HFO20CYLPP_3-8R92003000
        Ascii(1)   8  :00000100
        UInt2(1)   2  :9 (09h)
        Ascii(1)   3  :up1
        UInt2(1)   2  :0 (00h)
        Ascii(1)   0  :
        Ascii(1)  16  :2019110322253337",""
"9","2019/11/03","22:25:32","Send","S6F11","102416 (19010h)","C386","OFF","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :102416 (19010h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :1020 (3FCh)
      List (1)  16
        Ascii(1)  21  :RTA2462-20191103-0037
        Ascii(1)  27  :201911032138-8R92003.000-01
        Ascii(1)   4  :AUUE
        Ascii(1)  11  :8R92003.000
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :20 (14h)
        Ascii(1)  12  :KD50U130WFH1
        UInt1(1)   1  :2 (02h)
        Ascii(1)  23  :P-HFO20CYLPP-8R92003000
        Ascii(1)  17  :4stdby-8R92003000
        Ascii(1)   8  :00000300
        UInt2(1)   2  :4 (04h)
        Ascii(1)  10  :S8rampflow
        UInt2(1)   2  :5 (05h)
        Ascii(1)   9  :S7toPurge
        Ascii(1)  16  :2019110322253227",""
