FileName = C:\Escalation\HLIC\300183006 FOUP not auto run QTime Exceeded\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_50

LogCount = 1768
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit","Detail","ReplyResult"
"0","2020/05/05","14:29:24","Recv","S6F12","","79C6","OFF","Byte (1)   1  :00",""
"1","2020/05/05","14:29:24","Send","S6F11","102464 (19040h)","79C6","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :102464 (19040h)
  List (1)   0",""
"2","2020/05/05","14:29:24","Recv","S6F12","","79C5","OFF","Byte (1)   1  :00",""
"3","2020/05/05","14:29:24","Send","S6F11","105266 (19B32h)","79C5","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :105266 (19B32h)
  List (1)   0",""
"4","2020/05/05","14:29:24","Recv","S6F12","","79C4","OFF","Byte (1)   1  :00",""
"5","2020/05/05","14:29:24","Send","S6F11","102416 (19010h)","79C4","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :102416 (19010h)
  List (1)   0",""
"6","2020/05/05","14:29:24","Recv","S6F12","","79C3","OFF","Byte (1)   1  :00",""
"7","2020/05/05","14:29:24","Send","S6F11","105282 (19B42h)","79C3","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :105282 (19B42h)
  List (1)   0",""
"8","2020/05/05","14:29:22","Recv","S6F12","","79C2","OFF","Byte (1)   1  :00",""
"9","2020/05/05","14:29:22","Send","S6F11","102464 (19040h)","79C2","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :102464 (19040h)
  List (1)   0",""
"10","2020/05/05","14:29:22","Recv","S6F12","","79C1","OFF","Byte (1)   1  :00",""
"11","2020/05/05","14:29:22","Send","S6F11","105266 (19B32h)","79C1","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :105266 (19B32h)
  List (1)   0",""
"12","2020/05/05","14:29:22","Recv","S6F12","","79C0","OFF","Byte (1)   1  :00",""
"13","2020/05/05","14:29:22","Send","S6F11","102416 (19010h)","79C0","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :102416 (19010h)
  List (1)   0",""
"14","2020/05/05","14:29:22","Recv","S6F12","","79BF","OFF","Byte (1)   1  :00",""
"15","2020/05/05","14:29:22","Send","S6F11","105282 (19B42h)","79BF","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :105282 (19B42h)
  List (1)   0",""
"16","2020/05/05","14:29:22","Recv","S6F12","","79BE","OFF","Byte (1)   1  :00",""
"17","2020/05/05","14:29:22","Send","S6F11","105268 (19B34h)","79BE","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :105268 (19B34h)
  List (1)   0",""
"18","2020/05/05","14:29:22","Recv","S6F12","","79BD","OFF","Byte (1)   1  :00",""
"19","2020/05/05","14:29:22","Send","S6F11","102416 (19010h)","79BD","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :102416 (19010h)
  List (1)   0",""
"20","2020/05/05","14:29:22","Recv","S6F12","","79BC","OFF","Byte (1)   1  :00",""
"21","2020/05/05","14:29:22","Send","S6F11","105284 (19B44h)","79BC","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :105284 (19B44h)
  List (1)   0",""
"22","2020/05/05","14:29:20","Recv","S6F12","","79BB","OFF","Byte (1)   1  :00",""
"23","2020/05/05","14:29:20","Send","S6F11","78346 (1320Ah)","79BB","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :78346 (1320Ah)
  List (1)   0",""
"24","2020/05/05","14:29:20","Recv","S6F12","","79BA","OFF","Byte (1)   1  :00",""
"25","2020/05/05","14:29:20","Send","S6F11","78342 (13206h)","79BA","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :78342 (13206h)
  List (1)   0",""
"26","2020/05/05","14:29:17","Recv","S6F12","","79B9","OFF","Byte (1)   1  :00",""
"27","2020/05/05","14:29:17","Send","S6F11","105266 (19B32h)","79B9","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :105266 (19B32h)
  List (1)   0",""
"28","2020/05/05","14:29:17","Recv","S6F12","","79B8","OFF","Byte (1)   1  :00",""
"29","2020/05/05","14:29:17","Send","S6F11","102416 (19010h)","79B8","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :102416 (19010h)
  List (1)   0",""
"30","2020/05/05","14:29:17","Recv","S6F12","","79B7","OFF","Byte (1)   1  :00",""
"31","2020/05/05","14:29:17","Send","S6F11","105282 (19B42h)","79B7","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :105282 (19B42h)
  List (1)   0",""
"32","2020/05/05","14:29:17","Recv","S6F12","","79B6","OFF","Byte (1)   1  :00",""
"33","2020/05/05","14:29:17","Send","S6F11","105268 (19B34h)","79B6","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :105268 (19B34h)
  List (1)   0",""
"34","2020/05/05","14:29:17","Recv","S6F12","","79B5","OFF","Byte (1)   1  :00",""
"35","2020/05/05","14:29:17","Send","S6F11","102416 (19010h)","79B5","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :102416 (19010h)
  List (1)   0",""
"36","2020/05/05","14:29:17","Recv","S6F12","","79B4","OFF","Byte (1)   1  :00",""
"37","2020/05/05","14:29:17","Send","S6F11","105284 (19B44h)","79B4","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :105284 (19B44h)
  List (1)   0",""
"38","2020/05/05","14:29:15","Recv","S6F12","","79B3","OFF","Byte (1)   1  :00",""
"39","2020/05/05","14:29:15","Send","S6F11","105266 (19B32h)","79B3","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :105266 (19B32h)
  List (1)   0",""
"40","2020/05/05","14:29:15","Recv","S6F12","","79B2","OFF","Byte (1)   1  :00",""
"41","2020/05/05","14:29:15","Send","S6F11","102416 (19010h)","79B2","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :102416 (19010h)
  List (1)   0",""
"42","2020/05/05","14:29:15","Recv","S6F12","","79B1","OFF","Byte (1)   1  :00",""
"43","2020/05/05","14:29:15","Send","S6F11","105282 (19B42h)","79B1","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :105282 (19B42h)
  List (1)   0",""
"44","2020/05/05","14:29:14","Recv","S6F12","","79B0","OFF","Byte (1)   1  :00",""
"45","2020/05/05","14:29:14","Send","S6F11","105778 (19D32h)","79B0","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :105778 (19D32h)
  List (1)   0",""
"46","2020/05/05","14:29:13","Recv","S6F12","","79AF","OFF","Byte (1)   1  :00",""
"47","2020/05/05","14:29:13","Send","S6F11","105762 (19D22h)","79AF","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :105762 (19D22h)
  List (1)   0",""
"48","2020/05/05","14:29:12","Recv","S6F12","","79AE","OFF","Byte (1)   1  :00",""
"49","2020/05/05","14:29:12","Send","S6F11","105746 (19D12h)","79AE","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :105746 (19D12h)
  List (1)   0",""
"50","2020/05/05","14:29:02","Recv","S6F12","","79AD","OFF","Byte (1)   1  :00",""
"51","2020/05/05","14:29:02","Send","S6F11","105268 (19B34h)","79AD","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :105268 (19B34h)
  List (1)   0",""
"52","2020/05/05","14:29:02","Recv","S6F12","","79AC","OFF","Byte (1)   1  :00",""
"53","2020/05/05","14:29:02","Send","S6F11","102416 (19010h)","79AC","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :102416 (19010h)
  List (1)   0",""
"54","2020/05/05","14:29:02","Recv","S6F12","","79AB","OFF","Byte (1)   1  :00",""
"55","2020/05/05","14:29:02","Send","S6F11","105284 (19B44h)","79AB","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :105284 (19B44h)
  List (1)   0",""
"56","2020/05/05","14:29:01","Recv","S6F12","","79AA","OFF","Byte (1)   1  :00",""
"57","2020/05/05","14:29:01","Send","S6F11","78051 (130E3h)","79AA","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :78051 (130E3h)
  List (1)   0",""
"58","2020/05/05","14:29:01","Recv","S6F12","","79A9","OFF","Byte (1)   1  :00",""
"59","2020/05/05","14:29:01","Send","S6F11","118912 (1D080h)","79A9","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :118912 (1D080h)
  List (1)   0",""
"60","2020/05/05","14:29:00","Recv","S6F12","","79A8","OFF","Byte (1)   1  :00",""
"61","2020/05/05","14:29:00","Send","S6F11","105268 (19B34h)","79A8","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :105268 (19B34h)
  List (1)   0",""
"62","2020/05/05","14:29:00","Recv","S6F12","","79A7","OFF","Byte (1)   1  :00",""
"63","2020/05/05","14:29:00","Send","S6F11","102432 (19020h)","79A7","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :102432 (19020h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :10011 (271Bh)
      List (1)   6
        Ascii(1)  17  :T-ATHK24C-V1-ABCD
        Ascii(1)  11  :2K280095.16
        Ascii(1)   8  :2K280095
        Ascii(1)  16  :BT01406_05051401
        UInt1(1)   1  :16 (10h)
        UInt1(1)   1  :4 (04h)",""
"64","2020/05/05","14:29:00","Recv","S6F12","","79A6","OFF","Byte (1)   1  :00",""
"65","2020/05/05","14:29:00","Send","S6F11","105266 (19B32h)","79A6","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :105266 (19B32h)
  List (1)   0",""
"66","2020/05/05","14:29:00","Recv","S6F12","","79A5","OFF","Byte (1)   1  :00",""
"67","2020/05/05","14:29:00","Send","S6F11","102416 (19010h)","79A5","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :102416 (19010h)
  List (1)   0",""
"68","2020/05/05","14:29:00","Recv","S6F12","","79A4","OFF","Byte (1)   1  :00",""
"69","2020/05/05","14:29:00","Send","S6F11","102480 (19050h)","79A4","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :102480 (19050h)
  List (1)   0",""
"70","2020/05/05","14:29:00","Recv","S6F12","","79A3","OFF","Byte (1)   1  :00",""
"71","2020/05/05","14:29:00","Send","S6F11","105282 (19B42h)","79A3","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :105282 (19B42h)
  List (1)   0",""
"72","2020/05/05","14:29:00","Recv","S6F12","","79A2","OFF","Byte (1)   1  :00",""
"73","2020/05/05","14:29:00","Send","S6F11","77924 (13064h)","79A2","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :77924 (13064h)
  List (1)   0",""
"74","2020/05/05","14:29:00","Recv","S6F12","","79A1","OFF","Byte (1)   1  :00",""
"75","2020/05/05","14:29:00","Send","S6F11","77908 (13054h)","79A1","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :77908 (13054h)
  List (1)   0",""
"76","2020/05/05","14:28:59","Recv","S6F12","","79A0","OFF","Byte (1)   1  :00",""
"77","2020/05/05","14:28:59","Send","S6F11","119056 (1D110h)","79A0","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :119056 (1D110h)
  List (1)   2
    List (1)   2
      UInt4(1)   4  :3001 (BB9h)
      List (1)   2
        Ascii(1)  16  :2020050514285982
        Byte (1)   1  :05
    List (1)   2
      UInt4(1)   4  :9001 (2329h)
      List (1)   1
        Ascii(1)  11  :2K280095.16",""
"78","2020/05/05","14:28:57","Recv","S6F12","","799F","OFF","Byte (1)   1  :00",""
"79","2020/05/05","14:28:57","Send","S6F11","78035 (130D3h)","799F","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :78035 (130D3h)
  List (1)   0",""
"80","2020/05/05","14:28:57","Recv","S6F12","","799E","OFF","Byte (1)   1  :00",""
"81","2020/05/05","14:28:57","Send","S6F11","118960 (1D0B0h)","799E","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :118960 (1D0B0h)
  List (1)   4
    List (1)   2
      UInt4(1)   4  :3001 (BB9h)
      List (1)   2
        Ascii(1)  16  :2020050514285750
        Byte (1)   1  :05
    List (1)   2
      UInt4(1)   4  :9001 (2329h)
      List (1)   1
        Ascii(1)  11  :2K280095.12
    List (1)   2
      UInt4(1)   4  :9002 (232Ah)
      List (1)   1
        UInt1(1)   1  :2 (02h)
    List (1)   2
      UInt4(1)   4  :9003 (232Bh)
      List (1)   1
        List (1)   7
          List (1)   3
            Ascii(1)  11  :2K280095.12
            Ascii(1)  16  :2020050514094678
            Ascii(1)  16  :2020050514125778
          List (1)   3
            Ascii(1)  11  :Loadlock2-2
            Ascii(1)  16  :2020050514125778
            Ascii(1)  16  :2020050514134048
          List (1)   3
            Ascii(1)   8  :BERobot1
            Ascii(1)  16  :2020050514134048
            Ascii(1)  16  :2020050514135914
          List (1)   3
            Ascii(1)   8  :Reactor4
            Ascii(1)  16  :2020050514135914
            Ascii(1)  16  :2020050514272259
          List (1)   3
            Ascii(1)   8  :BERobot1
            Ascii(1)  16  :2020050514272259
            Ascii(1)  16  :2020050514273079
          List (1)   3
            Ascii(1)  11  :Loadlock2-1
            Ascii(1)  16  :2020050514273079
            Ascii(1)  16  :2020050514284915
          List (1)   3
            Ascii(1)   8  :FERobot2
            Ascii(1)  16  :2020050514284915
            Ascii(1)   0  :",""
"82","2020/05/05","14:28:57","Recv","S6F6","","799D","OFF","Byte (1)   1  :00",""
"83","2020/05/05","14:28:57","Send","S6F5","","799D","ON","List (1)   2
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :991 (3DFh)",""
"84","2020/05/05","14:28:57","Recv","S6F12","","799C","OFF","Byte (1)   1  :00",""
"85","2020/05/05","14:28:57","Send","S6F11","78211 (13183h)","799C","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :78211 (13183h)
  List (1)   0",""
"86","2020/05/05","14:28:56","Recv","S6F12","","799B","OFF","Byte (1)   1  :00",""
"87","2020/05/05","14:28:56","Send","S6F11","105730 (19D02h)","799B","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :105730 (19D02h)
  List (1)   0",""
"88","2020/05/05","14:28:53","Recv","S6F12","","799A","OFF","Byte (1)   1  :00",""
"89","2020/05/05","14:28:53","Send","S6F11","118944 (1D0A0h)","799A","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :118944 (1D0A0h)
  List (1)   0",""
"90","2020/05/05","14:28:53","Recv","S6F12","","7999","OFF","Byte (1)   1  :00",""
"91","2020/05/05","14:28:53","Send","S6F11","78195 (13173h)","7999","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :78195 (13173h)
  List (1)   0",""
"92","2020/05/05","14:28:53","Recv","S6F12","","7998","OFF","Byte (1)   1  :00",""
"93","2020/05/05","14:28:53","Send","S6F11","78345 (13209h)","7998","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :78345 (13209h)
  List (1)   0",""
"94","2020/05/05","14:28:53","Recv","S6F12","","7997","OFF","Byte (1)   1  :00",""
"95","2020/05/05","14:28:53","Send","S6F11","78341 (13205h)","7997","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :78341 (13205h)
  List (1)   0",""
"96","2020/05/05","14:28:53","Recv","S6F12","","7996","OFF","Byte (1)   1  :00",""
"97","2020/05/05","14:28:53","Send","S6F11","118800 (1D010h)","7996","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :118800 (1D010h)
  List (1)   2
    List (1)   2
      UInt4(1)   4  :3001 (BB9h)
      List (1)   2
        Ascii(1)  16  :2020050514285378
        Byte (1)   1  :05
    List (1)   2
      UInt4(1)   4  :9001 (2329h)
      List (1)   1
        Ascii(1)  11  :2K280095.17",""
"98","2020/05/05","14:28:53","Recv","S6F12","","7995","OFF","Byte (1)   1  :00",""
