FileName = C:\Escalation\Intel\JAM Escalations\ALE441-4227196_4764 Cap crash with Access Violation\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_90

LogCount = 3257
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit","Detail","ReplyResult"
"0","2020/09/24","16:25:24","Send","S6F11","118944 (1D0A0h)","3F4C","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :118944 (1D0A0h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :107 (6Bh)
      List (1)   4
        Ascii(1)  19  :*******************
        UInt1(1)   1  :2 (02h)
        UInt1(1)   1  :1 (01h)
        Ascii(1)  15  :***************",""
"1","2020/09/24","16:25:24","Recv","S6F12","","3F4B","OFF","Byte (1)   1  :00",""
"2","2020/09/24","16:25:24","Send","S6F11","118800 (1D010h)","3F4B","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :118800 (1D010h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :108 (6Ch)
      List (1)   3
        Ascii(1)  19  :*******************
        Ascii(1)  15  :***************
        UInt1(1)   1  :1 (01h)",""
"3","2020/09/24","16:25:24","Recv","S6F12","","3F4A","OFF","Byte (1)   1  :00",""
"4","2020/09/24","16:25:24","Send","S6F11","118816 (1D020h)","3F4A","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :118816 (1D020h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :108 (6Ch)
      List (1)   3
        Ascii(1)  19  :*******************
        Ascii(1)   8  :********
        UInt1(1)   1  :0 (00h)",""
"5","2020/09/24","16:25:20","Recv","S6F12","","3F49","OFF","Byte (1)   1  :00",""
"6","2020/09/24","16:25:20","Send","S6F11","118944 (1D0A0h)","3F49","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :118944 (1D0A0h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :107 (6Bh)
      List (1)   4
        Ascii(1)  19  :*******************
        UInt1(1)   1  :2 (02h)
        UInt1(1)   1  :1 (01h)
        Ascii(1)   8  :********",""
"7","2020/09/24","16:25:20","Recv","S6F12","","3F48","OFF","Byte (1)   1  :00",""
"8","2020/09/24","16:25:20","Send","S6F11","118800 (1D010h)","3F48","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :118800 (1D010h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :108 (6Ch)
      List (1)   3
        Ascii(1)  19  :*******************
        Ascii(1)   8  :********
        UInt1(1)   1  :1 (01h)",""
"9","2020/09/24","16:25:20","Recv","S6F12","","3F47","OFF","Byte (1)   1  :00",""
"10","2020/09/24","16:25:20","Send","S6F11","118816 (1D020h)","3F47","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :118816 (1D020h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :108 (6Ch)
      List (1)   3
        Ascii(1)  19  :*******************
        Ascii(1)  11  :***********
        UInt1(1)   1  :0 (00h)",""
"11","2020/09/24","16:25:14","Recv","S6F12","","3F46","OFF","Byte (1)   1  :00",""
"12","2020/09/24","16:25:14","Send","S6F11","119056 (1D110h)","3F46","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :119056 (1D110h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :107 (6Bh)
      List (1)   4
        Ascii(1)  19  :*******************
        UInt1(1)   1  :1 (01h)
        UInt1(1)   1  :1 (01h)
        Ascii(1)   8  :********",""
"13","2020/09/24","16:25:14","Recv","S6F12","","3F45","OFF","Byte (1)   1  :00",""
"14","2020/09/24","16:25:14","Send","S6F11","77908 (13054h)","3F45","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :77908 (13054h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :209 (D1h)
      List (1)   1
        UInt1(1)   1  :4 (04h)",""
"15","2020/09/24","16:25:14","Recv","S6F12","","3F44","OFF","Byte (1)   1  :00",""
"16","2020/09/24","16:25:14","Send","S6F11","77924 (13064h)","3F44","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :77924 (13064h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :200 (C8h)
      List (1)   8
        Ascii(1)  16  :****************
        Ascii(1)  20  :********************
        Ascii(1)  15  :***************
        Ascii(1)  16  :****************
        UInt1(1)   1  :1 (01h)
        UInt1(1)   1  :8 (08h)
        Ascii(1)  15  :***************
        Ascii(1)  19  :*******************",""
"17","2020/09/24","16:25:12","Recv","S6F12","","3F43","OFF","Byte (1)   1  :00",""
"18","2020/09/24","16:25:12","Send","S6F11","77908 (13054h)","3F43","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :77908 (13054h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :209 (D1h)
      List (1)   1
        UInt1(1)   1  :33 (21h)",""
"19","2020/09/24","16:25:12","Recv","S6F12","","3F42","OFF","Byte (1)   1  :00",""
"20","2020/09/24","16:25:12","Send","S6F11","77905 (13051h)","3F42","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :77905 (13051h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :206 (CEh)
      List (1)   1
        UInt1(1)   1  :31 (1Fh)",""
"21","2020/09/24","16:25:11","Recv","S6F12","","3F41","OFF","Byte (1)   1  :00",""
"22","2020/09/24","16:25:11","Send","S6F11","119088 (1D130h)","3F41","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :119088 (1D130h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :107 (6Bh)
      List (1)   4
        Ascii(1)  19  :*******************
        UInt1(1)   1  :2 (02h)
        UInt1(1)   1  :1 (01h)
        Ascii(1)   8  :********",""
"23","2020/09/24","16:25:11","Recv","S6F12","","3F40","OFF","Byte (1)   1  :00",""
"24","2020/09/24","16:25:11","Send","S6F11","77937 (13071h)","3F40","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :77937 (13071h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :200 (C8h)
      List (1)   8
        Ascii(1)  16  :****************
        Ascii(1)  20  :********************
        Ascii(1)  15  :***************
        Ascii(1)  16  :****************
        UInt1(1)   1  :1 (01h)
        UInt1(1)   1  :5 (05h)
        Ascii(1)  15  :***************
        Ascii(1)  19  :*******************",""
"25","2020/09/24","16:25:10","Recv","S6F12","","3F3F","OFF","Byte (1)   1  :00",""
"26","2020/09/24","16:25:10","Send","S6F11","77905 (13051h)","3F3F","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :77905 (13051h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :206 (CEh)
      List (1)   1
        UInt1(1)   1  :6 (06h)",""
"27","2020/09/24","16:25:03","Recv","S6F12","","3F3E","OFF","Byte (1)   1  :00",""
