FileName = C:\Escalation\Intel\JAM Escalations\ALE441-4227196_4764 Cap crash with Access Violation\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_71

LogCount = 196
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit","Detail","ReplyResult"
"0","2020/09/24","04:37:37","Send","S6F11","77922 (13062h)","1415","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :77922 (13062h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :200 (C8h)
      List (1)   8
        Ascii(1)  16  :****************
        Ascii(1)  20  :********************
        Ascii(1)   0  :
        Ascii(1)   0  :
        UInt1(1)   1  :0 (00h)
        UInt1(1)   1  :0 (00h)
        Ascii(1)   0  :
        Ascii(1)   0  :",""
"1","2020/09/24","04:37:37","Send","S6F11","77921 (13061h)","1414","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :77921 (13061h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :200 (C8h)
      List (1)   8
        Ascii(1)  16  :****************
        Ascii(1)  20  :********************
        Ascii(1)   0  :
        Ascii(1)   0  :
        UInt1(1)   1  :0 (00h)
        UInt1(1)   1  :0 (00h)
        Ascii(1)   0  :
        Ascii(1)   0  :",""
"2","2020/09/24","04:37:37","Recv","S6F12","","1413","OFF","Byte (1)   1  :00",""
"3","2020/09/24","04:37:37","Recv","S6F12","","1412","OFF","Byte (1)   1  :00",""
"4","2020/09/24","04:37:37","Recv","S6F12","","1411","OFF","Byte (1)   1  :00",""
"5","2020/09/24","04:37:37","Recv","S6F12","","1410","OFF","Byte (1)   1  :00",""
"6","2020/09/24","04:37:37","Send","S6F11","110608 (1B010h)","1413","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :110608 (1B010h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :109 (6Dh)
      List (1)   1
        Ascii(1)  15  :***************",""
"7","2020/09/24","04:37:37","Send","S6F11","114704 (1C010h)","1412","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :114704 (1C010h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :110 (6Eh)
      List (1)   1
        Ascii(1)  28  :****************************",""
"8","2020/09/24","04:37:37","Send","S6F11","77906 (13052h)","1411","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :77906 (13052h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :207 (CFh)
      List (1)   1
        UInt1(1)   1  :4 (04h)",""
"9","2020/09/24","04:37:37","Send","S6F11","77905 (13051h)","1410","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :77905 (13051h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :206 (CEh)
      List (1)   1
        UInt1(1)   1  :4 (04h)",""
"10","2020/09/24","04:37:37","Send","S14F10","","8347","OFF","List (1)   3
  Ascii(1)  39  :***************************************
  List (1)   0
  List (1)   2
    UInt1(1)   1  :0 (00h)
    List (1)   0",""
"11","2020/09/24","04:37:36","Recv","S14F9","","8347","ON","List (1)   3
  Ascii(1)   9  :*********
  Ascii(1)  10  :**********
  List (1)   6
    List (1)   2
      Ascii(1)   5  :*****
      Ascii(1)  28  :****************************
    List (1)   2
      Ascii(1)  16  :****************
      UInt1(1)   1  :3 (03h)
    List (1)   2
      Ascii(1)  11  :***********
      Truth(1)   1  :01
    List (1)   2
      Ascii(1)  11  :***********
      List (1)   0
    List (1)   2
      Ascii(1)  16  :****************
      List (1)   1
        Ascii(1)  16  :****************
    List (1)   2
      Ascii(1)  18  :******************
      List (1)   1
        List (1)   3
          Ascii(1)  15  :***************
          List (1)   0
          List (1)   0",""
"12","2020/09/24","04:37:36","Send","S16F16","","8346","OFF","List (1)   2
  List (1)   1
    Ascii(1)  15  :***************
  List (1)   2
    Truth(1)   1  :01
    List (1)   0",""
"13","2020/09/24","04:37:35","Recv","S16F15","","8346","ON","List (1)   2
  UInt4(1)   4  :0 (00h)
  List (1)   1
    List (1)   6
      Ascii(1)  15  :***************
      Byte (1)   1  :0D
      List (1)   1
        List (1)   2
          Ascii(1)  16  :****************
          List (1)   4
            UInt1(1)   1  :3 (03h)
            UInt1(1)   1  :4 (04h)
            UInt1(1)   1  :7 (07h)
            UInt1(1)   1  :11 (0Bh)
      List (1)   3
        UInt1(1)   1  :2 (02h)
        Ascii(1)  25  :*************************
        List (1)   2
          List (1)   2
            Ascii(1)  10  :**********
            UInt1(1)   1  :15 (0Fh)
          List (1)   2
            Ascii(1)   5  :*****
            UInt1(1)   1  :0 (00h)
      Truth(1)   1  :01
      List (1)   0",""
"14","2020/09/24","04:37:35","Recv","S6F12","","140F","OFF","Byte (1)   1  :00",""
"15","2020/09/24","04:37:35","Send","S6F11","106864 (1A170h)","140F","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :106864 (1A170h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :104 (68h)
      List (1)   2
        UInt1(1)   1  :3 (03h)
        Ascii(1)  16  :****************",""
"16","2020/09/24","04:37:35","Recv","S6F12","","140E","OFF","Byte (1)   1  :00",""
"17","2020/09/24","04:37:35","Send","S6F11","119040 (1D100h)","140E","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :119040 (1D100h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :107 (6Bh)
      List (1)   4
        Ascii(1)  19  :*******************
        UInt1(1)   1  :0 (00h)
        UInt1(1)   1  :0 (00h)
        Ascii(1)  19  :*******************",""
"18","2020/09/24","04:37:35","Recv","S6F12","","140D","OFF","Byte (1)   1  :00",""
"19","2020/09/24","04:37:35","Send","S6F11","118896 (1D070h)","140D","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :118896 (1D070h)
