FileName = C:\Escalation\TDK (Headway)\CJPJ Timing Issue\New folder\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_38

LogCount = 10000
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit","Detail","ReplyResult"
"0","2020/07/12","02:42:13","Send","S6F1","","A79B","ON","List (1)   4
  UInt4(1)   4  :3 (03h)
  UInt4(1)   4  :5708 (164Ch)
  Ascii(1)  16  :2020071202421317
  List (1)  19
    Ascii(1)   7  :1106.00
    Ascii(1)   6  :000392
    Ascii(1)   6  :000210
    Ascii(1)   6  :03.553
    Ascii(1)   6  :0370.3
    Ascii(1)   6  :0295.0
    Ascii(1)   6  :0022.6
    Ascii(1)   6  :0024.8
    Ascii(1)   6  :0200.0
    Ascii(1)   6  :0152.8
    Ascii(1)   6  :001.83
    Ascii(1)   6  :000180
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0155.0
    Ascii(1)   6  :0052.3
    UInt2(1)   2  :5 (05h)
    Ascii(1)   6  :236274
    Ascii(1)   1  :0",""
"1","2020/07/12","02:42:07","Recv","S6F2","","A79A","OFF","Byte (1)   1  :00",""
"2","2020/07/12","02:42:07","Send","S6F1","","A79A","ON","List (1)   4
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :5707 (164Bh)
  Ascii(1)  16  :2020071202420762
  List (1)   2
    Ascii(1)   7  :0000.00
    UInt2(1)   2  :0 (00h)",""
"3","2020/07/12","02:42:05","Recv","S6F2","","A799","OFF","Byte (1)   1  :00",""
"4","2020/07/12","02:42:05","Send","S6F1","","A799","ON","List (1)   4
  UInt4(1)   4  :2 (02h)
  UInt4(1)   4  :5707 (164Bh)
  Ascii(1)  16  :2020071202420535
  List (1)  19
    Ascii(1)   7  :0001.00
    Ascii(1)   6  :000022
    Ascii(1)   6  :000020
    Ascii(1)   6  :30.000
    Ascii(1)   6  :1050.0
    Ascii(1)   6  :1050.0
    Ascii(1)   6  :0019.7
    Ascii(1)   6  :0025.0
    Ascii(1)   6  :0022.2
    Ascii(1)   6  :0022.5
    Ascii(1)   6  :000.58
    Ascii(1)   6  :000002
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0003.3
    Ascii(1)   6  :0003.3
    UInt2(1)   2  :0 (00h)
    Ascii(1)   6  :510937
    Ascii(1)   1  :0",""
"5","2020/07/12","02:42:03","Recv","S6F2","","A798","OFF","Byte (1)   1  :00",""
"6","2020/07/12","02:42:03","Send","S6F1","","A798","ON","List (1)   4
  UInt4(1)   4  :3 (03h)
  UInt4(1)   4  :5707 (164Bh)
  Ascii(1)  16  :2020071202420317
  List (1)  19
    Ascii(1)   7  :1096.00
    Ascii(1)   6  :000391
    Ascii(1)   6  :000210
    Ascii(1)   6  :03.553
    Ascii(1)   6  :0361.8
    Ascii(1)   6  :0280.8
    Ascii(1)   6  :0022.6
    Ascii(1)   6  :0024.7
    Ascii(1)   6  :0200.0
    Ascii(1)   6  :0155.3
    Ascii(1)   6  :001.83
    Ascii(1)   6  :000180
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0148.0
    Ascii(1)   6  :0052.5
    UInt2(1)   2  :5 (05h)
    Ascii(1)   6  :236274
    Ascii(1)   1  :0",""
"7","2020/07/12","02:41:57","Recv","S6F2","","A797","OFF","Byte (1)   1  :00",""
"8","2020/07/12","02:41:57","Send","S6F1","","A797","ON","List (1)   4
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :5706 (164Ah)
  Ascii(1)  16  :2020071202415760
  List (1)   2
    Ascii(1)   7  :0000.00
    UInt2(1)   2  :0 (00h)",""
"9","2020/07/12","02:41:55","Recv","S6F2","","A796","OFF","Byte (1)   1  :00",""
"10","2020/07/12","02:41:55","Send","S6F1","","A796","ON","List (1)   4
  UInt4(1)   4  :2 (02h)
  UInt4(1)   4  :5706 (164Ah)
  Ascii(1)  16  :2020071202415534
  List (1)  19
    Ascii(1)   7  :0001.00
    Ascii(1)   6  :000022
    Ascii(1)   6  :000020
    Ascii(1)   6  :30.000
    Ascii(1)   6  :1050.0
    Ascii(1)   6  :1050.0
    Ascii(1)   6  :0019.7
    Ascii(1)   6  :0024.8
    Ascii(1)   6  :0022.2
    Ascii(1)   6  :0022.5
    Ascii(1)   6  :000.58
    Ascii(1)   6  :000002
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0003.3
    Ascii(1)   6  :0003.3
    UInt2(1)   2  :0 (00h)
    Ascii(1)   6  :510937
    Ascii(1)   1  :0",""
"11","2020/07/12","02:41:53","Recv","S6F2","","A795","OFF","Byte (1)   1  :00",""
"12","2020/07/12","02:41:53","Send","S6F1","","A795","ON","List (1)   4
  UInt4(1)   4  :3 (03h)
  UInt4(1)   4  :5706 (164Ah)
  Ascii(1)  16  :2020071202415316
  List (1)  19
    Ascii(1)   7  :1085.95
    Ascii(1)   6  :000391
    Ascii(1)   6  :000210
    Ascii(1)   6  :03.553
    Ascii(1)   6  :0354.0
    Ascii(1)   6  :0265.5
    Ascii(1)   6  :0022.6
    Ascii(1)   6  :0024.7
    Ascii(1)   6  :0200.0
    Ascii(1)   6  :0154.3
    Ascii(1)   6  :001.85
    Ascii(1)   6  :000180
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0139.8
    Ascii(1)   6  :0052.7
    UInt2(1)   2  :5 (05h)
    Ascii(1)   6  :236274
    Ascii(1)   1  :0",""
"13","2020/07/12","02:41:47","Recv","S6F2","","A794","OFF","Byte (1)   1  :00",""
"14","2020/07/12","02:41:47","Send","S6F1","","A794","ON","List (1)   4
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :5705 (1649h)
  Ascii(1)  16  :2020071202414760
  List (1)   2
    Ascii(1)   7  :0000.00
    UInt2(1)   2  :0 (00h)",""
"15","2020/07/12","02:41:45","Recv","S6F2","","A793","OFF","Byte (1)   1  :00",""
