FileName = C:\Escalation\TDK (Headway)\CJPJ Timing Issue\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_17

LogCount = 10000
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit","Detail","ReplyResult"
"0","2020/07/08","09:57:27","Send","S6F1","","FA96","ON","List (1)   4
  UInt4(1)   4  :3 (03h)
  UInt4(1)   4  :13499 (34BBh)
  Ascii(1)  16  :2020070809572729
  List (1)  19
    Ascii(1)   7  :0001.00
    Ascii(1)   6  :000389
    Ascii(1)   6  :000230
    Ascii(1)   6  :01.792
    Ascii(1)   6  :0477.8
    Ascii(1)   6  :0508.3
    Ascii(1)   6  :0022.5
    Ascii(1)   6  :0025.0
    Ascii(1)   6  :0199.8
    Ascii(1)   6  :0153.8
    Ascii(1)   6  :001.48
    Ascii(1)   6  :000100
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0035.3
    Ascii(1)   6  :0029.0
    UInt2(1)   2  :0 (00h)
    Ascii(1)   5  :47721
    Ascii(1)   1  :0",""
"1","2020/07/08","09:57:22","Recv","S6F2","","FA95","OFF","Byte (1)   1  :00",""
"2","2020/07/08","09:57:21","Send","S6F1","","FA95","ON","List (1)   4
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :13498 (34BAh)
  Ascii(1)  16  :2020070809572174
  List (1)   2
    Ascii(1)   7  :0000.00
    UInt2(1)   2  :0 (00h)",""
"3","2020/07/08","09:57:19","Recv","S6F2","","FA94","OFF","Byte (1)   1  :00",""
"4","2020/07/08","09:57:19","Send","S6F1","","FA94","ON","List (1)   4
  UInt4(1)   4  :2 (02h)
  UInt4(1)   4  :13498 (34BAh)
  Ascii(1)  16  :2020070809571960
  List (1)  19
    Ascii(1)   7  :0001.00
    Ascii(1)   6  :000354
    Ascii(1)   6  :000239
    Ascii(1)   6  :02.300
    Ascii(1)   6  :0461.0
    Ascii(1)   6  :0497.6
    Ascii(1)   6  :0019.6
    Ascii(1)   6  :0025.1
    Ascii(1)   6  :0199.8
    Ascii(1)   6  :0151.3
    Ascii(1)   6  :002.20
    Ascii(1)   6  :000100
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0033.3
    Ascii(1)   6  :0028.2
    UInt2(1)   2  :0 (00h)
    Ascii(1)   6  :449532
    Ascii(1)   1  :0",""
"5","2020/07/08","09:57:17","Recv","S6F2","","FA93","OFF","Byte (1)   1  :00",""
"6","2020/07/08","09:57:17","Send","S6F1","","FA93","ON","List (1)   4
  UInt4(1)   4  :3 (03h)
  UInt4(1)   4  :13498 (34BAh)
  Ascii(1)  16  :2020070809571729
  List (1)  19
    Ascii(1)   7  :0001.00
    Ascii(1)   6  :000389
    Ascii(1)   6  :000230
    Ascii(1)   6  :01.792
    Ascii(1)   6  :0478.0
    Ascii(1)   6  :0508.3
    Ascii(1)   6  :0022.6
    Ascii(1)   6  :0025.0
    Ascii(1)   6  :0199.8
    Ascii(1)   6  :0156.6
    Ascii(1)   6  :001.46
    Ascii(1)   6  :000100
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0035.3
    Ascii(1)   6  :0029.0
    UInt2(1)   2  :0 (00h)
    Ascii(1)   5  :47721
    Ascii(1)   1  :0",""
"7","2020/07/08","09:57:12","Recv","S6F2","","FA92","OFF","Byte (1)   1  :00",""
"8","2020/07/08","09:57:11","Send","S6F1","","FA92","ON","List (1)   4
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :13497 (34B9h)
  Ascii(1)  16  :2020070809571173
  List (1)   2
    Ascii(1)   7  :0000.00
    UInt2(1)   2  :0 (00h)",""
"9","2020/07/08","09:57:09","Recv","S6F2","","FA91","OFF","Byte (1)   1  :00",""
