FileName = C:\Escalation\TDK (Headway)\CJPJ Timing Issue\Latest Test\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_43

LogCount = 1686
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit","Detail","ReplyResult"
"0","2020/07/31","11:44:23","Recv","S6F2","","4F89","OFF","Byte (1)   1  :00",""
"1","2020/07/31","11:44:22","Send","S6F1","","4F89","ON","List (1)   4
  UInt4(1)   4  :3 (03h)
  UInt4(1)   4  :11441 (2CB1h)
  Ascii(1)  16  :2020073111442279
  List (1)  19
    Ascii(1)   7  :0002.00
    Ascii(1)   6  :000395
    Ascii(1)   6  :000227
    Ascii(1)   6  :01.781
    Ascii(1)   6  :0479.3
    Ascii(1)   6  :0510.5
    Ascii(1)   6  :0018.2
    Ascii(1)   6  :0024.7
    Ascii(1)   6  :0199.8
    Ascii(1)   6  :0154.3
    Ascii(1)   6  :001.43
    Ascii(1)   6  :000100
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0020.1
    Ascii(1)   6  :0021.6
    UInt2(1)   2  :0 (00h)
    Ascii(1)   6  :357931
    Ascii(1)   1  :0",""
"2","2020/07/31","11:44:19","Recv","S6F2","","4F88","OFF","Byte (1)   1  :00",""
"3","2020/07/31","11:44:19","Send","S6F1","","4F88","ON","List (1)   4
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :11440 (2CB0h)
  Ascii(1)  16  :2020073111441959
  List (1)   2
    Ascii(1)   7  :0000.00
    UInt2(1)   2  :0 (00h)",""
"4","2020/07/31","11:44:16","Recv","S6F2","","4F87","OFF","Byte (1)   1  :00",""
"5","2020/07/31","11:44:16","Send","S6F1","","4F87","ON","List (1)   4
  UInt4(1)   4  :2 (02h)
  UInt4(1)   4  :11440 (2CB0h)
  Ascii(1)  16  :2020073111441603
  List (1)  19
    Ascii(1)   7  :0002.00
    Ascii(1)   6  :000349
    Ascii(1)   6  :000236
    Ascii(1)   6  :02.010
    Ascii(1)   6  :0492.8
    Ascii(1)   6  :0495.8
    Ascii(1)   6  :0018.2
    Ascii(1)   6  :0024.8
    Ascii(1)   6  :0200.3
    Ascii(1)   6  :0151.6
    Ascii(1)   6  :001.86
    Ascii(1)   6  :000100
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0023.8
    Ascii(1)   6  :0026.8
    UInt2(1)   2  :0 (00h)
    Ascii(1)   5  :13672
    Ascii(1)   1  :0",""
"6","2020/07/31","11:44:13","Recv","S6F2","","4F86","OFF","Byte (1)   1  :00",""
"7","2020/07/31","11:44:12","Send","S6F1","","4F86","ON","List (1)   4
  UInt4(1)   4  :3 (03h)
  UInt4(1)   4  :11440 (2CB0h)
  Ascii(1)  16  :2020073111441279
  List (1)  19
    Ascii(1)   7  :0002.00
    Ascii(1)   6  :000396
    Ascii(1)   6  :000227
    Ascii(1)   6  :01.769
    Ascii(1)   6  :0479.3
    Ascii(1)   6  :0510.5
    Ascii(1)   6  :0018.2
    Ascii(1)   6  :0024.7
    Ascii(1)   6  :0199.8
    Ascii(1)   6  :0153.3
    Ascii(1)   6  :001.45
    Ascii(1)   6  :000100
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0020.1
    Ascii(1)   6  :0021.6
    UInt2(1)   2  :0 (00h)
    Ascii(1)   6  :357931
    Ascii(1)   1  :0",""
"8","2020/07/31","11:44:09","Recv","S6F2","","4F85","OFF","Byte (1)   1  :00",""
"9","2020/07/31","11:44:09","Send","S6F1","","4F85","ON","List (1)   4
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :11439 (2CAFh)
  Ascii(1)  16  :2020073111440959
  List (1)   2
    Ascii(1)   7  :0000.00
    UInt2(1)   2  :0 (00h)",""
