FileName = C:\Escalation\TDK (Headway)\CJPJ Timing Issue\Latest Test\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_13

LogCount = 10000
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit","Detail","ReplyResult"
"0","2020/07/26","00:55:40","Send","S6F1","","E754","ON","List (1)   4
  UInt4(1)   4  :2 (02h)
  UInt4(1)   4  :9347 (2483h)
  Ascii(1)  16  :2020072600554002
  List (1)  19
    Ascii(1)   7  :1585.50
    Ascii(1)   6  :000360
    Ascii(1)   6  :000230
    Ascii(1)   6  :03.646
    Ascii(1)   6  :0357.7
    Ascii(1)   6  :0287.5
    Ascii(1)   6  :0018.1
    Ascii(1)   6  :0025.1
    Ascii(1)   6  :0200.6
    Ascii(1)   6  :0151.1
    Ascii(1)   6  :002.18
    Ascii(1)   6  :000180
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0151.0
    Ascii(1)   6  :0051.8
    UInt2(1)   2  :5 (05h)
    Ascii(1)   6  :416145
    Ascii(1)   1  :0",""
"1","2020/07/26","00:55:37","Recv","S6F2","","E753","OFF","Byte (1)   1  :00",""
"2","2020/07/26","00:55:36","Send","S6F1","","E753","ON","List (1)   4
  UInt4(1)   4  :3 (03h)
  UInt4(1)   4  :9347 (2483h)
  Ascii(1)  16  :2020072600553680
  List (1)  19
    Ascii(1)   7  :0001.00
    Ascii(1)   6  :000404
    Ascii(1)   6  :000226
    Ascii(1)   6  :00.909
    Ascii(1)   6  :0245.2
    Ascii(1)   6  :0263.8
    Ascii(1)   6  :0018.0
    Ascii(1)   6  :0025.2
    Ascii(1)   6  :0199.8
    Ascii(1)   6  :0152.5
    Ascii(1)   6  :000.37
    Ascii(1)   6  :000100
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0022.1
    Ascii(1)   6  :0018.3
    UInt2(1)   2  :0 (00h)
    Ascii(1)   6  :194207
    Ascii(1)   1  :0",""
"3","2020/07/26","00:55:33","Recv","S6F2","","E752","OFF","Byte (1)   1  :00",""
"4","2020/07/26","00:55:33","Send","S6F1","","E752","ON","List (1)   4
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :9346 (2482h)
  Ascii(1)  16  :2020072600553306
  List (1)   2
    Ascii(1)   7  :0000.00
    UInt2(1)   2  :0 (00h)",""
"5","2020/07/26","00:55:30","Recv","S6F2","","E751","OFF","Byte (1)   1  :00",""
"6","2020/07/26","00:55:30","Send","S6F1","","E751","ON","List (1)   4
  UInt4(1)   4  :2 (02h)
  UInt4(1)   4  :9346 (2482h)
  Ascii(1)  16  :2020072600552998
  List (1)  19
    Ascii(1)   7  :1575.50
    Ascii(1)   6  :000360
    Ascii(1)   6  :000230
    Ascii(1)   6  :03.646
    Ascii(1)   6  :0348.6
    Ascii(1)   6  :0272.1
    Ascii(1)   6  :0018.0
    Ascii(1)   6  :0025.1
    Ascii(1)   6  :0200.5
    Ascii(1)   6  :0153.0
    Ascii(1)   6  :002.21
    Ascii(1)   6  :000180
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0142.5
    Ascii(1)   6  :0052.0
    UInt2(1)   2  :5 (05h)
    Ascii(1)   6  :416145
    Ascii(1)   1  :0",""
"7","2020/07/26","00:55:27","Recv","S6F2","","E750","OFF","Byte (1)   1  :00",""
"8","2020/07/26","00:55:26","Send","S6F1","","E750","ON","List (1)   4
  UInt4(1)   4  :3 (03h)
  UInt4(1)   4  :9346 (2482h)
  Ascii(1)  16  :2020072600552678
  List (1)  19
    Ascii(1)   7  :0001.00
    Ascii(1)   6  :000404
    Ascii(1)   6  :000226
    Ascii(1)   6  :00.909
    Ascii(1)   6  :0245.2
    Ascii(1)   6  :0264.0
    Ascii(1)   6  :0017.8
    Ascii(1)   6  :0025.2
    Ascii(1)   6  :0199.8
    Ascii(1)   6  :0153.3
    Ascii(1)   6  :000.37
    Ascii(1)   6  :000100
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0022.1
    Ascii(1)   6  :0018.3
    UInt2(1)   2  :0 (00h)
    Ascii(1)   6  :194207
    Ascii(1)   1  :0",""
"9","2020/07/26","00:55:23","Recv","S6F2","","E74F","OFF","Byte (1)   1  :00",""
"10","2020/07/26","00:55:23","Send","S6F1","","E74F","ON","List (1)   4
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :9345 (2481h)
  Ascii(1)  16  :2020072600552304
  List (1)   2
    Ascii(1)   7  :0000.00
    UInt2(1)   2  :0 (00h)",""
"11","2020/07/26","00:55:20","Recv","S6F2","","E74E","OFF","Byte (1)   1  :00",""
"12","2020/07/26","00:55:20","Send","S6F1","","E74E","ON","List (1)   4
  UInt4(1)   4  :2 (02h)
  UInt4(1)   4  :9345 (2481h)
  Ascii(1)  16  :2020072600551998
  List (1)  19
    Ascii(1)   7  :1565.45
    Ascii(1)   6  :000360
    Ascii(1)   6  :000230
    Ascii(1)   6  :03.646
    Ascii(1)   6  :0333.5
    Ascii(1)   6  :0247.3
    Ascii(1)   6  :0018.1
    Ascii(1)   6  :0025.0
    Ascii(1)   6  :0200.5
    Ascii(1)   6  :0151.3
    Ascii(1)   6  :002.21
    Ascii(1)   6  :000180
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0131.1
    Ascii(1)   6  :0049.5
    UInt2(1)   2  :5 (05h)
    Ascii(1)   6  :416145
    Ascii(1)   1  :0",""
"13","2020/07/26","00:55:17","Recv","S6F2","","E74D","OFF","Byte (1)   1  :00",""
"14","2020/07/26","00:55:16","Send","S6F1","","E74D","ON","List (1)   4
  UInt4(1)   4  :3 (03h)
  UInt4(1)   4  :9345 (2481h)
  Ascii(1)  16  :2020072600551678
  List (1)  19
    Ascii(1)   7  :0001.00
    Ascii(1)   6  :000404
    Ascii(1)   6  :000226
    Ascii(1)   6  :00.909
    Ascii(1)   6  :0245.2
    Ascii(1)   6  :0264.0
    Ascii(1)   6  :0017.8
    Ascii(1)   6  :0025.2
    Ascii(1)   6  :0199.8
    Ascii(1)   6  :0153.3
    Ascii(1)   6  :000.37
    Ascii(1)   6  :000100
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0022.1
    Ascii(1)   6  :0018.3
    UInt2(1)   2  :0 (00h)
    Ascii(1)   6  :194207
    Ascii(1)   1  :0",""
"15","2020/07/26","00:55:13","Recv","S6F2","","E74C","OFF","Byte (1)   1  :00",""
"16","2020/07/26","00:55:13","Send","S6F1","","E74C","ON","List (1)   4
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :9344 (2480h)
  Ascii(1)  16  :2020072600551304
  List (1)   2
    Ascii(1)   7  :0000.00
    UInt2(1)   2  :0 (00h)",""
"17","2020/07/26","00:55:10","Recv","S6F2","","E74B","OFF","Byte (1)   1  :00",""
"18","2020/07/26","00:55:09","Send","S6F1","","E74B","ON","List (1)   4
  UInt4(1)   4  :2 (02h)
  UInt4(1)   4  :9344 (2480h)
  Ascii(1)  16  :2020072600550997
  List (1)  19
    Ascii(1)   7  :1555.50
    Ascii(1)   6  :000360
    Ascii(1)   6  :000230
    Ascii(1)   6  :03.646
    Ascii(1)   6  :0351.8
    Ascii(1)   6  :0280.3
    Ascii(1)   6  :0018.1
    Ascii(1)   6  :0025.1
    Ascii(1)   6  :0200.5
    Ascii(1)   6  :0153.0
    Ascii(1)   6  :002.20
    Ascii(1)   6  :000180
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0146.3
    Ascii(1)   6  :0052.0
    UInt2(1)   2  :5 (05h)
    Ascii(1)   6  :416145
    Ascii(1)   1  :0",""
"19","2020/07/26","00:55:07","Recv","S6F2","","E74A","OFF","Byte (1)   1  :00",""
"20","2020/07/26","00:55:06","Send","S6F1","","E74A","ON","List (1)   4
  UInt4(1)   4  :3 (03h)
  UInt4(1)   4  :9344 (2480h)
  Ascii(1)  16  :2020072600550677
  List (1)  19
    Ascii(1)   7  :0001.00
    Ascii(1)   6  :000403
    Ascii(1)   6  :000226
    Ascii(1)   6  :00.909
    Ascii(1)   6  :0245.0
    Ascii(1)   6  :0264.0
    Ascii(1)   6  :0018.0
    Ascii(1)   6  :0025.2
    Ascii(1)   6  :0199.8
    Ascii(1)   6  :0152.3
    Ascii(1)   6  :000.37
    Ascii(1)   6  :000100
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0022.1
    Ascii(1)   6  :0018.3
    UInt2(1)   2  :0 (00h)
    Ascii(1)   6  :194207
    Ascii(1)   1  :0",""
"21","2020/07/26","00:55:03","Recv","S6F2","","E749","OFF","Byte (1)   1  :00",""
"22","2020/07/26","00:55:03","Send","S6F1","","E749","ON","List (1)   4
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :9343 (247Fh)
  Ascii(1)  16  :2020072600550303
  List (1)   2
    Ascii(1)   7  :0000.00
    UInt2(1)   2  :0 (00h)",""
"23","2020/07/26","00:55:00","Recv","S6F2","","E748","OFF","Byte (1)   1  :00",""
"24","2020/07/26","00:54:59","Send","S6F1","","E748","ON","List (1)   4
  UInt4(1)   4  :2 (02h)
  UInt4(1)   4  :9343 (247Fh)
  Ascii(1)  16  :2020072600545995
  List (1)  19
    Ascii(1)   7  :1545.40
    Ascii(1)   6  :000360
    Ascii(1)   6  :000230
    Ascii(1)   6  :03.646
    Ascii(1)   6  :0320.1
    Ascii(1)   6  :0247.0
    Ascii(1)   6  :0018.1
    Ascii(1)   6  :0025.1
    Ascii(1)   6  :0200.6
    Ascii(1)   6  :0151.6
    Ascii(1)   6  :002.21
    Ascii(1)   6  :000180
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0121.0
    Ascii(1)   6  :0045.7
    UInt2(1)   2  :5 (05h)
    Ascii(1)   6  :416145
    Ascii(1)   1  :0",""
"25","2020/07/26","00:54:57","Recv","S6F2","","E747","OFF","Byte (1)   1  :00",""
