FileName = C:\Escalation\TDK (Headway)\42277564959 Sw upgrade 1.80a03-003\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_01

LogCount = 450
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit","Detail","ReplyResult"
"0","2020/10/01","15:12:49","Send","S6F1","","0C47","ON","List (1)   4
  UInt4(1)   4  :2 (02h)
  UInt4(1)   4  :601 (259h)
  Ascii(1)  16  :2020100115124955
  List (1)  22
    Ascii(1)   7  :0002.00
    Ascii(1)   6  :000355
    Ascii(1)   6  :000236
    Ascii(1)   6  :02.050
    Ascii(1)   6  :0466.5
    Ascii(1)   6  :0500.2
    Ascii(1)   6  :0018.2
    Ascii(1)   6  :0024.7
    Ascii(1)   6  :0200.0
    Ascii(1)   6  :0152.3
    Ascii(1)   6  :001.88
    Ascii(1)   6  :000100
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0023.8
    Ascii(1)   6  :0025.5
    UInt2(1)   2  :0 (00h)
    Ascii(1)   1  :0
    Ascii(1)   1  :0
    Ascii(1)   0  :
    Ascii(1)  10  :GHY_SFSTBY
    Ascii(1)   0  :",""
"1","2020/10/01","15:12:48","Recv","S6F2","","0C46","OFF","Byte (1)   1  :00",""
"2","2020/10/01","15:12:48","Send","S6F1","","0C46","ON","List (1)   4
  UInt4(1)   4  :3 (03h)
  UInt4(1)   4  :601 (259h)
  Ascii(1)  16  :2020100115124813
  List (1)  22
    Ascii(1)   7  :0002.00
    Ascii(1)   6  :000389
    Ascii(1)   6  :000226
    Ascii(1)   6  :01.826
    Ascii(1)   6  :0480.5
    Ascii(1)   6  :0514.0
    Ascii(1)   6  :0018.8
    Ascii(1)   6  :0024.7
    Ascii(1)   6  :0200.3
    Ascii(1)   6  :0152.8
    Ascii(1)   6  :001.50
    Ascii(1)   6  :000100
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0019.3
    Ascii(1)   6  :0021.3
    UInt2(1)   2  :0 (00h)
    Ascii(1)   1  :0
    Ascii(1)   1  :0
    Ascii(1)   0  :
    Ascii(1)  10  :GHY_SFSTBY
    Ascii(1)   0  :",""
"3","2020/10/01","15:12:41","Recv","S6F2","","0C45","OFF","Byte (1)   1  :00",""
"4","2020/10/01","15:12:41","Send","S6F1","","0C45","ON","List (1)   4
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :600 (258h)
  Ascii(1)  16  :2020100115124167
  List (1)   5
    Ascii(1)   7  :0000.00
    UInt2(1)   2  :0 (00h)
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   0  :",""
"5","2020/10/01","15:12:39","Recv","S6F2","","0C44","OFF","Byte (1)   1  :00",""
"6","2020/10/01","15:12:39","Send","S6F1","","0C44","ON","List (1)   4
  UInt4(1)   4  :2 (02h)
  UInt4(1)   4  :600 (258h)
  Ascii(1)  16  :2020100115123955
  List (1)  22
    Ascii(1)   7  :0002.00
    Ascii(1)   6  :000355
    Ascii(1)   6  :000236
    Ascii(1)   6  :02.050
    Ascii(1)   6  :0466.3
    Ascii(1)   6  :0500.0
    Ascii(1)   6  :0018.2
    Ascii(1)   6  :0024.7
    Ascii(1)   6  :0200.0
    Ascii(1)   6  :0153.8
    Ascii(1)   6  :001.88
    Ascii(1)   6  :000100
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0023.8
    Ascii(1)   6  :0025.3
    UInt2(1)   2  :0 (00h)
    Ascii(1)   1  :0
    Ascii(1)   1  :0
    Ascii(1)   0  :
    Ascii(1)  10  :GHY_SFSTBY
    Ascii(1)   0  :",""
"7","2020/10/01","15:12:38","Recv","S6F2","","0C43","OFF","Byte (1)   1  :00",""
"8","2020/10/01","15:12:38","Send","S6F1","","0C43","ON","List (1)   4
  UInt4(1)   4  :3 (03h)
  UInt4(1)   4  :600 (258h)
  Ascii(1)  16  :2020100115123811
  List (1)  22
    Ascii(1)   7  :0002.00
    Ascii(1)   6  :000389
    Ascii(1)   6  :000226
    Ascii(1)   6  :01.826
    Ascii(1)   6  :0480.3
    Ascii(1)   6  :0514.0
    Ascii(1)   6  :0018.8
    Ascii(1)   6  :0024.7
    Ascii(1)   6  :0200.3
    Ascii(1)   6  :0154.3
    Ascii(1)   6  :001.50
    Ascii(1)   6  :000100
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0019.5
    Ascii(1)   6  :0021.2
    UInt2(1)   2  :0 (00h)
    Ascii(1)   1  :0
    Ascii(1)   1  :0
    Ascii(1)   0  :
    Ascii(1)  10  :GHY_SFSTBY
    Ascii(1)   0  :",""
"9","2020/10/01","15:12:31","Recv","S6F2","","0C42","OFF","Byte (1)   1  :00",""
"10","2020/10/01","15:12:31","Send","S6F1","","0C42","ON","List (1)   4
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :599 (257h)
  Ascii(1)  16  :2020100115123167
  List (1)   5
    Ascii(1)   7  :0000.00
    UInt2(1)   2  :0 (00h)
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   0  :",""
"11","2020/10/01","15:12:29","Recv","S6F2","","0C41","OFF","Byte (1)   1  :00",""
"12","2020/10/01","15:12:29","Send","S6F1","","0C41","ON","List (1)   4
  UInt4(1)   4  :2 (02h)
  UInt4(1)   4  :599 (257h)
  Ascii(1)  16  :2020100115122953
  List (1)  22
    Ascii(1)   7  :0002.00
    Ascii(1)   6  :000355
    Ascii(1)   6  :000236
    Ascii(1)   6  :02.050
    Ascii(1)   6  :0466.1
    Ascii(1)   6  :0500.0
    Ascii(1)   6  :0018.2
    Ascii(1)   6  :0024.7
    Ascii(1)   6  :0200.0
    Ascii(1)   6  :0152.1
    Ascii(1)   6  :001.88
    Ascii(1)   6  :000100
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0023.6
    Ascii(1)   6  :0025.5
    UInt2(1)   2  :0 (00h)
    Ascii(1)   1  :0
    Ascii(1)   1  :0
    Ascii(1)   0  :
    Ascii(1)  10  :GHY_SFSTBY
    Ascii(1)   0  :",""
"13","2020/10/01","15:12:28","Recv","S6F2","","0C40","OFF","Byte (1)   1  :00",""
"14","2020/10/01","15:12:28","Send","S6F1","","0C40","ON","List (1)   4
  UInt4(1)   4  :3 (03h)
  UInt4(1)   4  :599 (257h)
  Ascii(1)  16  :2020100115122810
  List (1)  22
    Ascii(1)   7  :0002.00
    Ascii(1)   6  :000390
    Ascii(1)   6  :000226
    Ascii(1)   6  :01.826
    Ascii(1)   6  :0480.5
    Ascii(1)   6  :0514.0
    Ascii(1)   6  :0018.8
    Ascii(1)   6  :0024.8
    Ascii(1)   6  :0200.3
    Ascii(1)   6  :0154.3
    Ascii(1)   6  :001.50
    Ascii(1)   6  :000100
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0019.3
    Ascii(1)   6  :0021.3
    UInt2(1)   2  :0 (00h)
    Ascii(1)   1  :0
    Ascii(1)   1  :0
    Ascii(1)   0  :
    Ascii(1)  10  :GHY_SFSTBY
    Ascii(1)   0  :",""
"15","2020/10/01","15:12:21","Recv","S6F2","","0C3F","OFF","Byte (1)   1  :00",""
"16","2020/10/01","15:12:21","Send","S6F1","","0C3F","ON","List (1)   4
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :598 (256h)
  Ascii(1)  16  :2020100115122165
  List (1)   5
    Ascii(1)   7  :0000.00
    UInt2(1)   2  :0 (00h)
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   0  :",""
"17","2020/10/01","15:12:19","Recv","S6F2","","0C3E","OFF","Byte (1)   1  :00",""
"18","2020/10/01","15:12:19","Send","S6F1","","0C3E","ON","List (1)   4
  UInt4(1)   4  :2 (02h)
  UInt4(1)   4  :598 (256h)
  Ascii(1)  16  :2020100115121953
  List (1)  22
    Ascii(1)   7  :0002.00
    Ascii(1)   6  :000354
    Ascii(1)   6  :000236
    Ascii(1)   6  :02.050
    Ascii(1)   6  :0466.1
    Ascii(1)   6  :0500.0
    Ascii(1)   6  :0018.3
    Ascii(1)   6  :0024.7
    Ascii(1)   6  :0200.0
    Ascii(1)   6  :0154.0
    Ascii(1)   6  :001.88
    Ascii(1)   6  :000100
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0023.8
    Ascii(1)   6  :0025.5
    UInt2(1)   2  :0 (00h)
    Ascii(1)   1  :0
    Ascii(1)   1  :0
    Ascii(1)   0  :
    Ascii(1)  10  :GHY_SFSTBY
    Ascii(1)   0  :",""
"19","2020/10/01","15:12:18","Recv","S6F2","","0C3D","OFF","Byte (1)   1  :00",""
"20","2020/10/01","15:12:18","Send","S6F1","","0C3D","ON","List (1)   4
  UInt4(1)   4  :3 (03h)
  UInt4(1)   4  :598 (256h)
  Ascii(1)  16  :2020100115121810
  List (1)  22
    Ascii(1)   7  :0002.00
    Ascii(1)   6  :000391
    Ascii(1)   6  :000226
    Ascii(1)   6  :01.826
    Ascii(1)   6  :0480.5
    Ascii(1)   6  :0514.2
    Ascii(1)   6  :0018.8
    Ascii(1)   6  :0024.8
    Ascii(1)   6  :0200.3
    Ascii(1)   6  :0152.6
    Ascii(1)   6  :001.50
    Ascii(1)   6  :000100
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0019.3
    Ascii(1)   6  :0021.3
    UInt2(1)   2  :0 (00h)
    Ascii(1)   1  :0
    Ascii(1)   1  :0
    Ascii(1)   0  :
    Ascii(1)  10  :GHY_SFSTBY
    Ascii(1)   0  :",""
"21","2020/10/01","15:12:11","Recv","S6F2","","0C3C","OFF","Byte (1)   1  :00",""
"22","2020/10/01","15:12:11","Send","S6F1","","0C3C","ON","List (1)   4
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :597 (255h)
  Ascii(1)  16  :2020100115121165
  List (1)   5
    Ascii(1)   7  :0000.00
    UInt2(1)   2  :0 (00h)
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   0  :",""
"23","2020/10/01","15:12:09","Recv","S6F2","","0C3B","OFF","Byte (1)   1  :00",""
"24","2020/10/01","15:12:09","Send","S6F1","","0C3B","ON","List (1)   4
  UInt4(1)   4  :2 (02h)
  UInt4(1)   4  :597 (255h)
  Ascii(1)  16  :2020100115120952
  List (1)  22
    Ascii(1)   7  :0002.00
    Ascii(1)   6  :000354
    Ascii(1)   6  :000235
    Ascii(1)   6  :02.050
    Ascii(1)   6  :0466.1
    Ascii(1)   6  :0500.0
    Ascii(1)   6  :0018.3
    Ascii(1)   6  :0024.7
    Ascii(1)   6  :0200.0
    Ascii(1)   6  :0152.8
    Ascii(1)   6  :001.90
    Ascii(1)   6  :000100
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0023.8
    Ascii(1)   6  :0025.5
    UInt2(1)   2  :0 (00h)
    Ascii(1)   1  :0
    Ascii(1)   1  :0
    Ascii(1)   0  :
    Ascii(1)  10  :GHY_SFSTBY
    Ascii(1)   0  :",""
"25","2020/10/01","15:12:08","Recv","S6F2","","0C3A","OFF","Byte (1)   1  :00",""
"26","2020/10/01","15:12:08","Send","S6F1","","0C3A","ON","List (1)   4
  UInt4(1)   4  :3 (03h)
  UInt4(1)   4  :597 (255h)
  Ascii(1)  16  :2020100115120808
  List (1)  22
    Ascii(1)   7  :0002.00
    Ascii(1)   6  :000391
    Ascii(1)   6  :000226
    Ascii(1)   6  :01.826
    Ascii(1)   6  :0480.5
    Ascii(1)   6  :0514.2
    Ascii(1)   6  :0018.8
    Ascii(1)   6  :0024.8
    Ascii(1)   6  :0200.3
    Ascii(1)   6  :0154.5
    Ascii(1)   6  :001.48
    Ascii(1)   6  :000100
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0019.3
    Ascii(1)   6  :0021.3
    UInt2(1)   2  :0 (00h)
    Ascii(1)   1  :0
    Ascii(1)   1  :0
    Ascii(1)   0  :
    Ascii(1)  10  :GHY_SFSTBY
    Ascii(1)   0  :",""
"27","2020/10/01","15:12:01","Recv","S6F2","","0C39","OFF","Byte (1)   1  :00",""
"28","2020/10/01","15:12:01","Send","S6F1","","0C39","ON","List (1)   4
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :596 (254h)
  Ascii(1)  16  :2020100115120164
  List (1)   5
    Ascii(1)   7  :0000.00
    UInt2(1)   2  :0 (00h)
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   0  :",""
"29","2020/10/01","15:11:59","Recv","S6F2","","0C38","OFF","Byte (1)   1  :00",""
"30","2020/10/01","15:11:59","Send","S6F1","","0C38","ON","List (1)   4
  UInt4(1)   4  :2 (02h)
  UInt4(1)   4  :596 (254h)
  Ascii(1)  16  :2020100115115950
  List (1)  22
    Ascii(1)   7  :0002.00
    Ascii(1)   6  :000354
    Ascii(1)   6  :000235
    Ascii(1)   6  :02.050
    Ascii(1)   6  :0466.0
    Ascii(1)   6  :0500.0
    Ascii(1)   6  :0018.2
    Ascii(1)   6  :0024.7
    Ascii(1)   6  :0200.0
    Ascii(1)   6  :0153.3
    Ascii(1)   6  :001.88
    Ascii(1)   6  :000100
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0023.8
    Ascii(1)   6  :0025.5
    UInt2(1)   2  :0 (00h)
    Ascii(1)   1  :0
    Ascii(1)   1  :0
    Ascii(1)   0  :
    Ascii(1)  10  :GHY_SFSTBY
    Ascii(1)   0  :",""
"31","2020/10/01","15:11:58","Recv","S6F2","","0C37","OFF","Byte (1)   1  :00",""
"32","2020/10/01","15:11:58","Send","S6F1","","0C37","ON","List (1)   4
  UInt4(1)   4  :3 (03h)
  UInt4(1)   4  :596 (254h)
  Ascii(1)  16  :2020100115115808
  List (1)  22
    Ascii(1)   7  :0002.00
    Ascii(1)   6  :000390
    Ascii(1)   6  :000226
    Ascii(1)   6  :01.826
    Ascii(1)   6  :0480.5
    Ascii(1)   6  :0514.2
    Ascii(1)   6  :0018.8
    Ascii(1)   6  :0024.8
    Ascii(1)   6  :0200.3
    Ascii(1)   6  :0154.0
    Ascii(1)   6  :001.50
    Ascii(1)   6  :000100
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0019.5
    Ascii(1)   6  :0021.3
    UInt2(1)   2  :0 (00h)
    Ascii(1)   1  :0
    Ascii(1)   1  :0
    Ascii(1)   0  :
    Ascii(1)  10  :GHY_SFSTBY
    Ascii(1)   0  :",""
"33","2020/10/01","15:11:51","Recv","S6F2","","0C36","OFF","Byte (1)   1  :00",""
"34","2020/10/01","15:11:51","Send","S6F1","","0C36","ON","List (1)   4
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :595 (253h)
  Ascii(1)  16  :2020100115115162
  List (1)   5
    Ascii(1)   7  :0000.00
    UInt2(1)   2  :0 (00h)
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   0  :",""
"35","2020/10/01","15:11:49","Recv","S6F2","","0C35","OFF","Byte (1)   1  :00",""
"36","2020/10/01","15:11:49","Send","S6F1","","0C35","ON","List (1)   4
  UInt4(1)   4  :2 (02h)
  UInt4(1)   4  :595 (253h)
  Ascii(1)  16  :2020100115114950
  List (1)  22
    Ascii(1)   7  :0002.00
    Ascii(1)   6  :000354
    Ascii(1)   6  :000235
    Ascii(1)   6  :02.050
    Ascii(1)   6  :0466.0
    Ascii(1)   6  :0500.2
    Ascii(1)   6  :0018.2
    Ascii(1)   6  :0024.7
    Ascii(1)   6  :0200.0
    Ascii(1)   6  :0153.3
    Ascii(1)   6  :001.88
    Ascii(1)   6  :000100
    Ascii(1)   0  :
    Ascii(1)   0  :
    Ascii(1)   6  :0023.8
    Ascii(1)   6  :0025.5
    UInt2(1)   2  :0 (00h)
    Ascii(1)   1  :0
    Ascii(1)   1  :0
    Ascii(1)   0  :
    Ascii(1)  10  :GHY_SFSTBY
    Ascii(1)   0  :",""
"37","2020/10/01","15:11:48","Recv","S6F2","","0C34","OFF","Byte (1)   1  :00",""
