FileName = C:\Escalation\TSMC\Archive\300179850 CJ Start Event Not Reported (EPI)\Log Files\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_00

LogCount = 4939
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit","Detail","ReplyResult"
"0","2020/04/14","17:19:05","Recv","S6F12","","029D","OFF","Byte (1)   1  :00",""
"1","2020/04/14","17:19:05","Send","S6F11","94336 (17080h)","029D","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :94336 (17080h)
  List (1)   0",""
"2","2020/04/14","17:19:05","Recv","S6F12","","029C","OFF","Byte (1)   1  :00",""
"3","2020/04/14","17:19:05","Send","S6F11","94400 (170C0h)","029C","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :94400 (170C0h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :10 (0Ah)
      List (1)   2
        Ascii(1)  16  :2020041417190539
        UInt1(1)   1  :1 (01h)",""
"4","2020/04/14","17:19:04","Recv","S6F12","","029B","OFF","Byte (1)   1  :00",""
"5","2020/04/14","17:19:04","Send","S6F11","107392 (1A380h)","029B","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :107392 (1A380h)
  List (1)   0",""
"6","2020/04/14","17:19:00","Recv","S6F12","","029A","OFF","Byte (1)   1  :00",""
"7","2020/04/14","17:19:00","Send","S6F11","94432 (170E0h)","029A","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :94432 (170E0h)
  List (1)   0",""
"8","2020/04/14","17:18:59","Recv","S6F12","","0299","OFF","Byte (1)   1  :00",""
"9","2020/04/14","17:18:59","Send","S6F11","34996224 (2160000h)","0299","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :34996224 (2160000h)
  List (1)   0",""
"10","2020/04/14","17:18:59","Recv","S5F2","","0298","OFF","Byte (1)   1  :00",""
"11","2020/04/14","17:18:59","Send","S5F1","","0298","ON","List (1)   3
  Byte (1)   1  :00
  UInt4(1)   4  :34996224 (2160000h)
  Ascii(1)  26  :EPI Temp Control Alarm RC2",""
"12","2020/04/14","17:18:58","Recv","S6F12","","0297","OFF","Byte (1)   1  :00",""
"13","2020/04/14","17:18:58","Send","S6F11","34996225 (2160001h)","0297","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :34996225 (2160001h)
  List (1)   0",""
"14","2020/04/14","17:18:58","Recv","S5F2","","0296","OFF","Byte (1)   1  :00",""
"15","2020/04/14","17:18:58","Send","S5F1","","0296","ON","List (1)   3
  Byte (1)   1  :80
  UInt4(1)   4  :34996224 (2160000h)
  Ascii(1)  26  :EPI Temp Control Alarm RC2",""
"16","2020/04/14","17:18:57","Recv","S6F12","","0295","OFF","Byte (1)   1  :00",""
