FileName = C:\Escalation\TSMC\1890400 (BDHKS7)\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_31

LogCount = 1172
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit","Detail","ReplyResult"
"0","2020/09/02","17:34:14","Send","S7F26","","D83E","OFF","List (1)   4
  Ascii(1)  16  :RC2|a2LAOXRB.d03
  Ascii(1)   6  :EagleX
  Ascii(1)   6  :1.79TS
  List (1)  55
    List (1)   2
      UInt2(1)   2  :289 (121h)
      List (1)   6
        Ascii(1)  12  :a1LHfO1k_d20
        Ascii(1)   8  :20200424
        Ascii(1)  13  :2020082800000
        Ascii(1)  10  :Supervisor
        Ascii(1)  10  :Supervisor
        Ascii(1)   6  :1.5800
    List (1)   2
      UInt2(1)   2  :512 (200h)
      List (1)  29
        Ascii(1)   5  :READY",""
"1","2020/09/02","17:34:14","Recv","S7F25","","D83E","ON","Ascii(1)  16  :RC2|a2LAOXRB.d03",""
"2","2020/09/02","17:34:13","Send","S7F26","","D838","OFF","List (1)   4
  Ascii(1)  22  :RC2|a2PRDMYLACIP.x4d16
  Ascii(1)   6  :EagleX
  Ascii(1)   6  :1.79TS
  List (1)  79
    List (1)   2
      UInt2(1)   2  :289 (121h)
      List (1)   6
        Ascii(1)  12  :a1LHfO1k_d20
        Ascii(1)   8  :20200424
        Ascii(1)  13  :2020082812000
        Ascii(1)  10  :Supervisor
        Ascii(1)  10  :Supervisor
        Ascii(1)   6  :1.5800
    List (1)   2
      UInt2(1)   2  :512 (200h)
      List (1)  29
        Ascii(1)   5  :READY",""
"3","2020/09/02","17:34:12","Recv","S7F25","","D838","ON","Ascii(1)  22  :RC2|a2PRDMYLACIP.x4d16",""
"4","2020/09/02","17:34:12","Recv","S6F12","","A51A","OFF","Byte (1)   1  :00",""
"5","2020/09/02","17:34:11","Send","S7F26","","D835","OFF","List (1)   4
  Ascii(1)  14  :RC1|1sstdby_O3
  Ascii(1)   6  :EagleX
  Ascii(1)   6  :1.79TS
  List (1)   1
    List (1)   2
      UInt2(1)   2  :289 (121h)
      List (1)   6
        Ascii(1)   7  :1sstdby
        Ascii(1)   8  :20200424
        Ascii(1)  13  :2020051800000
        Ascii(1)  10  :Supervisor
        Ascii(1)  10  :Supervisor
        Ascii(1)   6  :1.5800",""
"6","2020/09/02","17:34:11","Recv","S7F25","","D835","ON","Ascii(1)  14  :RC1|1sstdby_O3",""
"7","2020/09/02","17:34:09","Send","S6F11","94384 (170B0h)","A51A","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :94384 (170B0h)
  List (1)   1
    List (1)   2
      UInt4(1)   4  :131200 (20080h)
      List (1)   2
        UInt1(1)   1  :1 (01h)
        Ascii(1)   9  :UFH800670",""
"8","2020/09/02","17:34:09","Send","S7F26","","D830","OFF","List (1)   4
  Ascii(1)  16  :RC1|a1LAOXRB.d03
  Ascii(1)   6  :EagleX
  Ascii(1)   6  :1.79TS
  List (1)  55
    List (1)   2
      UInt2(1)   2  :289 (121h)
      List (1)   6
        Ascii(1)  12  :a1LHfO1k_d20
        Ascii(1)   8  :20200424
        Ascii(1)  13  :2020051800000
        Ascii(1)  10  :Supervisor
        Ascii(1)  10  :Supervisor
        Ascii(1)   6  :1.5800
    List (1)   2
      UInt2(1)   2  :512 (200h)
      List (1)  29
        Ascii(1)   5  :READY",""
"9","2020/09/02","17:34:09","Recv","S7F25","","D830","ON","Ascii(1)  16  :RC1|a1LAOXRB.d03",""
