FileName = C:\Users\tnguyen02\Documents\02-OneComm Escalation\TSMC\300134810-Missing DepFinished Event\04-01-18\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_31

LogCount = 8167
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit"
"0","03/28","08:37:46","Recv","S6F12","","9249","OFF",
"1","03/28","08:37:46","Send","S6F11","78258 (131B2h)","9249","ON",
"2","03/28","08:37:46","Recv","S6F12","","9248","OFF",
"3","03/28","08:37:46","Send","S6F11","78306 (131E2h)","9248","ON",
"4","03/28","08:37:36","Recv","S6F12","","9247","OFF",
"5","03/28","08:37:36","Send","S6F11","78290 (131D2h)","9247","ON",
"6","03/28","08:37:22","Recv","S6F12","","9246","OFF",
"7","03/28","08:37:22","Send","S6F11","102432 (19020h)","9246","ON",
"8","03/28","08:37:22","Recv","S6F12","","9245","OFF",
"9","03/28","08:37:22","Send","S6F11","77921 (13061h)","9245","ON",
"10","03/28","08:37:14","Recv","S6F12","","9244","OFF",
"11","03/28","08:37:14","Send","S6F11","78242 (131A2h)","9244","ON",
"12","03/28","08:37:06","Recv","S6F12","","9243","OFF",
"13","03/28","08:37:06","Send","S6F11","78226 (13192h)","9243","ON",
"14","03/28","08:37:05","Recv","S6F12","","9242","OFF",
"15","03/28","08:37:05","Send","S6F11","78337 (13201h)","9242","ON",
"16","03/28","08:36:58","Recv","S6F12","","9241","OFF",
"17","03/28","08:36:58","Send","S6F11","78321 (131F1h)","9241","ON",
"18","03/28","08:36:58","Recv","S6F12","","9240","OFF",
"19","03/28","08:36:58","Send","S6F11","78273 (131C1h)","9240","ON",
"20","03/28","08:36:51","Recv","S6F12","","923F","OFF",
"21","03/28","08:36:51","Send","S6F11","78257 (131B1h)","923F","ON",
"22","03/28","08:36:50","Recv","S6F12","","923E","OFF",
"23","03/28","08:36:50","Send","S6F11","78305 (131E1h)","923E","ON",
"24","03/28","08:36:41","Recv","S6F12","","923D","OFF",
"25","03/28","08:36:41","Send","S6F11","78289 (131D1h)","923D","ON",
"26","03/28","08:36:31","Recv","S6F12","","923C","OFF",
"27","03/28","08:36:31","Send","S6F11","102448 (19030h)","923C","ON",
"28","03/28","08:36:31","Recv","S6F12","","923B","OFF",
"29","03/28","08:36:31","Send","S6F11","77938 (13072h)","923B","ON",
"30","03/28","08:36:18","Recv","S6F12","","923A","OFF",
"31","03/28","08:36:18","Send","S6F11","78241 (131A1h)","923A","ON",
"32","03/28","08:36:07","Recv","S6F12","","9239","OFF",
"33","03/28","08:36:07","Send","S6F11","78225 (13191h)","9239","ON",
"34","03/28","08:35:53","Recv","S6F12","","9238","OFF",
"35","03/28","08:35:53","Send","S6F11","78082 (13102h)","9238","ON",
"36","03/28","08:35:49","Recv","S6F12","","9237","OFF",
"37","03/28","08:35:49","Send","S6F11","78066 (130F2h)","9237","ON",
"38","03/28","08:35:49","Recv","S6F12","","9236","OFF",
"39","03/28","08:35:49","Send","S6F11","78050 (130E2h)","9236","ON",
"40","03/28","08:35:46","Recv","S6F12","","9235","OFF",
"41","03/28","08:35:46","Send","S6F11","78034 (130D2h)","9235","ON",
"42","03/28","08:35:46","Recv","S6F12","","9234","OFF",
"43","03/28","08:35:46","Send","S6F11","78210 (13182h)","9234","ON",
"44","03/28","08:35:42","Recv","S6F12","","9233","OFF",
"45","03/28","08:35:42","Send","S6F11","78194 (13172h)","9233","ON",
"46","03/28","08:35:41","Recv","S6F12","","9232","OFF",
"47","03/28","08:35:41","Send","S6F11","78114 (13122h)","9232","ON",
"48","03/28","08:35:37","Recv","S6F12","","9231","OFF",
"49","03/28","08:35:37","Send","S6F11","78098 (13112h)","9231","ON",
"50","03/28","08:35:36","Recv","S6F12","","9230","OFF",
"51","03/28","08:35:35","Send","S6F11","102448 (19030h)","9230","ON",
"52","03/28","08:35:35","Recv","S6F12","","922F","OFF",
"53","03/28","08:35:35","Send","S6F11","77937 (13071h)","922F","ON",
"54","03/28","08:35:27","Recv","S6F12","","922E","OFF",
"55","03/28","08:35:27","Send","S6F11","78081 (13101h)","922E","ON",
