FileName = C:\Users\tnguyen02\Documents\02-OneComm Escalation\TSMC\300141520-Wafer stuck in RC until other job finished\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_00

LogCount = 8229
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit"
"0","06/14","05:15:14","Recv","S6F12","","F75A","OFF",
"1","06/14","05:15:14","Send","S6F11","78033 (130D1h)","F75A","ON",
"2","06/14","05:15:13","Recv","S6F12","","F759","OFF",
"3","06/14","05:15:13","Send","S6F11","78211 (13183h)","F759","ON",
"4","06/14","05:15:10","Recv","S6F12","","F758","OFF",
"5","06/14","05:15:10","Send","S6F11","78195 (13173h)","F758","ON",
"6","06/14","05:15:10","Recv","S6F12","","F757","OFF",
"7","06/14","05:15:10","Send","S6F11","78114 (13122h)","F757","ON",
"8","06/14","05:15:05","Recv","S6F12","","F756","OFF",
"9","06/14","05:15:05","Send","S6F11","78098 (13112h)","F756","ON",
"10","06/14","05:14:26","Recv","S6F12","","F755","OFF",
"11","06/14","05:14:26","Send","S6F11","102432 (19020h)","F755","ON",
"12","06/14","05:14:26","Recv","S6F12","","F754","OFF",
"13","06/14","05:14:25","Send","S6F11","77923 (13063h)","F754","ON",
"14","06/14","05:14:08","Recv","S6F12","","F753","OFF",
"15","06/14","05:14:08","Send","S6F11","78337 (13201h)","F753","ON",
"16","06/14","05:14:03","Recv","S6F12","","F752","OFF",
"17","06/14","05:14:03","Send","S6F11","78321 (131F1h)","F752","ON",
"18","06/14","05:14:02","Recv","S6F12","","F751","OFF",
"19","06/14","05:14:02","Send","S6F11","78275 (131C3h)","F751","ON",
"20","06/14","05:13:58","Recv","S6F12","","F750","OFF",
"21","06/14","05:13:58","Send","S6F11","78259 (131B3h)","F750","ON",
"22","06/14","05:13:57","Recv","S6F12","","F74F","OFF",
"23","06/14","05:13:57","Send","S6F11","78307 (131E3h)","F74F","ON",
"24","06/14","05:13:51","Recv","S6F12","","F74E","OFF",
"25","06/14","05:13:51","Send","S6F11","78291 (131D3h)","F74E","ON",
"26","06/14","05:13:28","Recv","S6F12","","F74D","OFF",
"27","06/14","05:13:28","Send","S6F11","78241 (131A1h)","F74D","ON",
"28","06/14","05:13:23","Recv","S6F12","","F74C","OFF",
"29","06/14","05:13:23","Send","S6F11","102448 (19030h)","F74C","ON",
"30","06/14","05:13:23","Recv","S6F12","","F74B","OFF",
"31","06/14","05:13:23","Send","S6F11","78225 (13191h)","F74B","ON",
"32","06/14","05:13:23","Recv","S6F12","","F74A","OFF",
"33","06/14","05:13:23","Send","S6F11","77939 (13073h)","F74A","ON",
"34","06/14","05:13:09","Recv","S6F12","","F749","OFF",
"35","06/14","05:13:09","Send","S6F11","102432 (19020h)","F749","ON",
"36","06/14","05:13:09","Recv","S6F12","","F748","OFF",
"37","06/14","05:13:09","Send","S6F11","77922 (13062h)","F748","ON",
"38","06/14","05:12:51","Recv","S6F12","","F747","OFF",
"39","06/14","05:12:51","Send","S6F11","78338 (13202h)","F747","ON",
"40","06/14","05:12:46","Recv","S6F12","","F746","OFF",
"41","06/14","05:12:46","Send","S6F11","78322 (131F2h)","F746","ON",
"42","06/14","05:12:46","Recv","S6F12","","F745","OFF",
"43","06/14","05:12:46","Send","S6F11","78274 (131C2h)","F745","ON",
"44","06/14","05:12:44","Recv","S6F12","","F744","OFF",
"45","06/14","05:12:44","Send","S6F11","78081 (13101h)","F744","ON",
"46","06/14","05:12:42","Recv","S6F12","","F743","OFF",
"47","06/14","05:12:42","Send","S6F11","78258 (131B2h)","F743","ON",
"48","06/14","05:12:41","Recv","S6F12","","F742","OFF",
