"8228","06/13","19:31:44","Send","S16F20",PRGetAllJobs Send
"8227","06/13","19:31:44","Recv","S3F17",Carrier Action Request 
"8226","06/13","19:31:44","Send","S3F18",Carrier Action Acknowledge 
"8225","06/13","19:31:44","Recv","S7F25",Formatted Process Program Request
"8224","06/13","19:31:44","Send","S7F26",Formatted Process Program Data
"8223","06/13","19:31:44","Recv","S7F25",Formatted Process Program Request
"8222","06/13","19:31:45","Send","S7F26",Formatted Process Program Data
"8221","06/13","19:31:45","Recv","S7F25",Formatted Process Program Request
"8220","06/13","19:31:45","Send","S7F26",Formatted Process Program Data
"8219","06/13","19:31:45","Recv","S2F13",Equipment Constant Request
"8218","06/13","19:31:45","Send","S2F14",Equipment Constant Data
"8217","06/13","19:31:46","Recv","S7F25",Formatted Process Program Request
"8216","06/13","19:31:46","Send","S7F26",Formatted Process Program Data
"8215","06/13","19:31:47","Recv","S7F25",Formatted Process Program Request
"8214","06/13","19:31:47","Send","S7F26",Formatted Process Program Data
"8213","06/13","19:31:47","Send","S6F11",CEID:94384 CarrierDocked
"8212","06/13","19:31:48","Recv","S6F12",Event Report Acknowledge
"8211","06/13","19:31:49","Send","S6F11",CEID:77939 RC3RecipeFinished
"8210","06/13","19:31:49","Recv","S6F12",Event Report Acknowledge
"8209","06/13","19:31:49","Send","S6F11",CEID:78225 WaferMovedStartLL1BERbt
"8208","06/13","19:31:49","Recv","S6F12",Event Report Acknowledge
"8207","06/13","19:31:50","Send","S6F11",CEID:102448 DepositionRecipeFinished
"8206","06/13","19:31:50","Recv","S6F12",Event Report Acknowledge
"8205","06/13","19:31:54","Send","S6F11",CEID:78241 WaferMovedFinishLL1BERbt
"8204","06/13","19:31:54","Recv","S6F12",Event Report Acknowledge
"8203","06/13","19:32:00","Send","S6F11",CEID:78098 WaferMovedStartLL2FERbt
"8202","06/13","19:32:00","Recv","S6F12",Event Report Acknowledge
"8201","06/13","19:32:02","Send","S6F11",CEID:94416 CarrierOpened
"8200","06/13","19:32:02","Recv","S6F12",Event Report Acknowledge
"8199","06/13","19:32:02","Send","S6F11",CEID:106848 COSMSCT-14(SLOTMAPNOTREAD->WTGFORHOST)
"8198","06/13","19:32:02","Recv","S6F12",Event Report Acknowledge
"8197","06/13","19:32:03","Recv","S3F17",Carrier Action Request 
"8196","06/13","19:32:03","Send","S3F18",Carrier Action Acknowledge 
"8195","06/13","19:32:03","Recv","S16F15",PRJobMultiCreate
"8194","06/13","19:32:04","Send","S16F16",PRJobMultiCreate Acknowledge
"8193","06/13","19:32:04","Recv","S14F9",Create Object Request
"8192","06/13","19:32:05","Send","S14F10",Create Object Acknowledge
"8191","06/13","19:32:05","Send","S6F11",CEID:78114 WaferMovedFinishLL2FERbt
"8190","06/13","19:32:05","Recv","S6F12",Event Report Acknowledge
"8189","06/13","19:32:05","Send","S6F11",CEID:114704 CJSMSCT-1(nostate->QUEUED)
"8188","06/13","19:32:05","Recv","S6F12",Event Report Acknowledge
"8187","06/13","19:32:05","Send","S6F11",CEID:110608 PJSMSCT-1(nostate->POOLED)
"8186","06/13","19:32:06","Recv","S6F12",Event Report Acknowledge
"8185","06/13","19:32:06","Send","S6F11",CEID:78195 WaferMovedStartFERbtLP3
"8184","06/13","19:32:06","Recv","S6F12",Event Report Acknowledge
"8183","06/13","19:32:09","Send","S6F11",CEID:78211 WaferMovedFinishFERbtLP3
"8182","06/13","19:32:09","Recv","S6F12",Event Report Acknowledge
"8181","06/13","19:32:09","Send","S6F11","CEID:78035 WaferMovedStartLP3FERbt (LP3 sending Wafer in )"
"8180","06/13","19:32:09","Recv","S6F12",Event Report Acknowledge
"8179","06/13","19:32:12","Send","S6F11",CEID:78051 WaferMovedFinishLP3FERbt
"8178","06/13","19:32:13","Recv","S6F12",Event Report Acknowledge
"8177","06/13","19:32:13","Send","S6F11",CEID:78066 WaferMovedStartFERbtLL2
"8176","06/13","19:32:13","Recv","S6F12",Event Report Acknowledge
"8175","06/13","19:32:17","Send","S6F11",CEID:78082 WaferMovedFinishFERbtLL2
"8174","06/13","19:32:17","Recv","S6F12",Event Report Acknowledge
"8173","06/13","19:32:17","Send","S6F11",CEID:78291 WaferMovedStartRC3BERbt
"8172","06/13","19:32:17","Recv","S6F12",Event Report Acknowledge
"8171","06/13","19:32:24","Send","S6F11",CEID:78307 WaferMovedFinishRC3BERbt
"8170","06/13","19:32:24","Recv","S6F12",Event Report Acknowledge
"8169","06/13","19:32:24","Send","S6F11",CEID:78259 WaferMovedStartBERbtRC3
"8168","06/13","19:32:24","Recv","S6F12",Event Report Acknowledge
"8167","06/13","19:32:29","Send","S6F11","CEID:78275 WaferMovedFinishBERbtRC3 (RC3 Wafer Entered)"
"8166","06/13","19:32:29","Recv","S6F12",Event Report Acknowledge
"8165","06/13","19:32:29","Send","S6F11",CEID:78321 WaferMovedStartdBERbtLL1
"8164","06/13","19:32:29","Recv","S6F12",Event Report Acknowledge
"8163","06/13","19:32:35","Send","S6F11",CEID:78337 WaferMovedFinishdBERbtLL1
"8162","06/13","19:32:35","Recv","S6F12",Event Report Acknowledge
"8161","06/13","19:32:52","Send","S6F11",CEID:77940 RC4RecipeFinished
"8160","06/13","19:32:52","Recv","S6F12",Event Report Acknowledge
"8159","06/13","19:32:52","Send","S6F11",CEID:78226 WaferMovedStartLL2BERbt
"8158","06/13","19:32:53","Recv","S6F12",Event Report Acknowledge
"8157","06/13","19:32:53","Send","S6F11",CEID:102448 DepositionRecipeFinished
"8156","06/13","19:32:53","Recv","S6F12",Event Report Acknowledge
"8155","06/13","19:32:53","Send","S6F11","CEID:77923 RC3RecipeStarted (RC3 Started)"
