FileName = C:\Users\tnguyen02\Documents\02-OneComm Escalation\TSMC\300134810-Missing DepFinished Event\04-01-18\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_32

LogCount = 4480
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit"
"0","03/28","17:08:49","Recv","S6F12","","9B4C","OFF",
"1","03/28","17:08:49","Send","S6F11","77923 (13063h)","9B4C","ON",
"2","03/28","17:07:15","Recv","S6F12","","9B4A","OFF",
"3","03/28","17:07:15","Send","S6F11","77924 (13064h)","9B4A","ON",
"4","03/28","17:03:07","Recv","S6F12","","9B45","OFF",
"5","03/28","17:03:07","Send","S6F11","77938 (13072h)","9B45","ON",
"6","03/28","17:03:05","Recv","S6F12","","9B44","OFF",
"7","03/28","17:03:05","Send","S6F11","77921 (13061h)","9B44","ON",
"8","03/28","17:02:15","Recv","S6F12","","9B42","OFF",
"9","03/28","17:02:15","Send","S6F11","77940 (13074h)","9B42","ON",
"10","03/28","16:58:48","Recv","S6F12","","9B3E","OFF",
"11","03/28","16:58:48","Send","S6F11","77939 (13073h)","9B3E","ON",
"12","03/28","16:53:04","Recv","S6F12","","9B38","OFF",
"13","03/28","16:53:04","Send","S6F11","77937 (13071h)","9B38","ON",
"14","03/28","16:53:03","Recv","S6F12","","9B37","OFF",
"15","03/28","16:53:03","Send","S6F11","77922 (13062h)","9B37","ON",
"16","03/28","16:52:11","Recv","S6F12","","9B35","OFF",
"17","03/28","16:52:11","Send","S6F11","77924 (13064h)","9B35","ON",
"18","03/28","16:48:44","Recv","S6F12","","9B31","OFF",
"19","03/28","16:48:44","Send","S6F11","77923 (13063h)","9B31","ON",
"20","03/28","16:47:10","Recv","S6F12","","9B2F","OFF",
"21","03/28","16:47:10","Send","S6F11","77940 (13074h)","9B2F","ON",
"22","03/28","16:43:02","Recv","S6F12","","9B2A","OFF",
"23","03/28","16:43:02","Send","S6F11","77938 (13072h)","9B2A","ON",
"24","03/28","16:43:00","Recv","S6F12","","9B29","OFF",
"25","03/28","16:43:00","Send","S6F11","77921 (13061h)","9B29","ON",
"26","03/28","16:38:43","Recv","S6F12","","9B24","OFF",
"27","03/28","16:38:43","Send","S6F11","77939 (13073h)","9B24","ON",
"28","03/28","16:37:07","Recv","S6F12","","9B22","OFF",
"29","03/28","16:37:07","Send","S6F11","77924 (13064h)","9B22","ON",
"30","03/28","16:33:00","Recv","S6F12","","9B1D","OFF",
"31","03/28","16:33:00","Send","S6F11","77937 (13071h)","9B1D","ON",
"32","03/28","16:32:59","Recv","S6F12","","9B1C","OFF",
"33","03/28","16:32:59","Send","S6F11","77922 (13062h)","9B1C","ON",
"34","03/28","16:32:06","Recv","S6F12","","9B1A","OFF",
"35","03/28","16:32:06","Send","S6F11","77940 (13074h)","9B1A","ON",
"36","03/28","16:28:39","Recv","S6F12","","9B16","OFF",
"37","03/28","16:28:39","Send","S6F11","77923 (13063h)","9B16","ON",
"38","03/28","16:22:58","Recv","S6F12","","9B10","OFF",
"39","03/28","16:22:58","Send","S6F11","77938 (13072h)","9B10","ON",
"40","03/28","16:22:56","Recv","S6F12","","9B0F","OFF",
"41","03/28","16:22:56","Send","S6F11","77921 (13061h)","9B0F","ON",
"42","03/28","16:22:02","Recv","S6F12","","9B0D","OFF",
"43","03/28","16:22:02","Send","S6F11","77924 (13064h)","9B0D","ON",
"44","03/28","16:18:38","Recv","S6F12","","9B09","OFF",
"45","03/28","16:18:38","Send","S6F11","77939 (13073h)","9B09","ON",
"46","03/28","16:17:01","Recv","S6F12","","9B07","OFF",
"47","03/28","16:17:01","Send","S6F11","77940 (13074h)","9B07","ON",
"48","03/28","16:12:56","Recv","S6F12","","9B02","OFF",
"49","03/28","16:12:56","Send","S6F11","77937 (13071h)","9B02","ON",
"50","03/28","16:12:54","Recv","S6F12","","9B01","OFF",
"51","03/28","16:12:54","Send","S6F11","77922 (13062h)","9B01","ON",
"52","03/28","16:08:34","Recv","S6F12","","9AFC","OFF",
"53","03/28","16:08:34","Send","S6F11","77923 (13063h)","9AFC","ON",
"54","03/28","16:06:58","Recv","S6F12","","9AFA","OFF",
"55","03/28","16:06:58","Send","S6F11","77924 (13064h)","9AFA","ON",
"56","03/28","16:02:54","Recv","S6F12","","9AF5","OFF",
"57","03/28","16:02:54","Send","S6F11","77938 (13072h)","9AF5","ON",
"58","03/28","16:02:52","Recv","S6F12","","9AF4","OFF",
"59","03/28","16:02:52","Send","S6F11","77921 (13061h)","9AF4","ON",
"60","03/28","16:01:57","Recv","S6F12","","9AF2","OFF",
"61","03/28","16:01:57","Send","S6F11","77940 (13074h)","9AF2","ON",
"62","03/28","15:58:33","Recv","S6F12","","9AEE","OFF",
"63","03/28","15:58:33","Send","S6F11","77939 (13073h)","9AEE","ON",
"64","03/28","15:57:52","Send","S2F14","","D9D6","OFF",
"65","03/28","15:57:52","Recv","S2F13","","D9D6","ON",
"66","03/28","15:56:16","Send","S3F28","","D9D4","OFF",
"67","03/28","15:56:15","Recv","S3F27","","D9D4","ON",
"68","03/28","15:56:15","Send","S3F28","","D9D3","OFF",
"69","03/28","15:56:14","Recv","S3F27","","D9D3","ON",
"70","03/28","15:56:14","Send","S2F16","","D9D1","OFF",
"71","03/28","15:56:14","Recv","S2F15","","D9D1","ON",
"72","03/28","15:56:14","Send","S5F4","","D9D0","OFF",
"73","03/28","15:56:14","Recv","S5F3","","D9D0","ON",
"74","03/28","15:56:13","Send","S2F38","","D9CF","OFF",
"75","03/28","15:56:13","Recv","S2F37","","D9CF","ON",
"76","03/28","15:56:13","Send","S2F36","","D9CE","OFF",
"77","03/28","15:56:13","Recv","S2F35","","D9CE","ON",
"78","03/28","15:56:13","Send","S2F34","","D9CD","OFF",
"79","03/28","15:56:13","Recv","S2F33","","D9CD","ON",
"80","03/28","15:56:13","Send","S2F34","","D9CC","OFF",
"81","03/28","15:56:13","Recv","S2F33","","D9CC","ON",
"82","03/28","15:56:13","Send","S2F36","","D9CB","OFF",
