FileName = C:\Users\tnguyen02\Documents\02-OneComm Escalation\TSMC\300140421-PJ succeeded but CJ failed to create\Create_CJ_fail\Create_JOB_Fail_Log\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_00

LogCount = 1228
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit","Detail","ReplyResult"
"0","2018/06/01","20:57:37","Send","S14F10","","0008","OFF","List (1)   3
  Ascii(1)   0  :
  List (1)   0
  List (1)   2
    UInt1(1)   1  :1 (01h)
    List (1)   0","Nack"
"1","2018/06/01","20:57:37","Recv","S14F9","","0008","ON","List (1)   3
  Ascii(1)  10  :ControlJob
  Ascii(1)  10  :ControlJob
  List (1)   5
    List (1)   2
      Ascii(1)   5  :ObjID
      Ascii(1)  12  :C1-NFF010393
    List (1)   2
      Ascii(1)  18  :ProcessingCtrlSpec
      List (1)   2
        List (1)   3
          Ascii(1)  13  :2A-PJ00001.00
          List (1)   0
          UInt1(1)   1  :0 (00h)
        List (1)   3
          Ascii(1)  13  :2A-PJ00002.00
          List (1)   0
          UInt1(1)   1  :0 (00h)
    List (1)   2
      Ascii(1)  16  :CarrierInputSpec
      List (1)   1
        Ascii(1)   1  :2
    List (1)   2
      Ascii(1)  16  :ProcessOrderMgmt
      UInt1(1)   1  :3 (03h)
    List (1)   2
      Ascii(1)  11  :StartMethod
      Truth(1)   1  :FF",""
"2","2018/06/01","20:57:22","Recv","S6F12","","0167","OFF","Byte (1)   1  :00",""
"3","2018/06/01","20:57:21","Recv","S6F12","","0166","OFF","Byte (1)   1  :00",""
"4","2018/06/01","20:57:21","Send","S6F11","110608 (1B010h)","0167","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :110608 (1B010h)
  List (1)   4
    List (1)   2
      UInt4(1)   4  :131088 (20010h)
      List (1)   1
        Ascii(1)  16  :2018060120572179
    List (1)   2
      UInt4(1)   4  :176144 (2B010h)
      List (1)   1
        Ascii(1)  13  :2A-PJ00002.00
    List (1)   2
      UInt4(1)   4  :176160 (2B020h)
      List (1)   1
        UInt1(1)   1  :0 (00h)
    List (1)   2
      UInt4(1)   4  :176176 (2B030h)
      List (1)   1
        Ascii(1)   4  :PJ02",""
"5","2018/06/01","20:57:21","Send","S6F11","110608 (1B010h)","0166","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :110608 (1B010h)
  List (1)   4
    List (1)   2
      UInt4(1)   4  :131088 (20010h)
      List (1)   1
        Ascii(1)  16  :2018060120572179
    List (1)   2
      UInt4(1)   4  :176144 (2B010h)
      List (1)   1
        Ascii(1)  13  :2A-PJ00001.00
    List (1)   2
      UInt4(1)   4  :176160 (2B020h)
      List (1)   1
        UInt1(1)   1  :0 (00h)
    List (1)   2
      UInt4(1)   4  :176176 (2B030h)
      List (1)   1
        Ascii(1)   4  :PJ01",""
"6","2018/06/01","20:57:21","Send","S16F16","","0006","OFF","List (1)   2
  List (1)   2
    Ascii(1)  13  :2A-PJ00001.00
    Ascii(1)  13  :2A-PJ00002.00
  List (1)   2
    Truth(1)   1  :01
    List (1)   0",""
"7","2018/06/01","20:57:20","Recv","S16F15","","0006","ON","List (1)   2
  UInt4(1)   4  :0 (00h)
  List (1)   2
    List (1)   6
      Ascii(1)  13  :2A-PJ00001.00
      Byte (1)   1  :0D
      List (1)   1
        List (1)   2
          Ascii(1)   1  :2
          List (1)   1
            UInt1(1)   1  :1 (01h)
      List (1)   3
        UInt1(1)   1  :1 (01h)
        Ascii(1)   4  :PJ01
        List (1)   0
      Truth(1)   1  :FF
      List (1)   0
    List (1)   6
      Ascii(1)  13  :2A-PJ00002.00
      Byte (1)   1  :0D
      List (1)   1
        List (1)   2
          Ascii(1)   1  :2
          List (1)   1
            UInt1(1)   1  :2 (02h)
      List (1)   3
        UInt1(1)   1  :1 (01h)
        Ascii(1)   4  :PJ02
        List (1)   0
      Truth(1)   1  :FF
      List (1)   0",""
"8","2018/06/01","20:57:05","Recv","S6F12","","0165","OFF","Byte (1)   1  :00",""
"9","2018/06/01","20:57:05","Send","S6F11","69680 (11030h)","0165","ON","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :69680 (11030h)
  List (1)   2
    List (1)   2
      UInt4(1)   4  :131088 (20010h)
      List (1)   1
        Ascii(1)  16  :2018060120570549
    List (1)   2
      UInt4(1)   4  :131104 (20020h)
      List (1)   1
        Byte (1)   1  :05",""
