FileName = C:\Users\tnguyen02\Documents\02-OneComm Escalation\TSMC\300141520-Wafer stuck in RC until other job finished\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_98

LogCount = 8191
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit"
"0","06/13","09:40:40","Send","S7F26","","54D4","OFF",
"1","06/13","09:40:40","Recv","S7F25","","54D4","ON",
"2","06/13","09:40:40","Send","S7F26","","54D3","OFF",
"3","06/13","09:40:40","Recv","S7F25","","54D3","ON",
"4","06/13","09:40:39","Send","S7F26","","54D2","OFF",
"5","06/13","09:40:39","Recv","S7F25","","54D2","ON",
"6","06/13","09:40:39","Send","S3F18","","54D1","OFF",
"7","06/13","09:40:39","Recv","S3F17","","54D1","ON",
"8","06/13","09:40:39","Send","S16F20","","54CD","OFF",
"9","06/13","09:40:39","Recv","S16F19","","54CD","ON",
"10","06/13","09:40:39","Send","S16F22","","54CC","OFF",
"11","06/13","09:40:39","Recv","S16F21","","54CC","ON",
"12","06/13","09:40:39","Send","S7F20","","54CB","OFF",
"13","06/13","09:40:39","Recv","S7F19","","54CB","ON",
"14","06/13","09:40:35","Recv","S6F12","","D980","OFF",
"15","06/13","09:40:35","Send","S6F11","106672 (1A0B0h)","D980","ON",
"16","06/13","09:40:33","Recv","S6F12","","D97F","OFF",
"17","06/13","09:40:33","Send","S6F11","94352 (17090h)","D97F","ON",
"18","06/13","09:40:25","Recv","S6F12","","D97E","OFF",
"19","06/13","09:40:25","Send","S6F11","94224 (17010h)","D97E","ON",
"20","06/13","09:37:43","Recv","S6F12","","D97A","OFF",
"21","06/13","09:37:43","Send","S6F11","78081 (13101h)","D97A","ON",
"22","06/13","09:37:38","Recv","S6F12","","D979","OFF",
"23","06/13","09:37:38","Send","S6F11","78065 (130F1h)","D979","ON",
"24","06/13","09:37:38","Recv","S6F12","","D978","OFF",
"25","06/13","09:37:38","Send","S6F11","78049 (130E1h)","D978","ON",
"26","06/13","09:37:36","Recv","S6F12","","D977","OFF",
"27","06/13","09:37:35","Send","S6F11","110656 (1B040h)","D977","ON",
"28","06/13","09:37:35","Recv","S6F12","","D976","OFF",
"29","06/13","09:37:35","Send","S6F11","114768 (1C050h)","D976","ON",
"30","06/13","09:37:35","Recv","S6F12","","D975","OFF",
"31","06/13","09:37:35","Send","S6F11","110624 (1B020h)","D975","ON",
"32","06/13","09:37:35","Recv","S6F12","","D974","OFF",
"33","06/13","09:37:35","Send","S6F11","114736 (1C030h)","D974","ON",
"34","06/13","09:37:35","Recv","S6F12","","D973","OFF",
"35","06/13","09:37:35","Send","S6F11","110608 (1B010h)","D973","ON",
"36","06/13","09:37:35","Recv","S6F12","","D972","OFF",
"37","06/13","09:37:35","Send","S6F11","110608 (1B010h)","D972","ON",
"38","06/13","09:37:35","Recv","S6F12","","D971","OFF",
"39","06/13","09:37:35","Send","S6F11","110608 (1B010h)","D971","ON",
"40","06/13","09:37:35","Recv","S6F12","","D970","OFF",
"41","06/13","09:37:35","Send","S6F11","110608 (1B010h)","D970","ON",
"42","06/13","09:37:35","Recv","S6F12","","D96F","OFF",
"43","06/13","09:37:35","Send","S6F11","114704 (1C010h)","D96F","ON",
"44","06/13","09:37:35","Recv","S6F12","","D96E","OFF",
"45","06/13","09:37:35","Send","S6F11","78033 (130D1h)","D96E","ON",
"46","06/13","09:37:34","Send","S14F10","","54C6","OFF",
"47","06/13","09:37:33","Recv","S14F9","","54C6","ON",
"48","06/13","09:37:33","Send","S16F16","","54C5","OFF",
"49","06/13","09:37:32","Recv","S16F15","","54C5","ON",
"50","06/13","09:37:32","Send","S3F18","","54C4","OFF",
"51","06/13","09:37:32","Recv","S3F17","","54C4","ON",
"52","06/13","09:37:18","Recv","S6F12","","D96D","OFF",
"53","06/13","09:37:18","Send","S6F11","106848 (1A160h)","D96D","ON",
"54","06/13","09:37:18","Recv","S6F12","","D96C","OFF",
"55","06/13","09:37:17","Send","S6F11","94416 (170D0h)","D96C","ON",
"56","06/13","09:37:05","Send","S7F26","","54C0","OFF",
"57","06/13","09:37:05","Recv","S7F25","","54C0","ON",
"58","06/13","09:37:05","Send","S7F26","","54BF","OFF",
"59","06/13","09:37:05","Recv","S7F25","","54BF","ON",
"60","06/13","09:37:04","Send","S7F26","","54BD","OFF",
"61","06/13","09:37:04","Recv","S7F25","","54BD","ON",
"62","06/13","09:37:04","Send","S7F26","","54BC","OFF",
"63","06/13","09:37:04","Recv","S7F25","","54BC","ON",
"64","06/13","09:37:03","Send","S7F26","","54BA","OFF",
"65","06/13","09:37:03","Recv","S6F12","","D96B","OFF",
"66","06/13","09:37:03","Recv","S7F25","","54BA","ON",
"67","06/13","09:37:02","Send","S6F11","94384 (170B0h)","D96B","ON",
"68","06/13","09:37:02","Send","S7F26","","54B9","OFF",
"69","06/13","09:37:02","Recv","S7F25","","54B9","ON",
"70","06/13","09:37:01","Send","S2F14","","54B7","OFF",
"71","06/13","09:37:01","Recv","S2F13","","54B7","ON",
"72","06/13","09:37:00","Send","S7F26","","54B5","OFF",
"73","06/13","09:37:00","Recv","S7F25","","54B5","ON",
"74","06/13","09:37:00","Send","S7F26","","54B4","OFF",
"75","06/13","09:37:00","Recv","S7F25","","54B4","ON",
"76","06/13","09:37:00","Send","S3F18","","54B3","OFF",
"77","06/13","09:37:00","Recv","S3F17","","54B3","ON",
"78","06/13","09:36:59","Send","S16F20","","54AF","OFF",
"79","06/13","09:36:59","Recv","S16F19","","54AF","ON",
"80","06/13","09:36:59","Send","S16F22","","54AE","OFF",
"81","06/13","09:36:59","Recv","S16F21","","54AE","ON",
"82","06/13","09:36:59","Send","S7F20","","54AD","OFF",
"83","06/13","09:36:59","Recv","S7F19","","54AD","ON",
"84","06/13","09:36:44","Recv","S6F12","","D96A","OFF",
"85","06/13","09:36:44","Send","S6F11","106672 (1A0B0h)","D96A","ON",
"86","06/13","09:36:42","Recv","S6F12","","D969","OFF",
"87","06/13","09:36:42","Send","S6F11","94352 (17090h)","D969","ON",
"88","06/13","09:36:34","Recv","S6F12","","D968","OFF",
"89","06/13","09:36:34","Send","S6F11","94224 (17010h)","D968","ON",
"90","06/13","09:34:48","Recv","S6F12","","D966","OFF",
"91","06/13","09:34:48","Send","S6F11","77921 (13061h)","D966","ON",
"92","06/13","09:32:17","Recv","S6F12","","D963","OFF",
"93","06/13","09:32:17","Send","S6F11","77924 (13064h)","D963","ON",
"94","06/13","09:32:11","Recv","S6F12","","D962","OFF",
"95","06/13","09:32:11","Send","S6F11","77923 (13063h)","D962","ON",
"96","06/13","09:32:07","Recv","S6F12","","D961","OFF",
"97","06/13","09:32:07","Send","S6F11","77922 (13062h)","D961","ON",
"98","06/13","09:27:16","Recv","S6F12","","D95C","OFF",
"99","06/13","09:27:16","Send","S6F11","77940 (13074h)","D95C","ON",
"100","06/13","09:24:48","Recv","S6F12","","D959","OFF",
"101","06/13","09:24:48","Send","S6F11","77937 (13071h)","D959","ON",
"102","06/13","09:22:10","Recv","S6F12","","D956","OFF",
"103","06/13","09:22:10","Send","S6F11","77939 (13073h)","D956","ON",
"104","06/13","09:22:07","Recv","S6F12","","D955","OFF",
"105","06/13","09:22:07","Send","S6F11","77938 (13072h)","D955","ON",
"106","06/13","09:17:12","Recv","S6F12","","D950","OFF",
"107","06/13","09:17:12","Send","S6F11","77924 (13064h)","D950","ON",
"108","06/13","09:14:44","Recv","S6F12","","D94D","OFF",
"109","06/13","09:14:44","Send","S6F11","77921 (13061h)","D94D","ON",
"110","06/13","09:12:12","Recv","S6F12","","D94A","OFF",
"111","06/13","09:12:12","Send","S6F11","77940 (13074h)","D94A","ON",
"112","06/13","09:12:06","Recv","S6F12","","D949","OFF",
"113","06/13","09:12:06","Send","S6F11","77923 (13063h)","D949","ON",
"114","06/13","09:12:03","Recv","S6F12","","D948","OFF",
"115","06/13","09:12:03","Send","S6F11","77922 (13062h)","D948","ON",
"116","06/13","09:04:43","Recv","S6F12","","D941","OFF",
"117","06/13","09:04:43","Send","S6F11","77937 (13071h)","D941","ON",
"118","06/13","09:02:08","Recv","S6F12","","D93E","OFF",
"119","06/13","09:02:08","Send","S6F11","77924 (13064h)","D93E","ON",
"120","06/13","09:02:05","Recv","S6F12","","D93D","OFF",
