FileName = C:\Escalation\Winbond\0892100 (TAALDH02)\300169157 FOUP Unload Abnormal\20191016_log\log\Logs\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_39

LogCount = 4560
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit","Detail","ReplyResult"
"0","2019/10/16","20:31:53","Send","S6F1","","68F6","ON","List (1)   4
  UInt4(1)   4  :3 (03h)
  UInt4(1)   4  :16343 (3FD7h)
  Ascii(1)  16  :2019101620315331
  List (1)  34
    Ascii(1)   8  :openV203
    Ascii(1)   6  :000002
    Ascii(1)   6  :000002
    Ascii(1)   6  :00.337
    Ascii(1)   6  :000.33
    Ascii(1)   6  :0000.7
    Ascii(1)   6  :007.06
    Ascii(1)   6  :0029.3
    Ascii(1)   6  :0230.6
    Ascii(1)   6  :0026.7
    Ascii(1)   6  :0363.0
    Ascii(1)   6  :0006.0
    Ascii(1)   6  :0357.3
    Ascii(1)   6  :0007.5
    Ascii(1)   6  :05.297
    Ascii(1)   6  :000028
    Ascii(1)   6  :0225.8
    Ascii(1)   5  :HfO_2
    Ascii(1)   6  :000001
    Ascii(1)   6  :000001
    Ascii(1)   6  :03.622
    Ascii(1)   6  :000.26
    Ascii(1)   6  :0002.2
    Ascii(1)   6  :006.67
    Ascii(1)   6  :0036.8
    Ascii(1)   6  :0120.2
    Ascii(1)   6  :0026.5
    Ascii(1)   6  :0272.0
    Ascii(1)   6  :0005.3
    Ascii(1)   6  :0335.8
    Ascii(1)   6  :0007.5
    Ascii(1)   6  :04.032
    Ascii(1)   6  :000023
    Ascii(1)   6  :0241.0",""
"1","2019/10/16","20:31:53","Recv","S6F2","","68F5","OFF","Byte (1)   1  :00",""
"2","2019/10/16","20:31:53","Send","S6F1","","68F5","ON","List (1)   4
  UInt4(1)   4  :3 (03h)
  UInt4(1)   4  :16342 (3FD6h)
  Ascii(1)  16  :2019101620315320
  List (1)  34
    Ascii(1)   8  :openV203
    Ascii(1)   6  :000001
    Ascii(1)   6  :000002
    Ascii(1)   6  :00.337
    Ascii(1)   6  :000.33
    Ascii(1)   6  :0000.7
    Ascii(1)   6  :007.05
    Ascii(1)   6  :0029.3
    Ascii(1)   6  :0230.6
    Ascii(1)   6  :0026.7
    Ascii(1)   6  :0363.0
    Ascii(1)   6  :0006.0
    Ascii(1)   6  :0357.3
    Ascii(1)   6  :0007.6
    Ascii(1)   6  :05.294
    Ascii(1)   6  :000028
    Ascii(1)   6  :0225.8
    Ascii(1)   5  :HfO_2
    Ascii(1)   6  :000001
    Ascii(1)   6  :000001
    Ascii(1)   6  :03.622
    Ascii(1)   6  :000.26
    Ascii(1)   6  :0002.2
    Ascii(1)   6  :006.67
    Ascii(1)   6  :0036.7
    Ascii(1)   6  :0115.0
    Ascii(1)   6  :0025.8
    Ascii(1)   6  :0270.5
    Ascii(1)   6  :0005.3
    Ascii(1)   6  :0335.8
    Ascii(1)   6  :0007.5
    Ascii(1)   6  :04.060
    Ascii(1)   6  :000024
    Ascii(1)   6  :0241.0",""
"3","2019/10/16","20:31:53","Recv","S6F2","","68F4","OFF","Byte (1)   1  :00",""
"4","2019/10/16","20:31:53","Send","S6F1","","68F4","ON","List (1)   4
  UInt4(1)   4  :3 (03h)
  UInt4(1)   4  :16341 (3FD5h)
  Ascii(1)  16  :2019101620315309
  List (1)  34
    Ascii(1)   8  :openV203
    Ascii(1)   6  :000001
    Ascii(1)   6  :000002
    Ascii(1)   6  :00.337
    Ascii(1)   6  :000.33
    Ascii(1)   6  :0000.5
    Ascii(1)   6  :007.08
    Ascii(1)   6  :0029.3
    Ascii(1)   6  :0230.6
    Ascii(1)   6  :0026.7
    Ascii(1)   6  :0363.0
    Ascii(1)   6  :0006.1
    Ascii(1)   6  :0357.3
    Ascii(1)   6  :0007.5
    Ascii(1)   6  :05.291
    Ascii(1)   6  :000028
    Ascii(1)   6  :0225.8
    Ascii(1)   5  :HfO_2
    Ascii(1)   6  :000001
    Ascii(1)   6  :000000
    Ascii(1)   6  :03.622
    Ascii(1)   6  :000.26
    Ascii(1)   6  :0002.0
    Ascii(1)   6  :006.68
    Ascii(1)   6  :0036.7
    Ascii(1)   6  :0119.3
    Ascii(1)   6  :0026.0
    Ascii(1)   6  :0258.6
    Ascii(1)   6  :0005.3
    Ascii(1)   6  :0335.8
    Ascii(1)   6  :0007.5
    Ascii(1)   6  :04.116
    Ascii(1)   6  :000024
    Ascii(1)   6  :0240.8",""
"5","2019/10/16","20:31:53","Recv","S6F2","","68F3","OFF","Byte (1)   1  :00",""
"6","2019/10/16","20:31:53","Send","S6F1","","68F3","ON","List (1)   4
  UInt4(1)   4  :3 (03h)
  UInt4(1)   4  :16340 (3FD4h)
  Ascii(1)  16  :2019101620315298
  List (1)  34
    Ascii(1)   8  :openV203
    Ascii(1)   6  :000001
    Ascii(1)   6  :000002
    Ascii(1)   6  :00.337
    Ascii(1)   6  :000.33
    Ascii(1)   6  :0000.5
    Ascii(1)   6  :007.08
    Ascii(1)   6  :0029.3
    Ascii(1)   6  :0230.6
    Ascii(1)   6  :0026.7
    Ascii(1)   6  :0363.0
    Ascii(1)   6  :0006.0
    Ascii(1)   6  :0357.3
    Ascii(1)   6  :0007.5
    Ascii(1)   6  :05.288
    Ascii(1)   6  :000028
    Ascii(1)   6  :0225.8
    Ascii(1)   5  :HfO_2
    Ascii(1)   6  :000001
    Ascii(1)   6  :000001
    Ascii(1)   6  :03.622
    Ascii(1)   6  :000.22
    Ascii(1)   6  :0002.2
    Ascii(1)   6  :006.65
    Ascii(1)   6  :0036.7
    Ascii(1)   6  :0124.6
    Ascii(1)   6  :0026.2
    Ascii(1)   6  :0250.0
    Ascii(1)   6  :0005.3
    Ascii(1)   6  :0335.8
    Ascii(1)   6  :0007.5
    Ascii(1)   6  :04.187
    Ascii(1)   6  :000024
    Ascii(1)   6  :0241.0",""
"7","2019/10/16","20:31:53","Recv","S6F2","","68F2","OFF","Byte (1)   1  :00",""
"8","2019/10/16","20:31:53","Send","S6F1","","68F2","ON","List (1)   4
  UInt4(1)   4  :2 (02h)
  UInt4(1)   4  :1847 (737h)
  Ascii(1)  16  :2019101620315295
  List (1)  93
    Ascii(1)   5  :HfO_2
    Ascii(1)   6  :03.622
    Ascii(1)   6  :000.22
    Ascii(1)   6  :0002.2
    Ascii(1)   6  :006.65
    Ascii(1)   6  :0241.0
    Ascii(1)   6  :0036.7
    Ascii(1)   6  :0124.6
    Ascii(1)   6  :0026.2
    Ascii(1)   6  :0250.0
    Ascii(1)   6  :0005.3
    Ascii(1)   6  :0335.8
    Ascii(1)   6  :0007.5
    Ascii(1)   6  :000000
    Ascii(1)   6  :000110
    Ascii(1)   6  :-00001
    Ascii(1)   6  :000325
    Ascii(1)   6  :000001
    Ascii(1)   6  :000325
    Ascii(1)   6  :000001
    Ascii(1)   6  :000325
    Ascii(1)   6  :000325
    Ascii(1)   6  :04.187
    Ascii(1)   6  :000024
    Ascii(1)   6  :0351.2
    Ascii(1)   6  :0355.1
    Ascii(1)   6  :0330.2
    Ascii(1)   6  :001757
    Ascii(1)   6  :0000.0
    Ascii(1)   6  :0000.0
    Ascii(1)   6  :0000.0
    Ascii(1)   6  :0063.5
    Ascii(1)   6  :0084.6
    Ascii(1)   6  :0032.6
    Ascii(1)   6  :0000.0
    Ascii(1)   6  :0000.0
    Ascii(1)   6  :0000.0
    Ascii(1)   6  :0018.0
    Ascii(1)   6  :0000.0
    Ascii(1)   6  :000433
    Ascii(1)   6  :000412
    Ascii(1)   6  :000501
    Ascii(1)   6  :000022
    Ascii(1)   6  :0139.1
    Ascii(1)   6  :0177.8
    Ascii(1)   6  :0256.2
    Ascii(1)   6  :0190.5
    Ascii(1)   6  :0180.1
    Ascii(1)   6  :0204.3
    Ascii(1)   6  :0024.2
    Ascii(1)   6  :0042.5
    Ascii(1)   6  :0025.1
    Ascii(1)   6  :0024.5
    Ascii(1)   6  :0031.6
    Ascii(1)   6  :0018.0
    Ascii(1)   6  :0018.0
    Ascii(1)   6  :0208.8
    Ascii(1)   6  :0038.7
    Ascii(1)   6  :0190.8
    Ascii(1)   6  :0025.0
    Ascii(1)   6  :0329.7
    Ascii(1)   6  :0351.2
    Ascii(1)   6  :0355.2
    Ascii(1)   6  :0330.2
    Ascii(1)   6  :0082.3
    Ascii(1)   6  :001.00
    Ascii(1)   6  :02.500
    Ascii(1)   6  :000015
    Ascii(1)   6  :000.00
    Ascii(1)   6  :100.00
    Ascii(1)   6  :000.00
    Ascii(1)   6  :002.49
    Ascii(1)   1  :0
    Ascii(1)   6  :172605
    Ascii(1)   1  :0
    Ascii(1)   1  :0
    Ascii(1)   6  :170956
    Ascii(1)   1  :0
    Ascii(1)   1  :0
    Ascii(1)   1  :0
    Ascii(1)   1  :0
    Ascii(1)   1  :0
    Ascii(1)   6  :0004.1
    Ascii(1)   6  :000064
    Ascii(1)   6  :000063
    Ascii(1)   6  :000062
    Ascii(1)   6  :000063
    Ascii(1)   6  :0000.0
    Ascii(1)   6  :0000.0
    Ascii(1)   6  :0000.0
    Ascii(1)   6  :0000.0
    Ascii(1)   6  :0000.0
    Ascii(1)   6  :0000.1",""
"9","2019/10/16","20:31:52","Recv","S6F2","","68F1","OFF","Byte (1)   1  :00",""
