FileName = C:\Escalation\SMSC\300195325\20200927 tian\LogCC-ALL-20200927161456-01\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_00

LogCount = 10000
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit","Detail","ReplyResult"
"0","2020/09/27","16:04:17","Recv","S3F17","","001C","ON","List (1)   5
  UInt4(1)   4  :1 (01h)
  Ascii(1)  13  :CancelCarrier
  Ascii(1)   8  :KFP08801
  UInt1(1)   1  :1 (01h)
  List (1)   0",""
"1","2020/09/27","16:03:32","Recv","S6F12","","006E","OFF","Byte (1)   1  :00",""
"2","2020/09/27","16:03:32","Recv","S6F12","","006D","OFF","Byte (1)   1  :00",""
"3","2020/09/27","16:03:32","Send","S6F11","118896 (1D070h)","006E","OFF","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :118896 (1D070h)
  List (1)   0",""
"4","2020/09/27","16:03:32","Recv","S16F15","","001B","ON","List (1)   2
  UInt4(1)   4  :1 (01h)
  List (1)   1
    List (1)   6
      Ascii(1)  16  :KZ051038.22_3793
      Byte (1)   1  :0D
      List (1)   1
        List (1)   2
          Ascii(1)   8  :KFP08801
          List (1)   1
            UInt1(1)   1  :25 (19h)
      List (1)   3
        UInt1(1)   1  :1 (01h)
        Ascii(1)  16  :Z-SICONI-M25X2-C
        List (1)   0
      Truth(1)   1  :01
      List (1)   0",""
"5","2020/09/27","16:03:32","Send","S6F11","119040 (1D100h)","006D","OFF","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :119040 (1D100h)
  List (1)   0",""
"6","2020/09/27","16:03:32","Send","S3F18","","001A","OFF","List (1)   2
  UInt1(1)   1  :0 (00h)
  List (1)   0",""
"7","2020/09/27","16:03:32","Recv","S6F12","","006C","OFF","Byte (1)   1  :00",""
"8","2020/09/27","16:03:32","Recv","S3F17","","001A","ON","List (1)   5
  UInt4(1)   4  :1 (01h)
  Ascii(1)  18  :ProceedWithCarrier
  Ascii(1)   8  :KFP08801
  UInt1(1)   1  :1 (01h)
  List (1)   2
    List (1)   2
      Ascii(1)   7  :SlotMap
      List (1)  25
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :3 (03h)
        UInt1(1)   1  :3 (03h)
    List (1)   2
      Ascii(1)  10  :ContentMap
      List (1)  25
        List (1)   2
          Ascii(1)  11  :KZ051038.21
          Ascii(1)  11  :KZ051038#01
        List (1)   2
          Ascii(1)  11  :KZ051038.23
          Ascii(1)  11  :KZ051038#02
        List (1)   2
          Ascii(1)  11  :KZ051038.24
          Ascii(1)  11  :KZ051038#03
        List (1)   2
          Ascii(1)  11  :KZ051038.25
          Ascii(1)  11  :KZ051038#04
        List (1)   2
          Ascii(1)  11  :KZ051038.26
          Ascii(1)  11  :KZ051038#05
        List (1)   2
          Ascii(1)   8  :KZ051038
          Ascii(1)  11  :KZ051038#06
        List (1)   2
          Ascii(1)   8  :KZ051038
          Ascii(1)  11  :KZ051038#07
        List (1)   2
          Ascii(1)   8  :KZ051038
          Ascii(1)  11  :KZ051038#08
        List (1)   2
          Ascii(1)   8  :KZ051038
          Ascii(1)  11  :KZ051038#09
        List (1)   2
          Ascii(1)   8  :KZ051038
          Ascii(1)  11  :KZ051038#10
        List (1)   2
          Ascii(1)   8  :KZ051038
          Ascii(1)  11  :KZ051038#11
        List (1)   2
          Ascii(1)   8  :KZ051038
          Ascii(1)  11  :KZ051038#12
        List (1)   2
          Ascii(1)   8  :KZ051038
          Ascii(1)  11  :KZ051038#13
        List (1)   2
          Ascii(1)   8  :KZ051038
          Ascii(1)  11  :KZ051038#14
        List (1)   2
          Ascii(1)   8  :KZ051038
          Ascii(1)  11  :KZ051038#15
        List (1)   2
          Ascii(1)   8  :KZ051038
          Ascii(1)  11  :KZ051038#16
        List (1)   2
          Ascii(1)   8  :KZ051038
          Ascii(1)  11  :KZ051038#17
        List (1)   2
          Ascii(1)   8  :KZ051038
          Ascii(1)  11  :KZ051038#18
        List (1)   2
          Ascii(1)   8  :KZ051038
          Ascii(1)  11  :KZ051038#19
        List (1)   2
          Ascii(1)   8  :KZ051038
          Ascii(1)  11  :KZ051038#20
        List (1)   2
          Ascii(1)   8  :KZ051038
          Ascii(1)  11  :KZ051038#21
        List (1)   2
          Ascii(1)   8  :KZ051038
          Ascii(1)  11  :KZ051038#22
        List (1)   2
          Ascii(1)   8  :KZ051038
          Ascii(1)  11  :KZ051038#23
        List (1)   2
          Ascii(1)   8  :KZ051038
          Ascii(1)  11  :KZ051038#24
        List (1)   2
          Ascii(1)  11  :KZ051038.22
          Ascii(1)  11  :KZ051038#25",""
"9","2020/09/27","16:03:32","Send","S6F11","118896 (1D070h)","006C","OFF","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :118896 (1D070h)
  List (1)   0",""
"10","2020/09/27","16:03:32","Recv","S6F12","","006B","OFF","Byte (1)   1  :00",""
"11","2020/09/27","16:03:32","Send","S6F11","106848 (1A160h)","006B","OFF","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :106848 (1A160h)
  List (1)   7
    List (1)   2
      UInt4(1)   4  :131088 (20010h)
      List (1)   1
        Ascii(1)  16  :2020092716033221
    List (1)   2
      UInt4(1)   4  :172048 (2A010h)
      List (1)   1
        UInt1(1)   1  :1 (01h)
    List (1)   2
      UInt4(1)   4  :172064 (2A020h)
      List (1)   1
        Ascii(1)   8  :KFP08801
    List (1)   2
      UInt4(1)   4  :172080 (2A030h)
      List (1)   1
        Ascii(1)   5  :FIMS1
    List (1)   2
      UInt4(1)   4  :172096 (2A040h)
      List (1)   1
        List (1)  25
          UInt1(1)   1  :3 (03h)
          UInt1(1)   1  :3 (03h)
          UInt1(1)   1  :3 (03h)
          UInt1(1)   1  :3 (03h)
          UInt1(1)   1  :3 (03h)
          UInt1(1)   1  :3 (03h)
          UInt1(1)   1  :3 (03h)
          UInt1(1)   1  :3 (03h)
          UInt1(1)   1  :3 (03h)
          UInt1(1)   1  :3 (03h)
          UInt1(1)   1  :3 (03h)
          UInt1(1)   1  :3 (03h)
          UInt1(1)   1  :3 (03h)
          UInt1(1)   1  :3 (03h)
          UInt1(1)   1  :3 (03h)
          UInt1(1)   1  :3 (03h)
          UInt1(1)   1  :3 (03h)
          UInt1(1)   1  :3 (03h)
          UInt1(1)   1  :3 (03h)
          UInt1(1)   1  :3 (03h)
          UInt1(1)   1  :3 (03h)
          UInt1(1)   1  :3 (03h)
          UInt1(1)   1  :3 (03h)
          UInt1(1)   1  :3 (03h)
          UInt1(1)   1  :3 (03h)
    List (1)   2
      UInt4(1)   4  :172128 (2A060h)
      List (1)   1
        UInt1(1)   1  :0 (00h)
    List (1)   2
      UInt4(1)   4  :172176 (2A090h)
      List (1)   1
        UInt1(1)   1  :1 (01h)",""
"12","2020/09/27","16:03:32","Recv","S6F6","","006A","OFF","Byte (1)   1  :00",""
"13","2020/09/27","16:03:32","Send","S6F5","","006A","ON","List (1)   2
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :257 (101h)",""
"14","2020/09/27","16:03:32","Recv","S6F12","","0069","OFF","Byte (1)   1  :00",""
"15","2020/09/27","16:03:32","Send","S6F11","94416 (170D0h)","0069","OFF","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :94416 (170D0h)
  List (1)   0",""
"16","2020/09/27","16:03:18","Recv","S6F12","","0068","OFF","Byte (1)   1  :00",""
"17","2020/09/27","16:03:18","Recv","S6F12","","0067","OFF","Byte (1)   1  :00",""
"18","2020/09/27","16:03:18","Send","S6F11","94320 (17070h)","0068","OFF","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :94320 (17070h)
  List (1)   0",""
"19","2020/09/27","16:03:18","Recv","S6F12","","0066","OFF","Byte (1)   1  :00",""
"20","2020/09/27","16:03:18","Send","S6F11","94384 (170B0h)","0067","OFF","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :94384 (170B0h)
  List (1)   0",""
"21","2020/09/27","16:03:18","Send","S6F11","107392 (1A380h)","0066","OFF","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :107392 (1A380h)
  List (1)   0",""
"22","2020/09/27","16:03:13","Recv","S6F12","","0065","OFF","Byte (1)   1  :00",""
"23","2020/09/27","16:03:13","Send","S6F11","106752 (1A100h)","0065","OFF","List (1)   3
  UInt4(1)   4  :1 (01h)
  UInt4(1)   4  :106752 (1A100h)
  List (1)   0",""
"24","2020/09/27","16:03:13","Send","S3F18","","0019","OFF","List (1)   2
  UInt1(1)   1  :0 (00h)
  List (1)   0",""
"25","2020/09/27","16:03:12","Recv","S3F17","","0019","ON","List (1)   5
  UInt4(1)   4  :1 (01h)
  Ascii(1)  18  :ProceedWithCarrier
  Ascii(1)   8  :KFP08801
  UInt1(1)   1  :1 (01h)
  List (1)   0",""
"26","2020/09/27","16:03:11","Send","S16F22","","0017","OFF","UInt2(1)   2  :112 (70h)",""
"27","2020/09/27","16:03:11","Recv","S16F21","","0017","ON","",""
