FileName = C:\Users\pmaddox\Documents\ASMA Platform Group\Customer and Lab\Samsung\CommLost\08Feb2018\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_24

LogCount = 1625
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit"
"0","02/08","14:15:55","Send","S6F1","","191F","OFF",
"1","02/08","14:15:55","Recv","S6F6","","191E","OFF",
"2","02/08","14:15:55","Send","S6F5","","191E","ON",
"3","02/08","14:15:54","Send","S6F11","105298 (19B52h)","191D","OFF",
"4","02/08","14:15:54","Recv","S6F6","","191C","OFF",
"5","02/08","14:15:54","Send","S6F5","","191C","ON",
"6","02/08","14:15:54","Send","S6F1","","191B","OFF",
"7","02/08","14:15:54","Send","S6F1","","191A","OFF",
"8","02/08","14:15:53","Send","S6F1","","1919","OFF",
"9","02/08","14:15:53","Send","S6F1","","1918","OFF",
"10","02/08","14:15:53","Send","S6F1","","1917","OFF",
"11","02/08","14:15:53","Send","S6F1","","1916","OFF",
"12","02/08","14:15:52","Send","S6F1","","1915","OFF",
"13","02/08","14:15:52","Send","S6F1","","1914","OFF",
"14","02/08","14:15:52","Send","S6F1","","1913","OFF",
"15","02/08","14:15:52","Send","S6F1","","1912","OFF",
"16","02/08","14:15:51","Send","S6F1","","1911","OFF",
"17","02/08","14:15:51","Send","S6F1","","1910","OFF",
"18","02/08","14:15:51","Send","S6F11","105268 (19B34h)","190F","OFF",
"19","02/08","14:15:51","Send","S6F11","102416 (19010h)","190E","OFF",
"20","02/08","14:15:51","Send","S6F11","105300 (19B54h)","190D","OFF",
"21","02/08","14:15:51","Recv","S6F6","","190B","OFF",
"22","02/08","14:15:51","Send","S6F1","","190C","OFF",
"23","02/08","14:15:51","Send","S6F5","","190B","ON",
"24","02/08","14:15:51","Send","S6F1","","190A","OFF",
"25","02/08","14:15:51","Send","S6F11","105266 (19B32h)","1909","OFF",
"26","02/08","14:15:51","Send","S6F11","102416 (19010h)","1908","OFF",
"27","02/08","14:15:51","Send","S6F11","105282 (19B42h)","1907","OFF",
"28","02/08","14:15:50","Send","S6F1","","1906","OFF",
"29","02/08","14:15:50","Send","S6F1","","1905","OFF",
"30","02/08","14:15:50","Recv","S6F6","","1904","OFF",
"31","02/08","14:15:50","Send","S6F5","","1904","ON",
"32","02/08","14:15:50","Send","S6F11","105298 (19B52h)","1903","OFF",
"33","02/08","14:15:50","Recv","S6F6","","1902","OFF",
"34","02/08","14:15:50","Send","S6F5","","1902","ON",
"35","02/08","14:15:50","Send","S6F1","","1901","OFF",
"36","02/08","14:15:50","Send","S6F1","","1900","OFF",
"37","02/08","14:15:49","Send","S6F11","105268 (19B34h)","18FF","OFF",
"38","02/08","14:15:49","Send","S6F11","102416 (19010h)","18FE","OFF",
"39","02/08","14:15:49","Send","S6F11","105300 (19B54h)","18FD","OFF",
"40","02/08","14:15:49","Recv","S6F6","","18FA","OFF",
"41","02/08","14:15:49","Send","S6F1","","18FC","OFF",
"42","02/08","14:15:49","Send","S6F1","","18FB","OFF",
"43","02/08","14:15:49","Send","S6F5","","18FA","ON",
"44","02/08","14:15:49","Send","S6F11","105266 (19B32h)","18F9","OFF",
"45","02/08","14:15:49","Send","S6F11","102416 (19010h)","18F8","OFF",
"46","02/08","14:15:49","Send","S6F1","","18F7","OFF",
"47","02/08","14:15:49","Send","S6F11","105282 (19B42h)","18F6","OFF",
"48","02/08","14:15:49","Send","S6F1","","18F5","OFF",
"49","02/08","14:15:48","Recv","S6F6","","18F4","OFF",
"50","02/08","14:15:48","Send","S6F5","","18F4","ON",
"51","02/08","14:15:48","Send","S6F11","105298 (19B52h)","18F3","OFF",
"52","02/08","14:15:48","Recv","S6F6","","18F2","OFF",
"53","02/08","14:15:48","Send","S6F5","","18F2","ON",
"54","02/08","14:15:48","Send","S6F1","","18F1","OFF",
"55","02/08","14:15:48","Send","S6F1","","18F0","OFF",
"56","02/08","14:15:48","Send","S6F1","","18EF","OFF",
"57","02/08","14:15:48","Send","S6F1","","18EE","OFF",
"58","02/08","14:15:47","Send","S6F1","","18ED","OFF",
"59","02/08","14:15:47","Send","S6F1","","18EC","OFF",
"60","02/08","14:15:47","Send","S6F1","","18EB","OFF",
"61","02/08","14:15:47","Send","S6F1","","18EA","OFF",
"62","02/08","14:15:46","Send","S6F1","","18E9","OFF",
"63","02/08","14:15:46","Send","S6F1","","18E8","OFF",
"64","02/08","14:15:46","Send","S6F1","","18E7","OFF",
"65","02/08","14:15:46","Send","S6F1","","18E6","OFF",
"66","02/08","14:15:45","Send","S6F1","","18E5","OFF",
"67","02/08","14:15:45","Send","S6F1","","18E4","OFF",
"68","02/08","14:15:45","Send","S6F1","","18E3","OFF",
"69","02/08","14:15:45","Send","S6F1","","18E2","OFF",
"70","02/08","14:15:44","Send","S6F1","","18E1","OFF",
"71","02/08","14:15:44","Send","S6F1","","18E0","OFF",
"72","02/08","14:15:44","Send","S6F1","","18DF","OFF",
"73","02/08","14:15:43","Send","S6F1","","18DE","OFF",
"74","02/08","14:15:43","Send","S6F1","","18DD","OFF",
"75","02/08","14:15:43","Send","S6F1","","18DC","OFF",
"76","02/08","14:15:43","Send","S6F1","","18DB","OFF",
"77","02/08","14:15:43","Send","S6F1","","18DA","OFF",
"78","02/08","14:15:42","Send","S6F1","","18D9","OFF",
