FileName = C:\Users\tnguyen02\Documents\OneComm Escalation\Samsung\300130350-Event Delay\B6269_SAS_MsgLost\Data Collection\08Feb2018\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_09

LogCount = 1276
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit"
"0","02/08","13:08:44","Send","S6F1","","D200","OFF",
"1","02/08","13:08:44","Send","S6F1","","D1FF","OFF",
"2","02/08","13:08:44","Send","S6F1","","D1FE","OFF",
"3","02/08","13:08:43","Send","S6F1","","D1FD","OFF",
"4","02/08","13:08:43","Send","S6F1","","D1FC","OFF",
"5","02/08","13:08:43","Send","S6F1","","D1FB","OFF",
"6","02/08","13:08:43","Send","S6F1","","D1FA","OFF",
"7","02/08","13:08:42","Send","S6F1","","D1F9","OFF",
"8","02/08","13:08:42","Send","S6F1","","D1F8","OFF",
"9","02/08","13:08:42","Send","S6F1","","D1F7","OFF",
"10","02/08","13:08:42","Send","S6F1","","D1F6","OFF",
"11","02/08","13:08:41","Send","S6F1","","D1F5","OFF",
"12","02/08","13:08:41","Send","S6F1","","D1F4","OFF",
"13","02/08","13:08:41","Send","S6F1","","D1F3","OFF",
"14","02/08","13:08:41","Send","S6F1","","D1F2","OFF",
"15","02/08","13:08:40","Send","S6F1","","D1F1","OFF",
"16","02/08","13:08:40","Send","S6F1","","D1F0","OFF",
"17","02/08","13:08:40","Send","S6F1","","D1EF","OFF",
"18","02/08","13:08:40","Send","S6F1","","D1EE","OFF",
"19","02/08","13:08:39","Send","S6F1","","D1ED","OFF",
"20","02/08","13:08:39","Send","S6F1","","D1EC","OFF",
"21","02/08","13:08:39","Send","S6F1","","D1EB","OFF",
"22","02/08","13:08:39","Send","S6F1","","D1EA","OFF",
"23","02/08","13:08:38","Send","S6F1","","D1E9","OFF",
"24","02/08","13:08:38","Send","S6F1","","D1E8","OFF",
"25","02/08","13:08:38","Send","S6F1","","D1E7","OFF",
"26","02/08","13:08:38","Send","S6F1","","D1E6","OFF",
"27","02/08","13:08:37","Send","S6F1","","D1E5","OFF",
"28","02/08","13:08:37","Send","S6F1","","D1E4","OFF",
"29","02/08","13:08:37","Send","S6F1","","D1E3","OFF",
"30","02/08","13:08:37","Send","S6F1","","D1E2","OFF",
"31","02/08","13:08:36","Send","S6F1","","D1E1","OFF",
"32","02/08","13:08:36","Send","S6F1","","D1E0","OFF",
"33","02/08","13:08:36","Send","S6F1","","D1DF","OFF",
"34","02/08","13:08:36","Send","S6F1","","D1DE","OFF",
"35","02/08","13:08:35","Send","S6F1","","D1DD","OFF",
"36","02/08","13:08:35","Send","S6F1","","D1DC","OFF",
"37","02/08","13:08:35","Send","S6F1","","D1DB","OFF",
"38","02/08","13:08:35","Send","S6F1","","D1DA","OFF",
"39","02/08","13:08:34","Send","S6F1","","D1D9","OFF",
"40","02/08","13:08:34","Send","S6F1","","D1D8","OFF",
"41","02/08","13:08:34","Send","S6F1","","D1D7","OFF",
"42","02/08","13:08:34","Send","S6F1","","D1D6","OFF",
"43","02/08","13:08:33","Send","S6F1","","D1D5","OFF",
"44","02/08","13:08:33","Send","S6F1","","D1D4","OFF",
"45","02/08","13:08:33","Send","S6F1","","D1D3","OFF",
"46","02/08","13:08:33","Send","S6F1","","D1D2","OFF",
"47","02/08","13:08:32","Send","S6F1","","D1D1","OFF",
"48","02/08","13:08:32","Send","S6F1","","D1D0","OFF",
"49","02/08","13:08:32","Send","S6F1","","D1CF","OFF",
"50","02/08","13:08:32","Send","S6F1","","D1CE","OFF",
"51","02/08","13:08:31","Send","S6F1","","D1CD","OFF",
"52","02/08","13:08:31","Send","S6F1","","D1CC","OFF",
"53","02/08","13:08:31","Send","S6F1","","D1CB","OFF",
"54","02/08","13:08:31","Send","S6F1","","D1CA","OFF",
"55","02/08","13:08:30","Send","S6F1","","D1C9","OFF",
"56","02/08","13:08:30","Send","S6F1","","D1C8","OFF",
"57","02/08","13:08:30","Send","S6F1","","D1C7","OFF",
"58","02/08","13:08:30","Send","S6F1","","D1C6","OFF",
"59","02/08","13:08:29","Send","S6F1","","D1C5","OFF",
"60","02/08","13:08:29","Send","S6F1","","D1C4","OFF",
"61","02/08","13:08:29","Send","S6F1","","D1C3","OFF",
"62","02/08","13:08:29","Send","S6F1","","D1C2","OFF",
"63","02/08","13:08:28","Send","S6F1","","D1C1","OFF",
"64","02/08","13:08:28","Send","S6F1","","D1C0","OFF",
