FileName = C:\Users\pmaddox\Documents\ASMA Platform Group\Customer and Lab\Samsung\CommLost\08Feb2018\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_21

LogCount = 1480
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit"
"0","02/08","13:56:16","Send","S6F1","","0851","OFF",
"1","02/08","13:56:16","Send","S6F1","","0850","OFF",
"2","02/08","13:56:15","Send","S6F1","","084F","OFF",
"3","02/08","13:56:15","Send","S6F1","","084E","OFF",
"4","02/08","13:56:15","Send","S6F1","","084D","OFF",
"5","02/08","13:56:15","Send","S6F1","","084C","OFF",
"6","02/08","13:56:14","Send","S6F1","","084B","OFF",
"7","02/08","13:56:14","Send","S6F1","","084A","OFF",
"8","02/08","13:56:14","Send","S6F1","","0849","OFF",
"9","02/08","13:56:14","Send","S6F1","","0848","OFF",
"10","02/08","13:56:13","Send","S6F1","","0847","OFF",
"11","02/08","13:56:13","Send","S6F1","","0846","OFF",
"12","02/08","13:56:13","Send","S6F1","","0845","OFF",
"13","02/08","13:56:13","Send","S6F1","","0844","OFF",
"14","02/08","13:56:12","Send","S6F1","","0843","OFF",
"15","02/08","13:56:12","Send","S6F1","","0842","OFF",
"16","02/08","13:56:12","Send","S6F1","","0841","OFF",
"17","02/08","13:56:12","Send","S6F1","","0840","OFF",
"18","02/08","13:56:11","Send","S6F1","","083F","OFF",
"19","02/08","13:56:11","Send","S6F1","","083E","OFF",
"20","02/08","13:56:11","Send","S6F1","","083D","OFF",
"21","02/08","13:56:11","Send","S6F1","","083C","OFF",
"22","02/08","13:56:10","Send","S6F1","","083B","OFF",
"23","02/08","13:56:10","Send","S6F1","","083A","OFF",
"24","02/08","13:56:10","Send","S6F1","","0839","OFF",
"25","02/08","13:56:10","Send","S6F1","","0838","OFF",
"26","02/08","13:56:09","Send","S6F1","","0837","OFF",
"27","02/08","13:56:09","Send","S6F1","","0836","OFF",
"28","02/08","13:56:09","Send","S6F1","","0835","OFF",
"29","02/08","13:56:09","Send","S6F1","","0834","OFF",
"30","02/08","13:56:09","Send","S6F11","105266 (19B32h)","0833","OFF",
"31","02/08","13:56:08","Send","S6F11","102416 (19010h)","0832","OFF",
"32","02/08","13:56:08","Send","S6F11","105282 (19B42h)","0831","OFF",
"33","02/08","13:56:08","Recv","S6F6","","0830","OFF",
"34","02/08","13:56:08","Send","S6F5","","0830","ON",
"35","02/08","13:56:08","Send","S6F1","","082F","OFF",
"36","02/08","13:56:08","Send","S6F1","","082E","OFF",
"37","02/08","13:56:08","Send","S6F11","105298 (19B52h)","082D","OFF",
"38","02/08","13:56:08","Recv","S6F6","","082C","OFF",
"39","02/08","13:56:08","Send","S6F5","","082C","ON",
"40","02/08","13:56:08","Send","S6F1","","082B","OFF",
"41","02/08","13:56:08","Send","S6F1","","082A","OFF",
"42","02/08","13:56:07","Send","S6F1","","0829","OFF",
"43","02/08","13:56:07","Send","S6F1","","0828","OFF",
"44","02/08","13:56:07","Send","S6F11","105266 (19B32h)","0827","OFF",
"45","02/08","13:56:07","Send","S6F11","102432 (19020h)","0826","OFF",
"46","02/08","13:56:07","Send","S6F1","","0825","OFF",
"47","02/08","13:56:07","Send","S6F1","","0824","OFF",
"48","02/08","13:56:06","Send","S6F11","77922 (13062h)","0823","OFF",
"49","02/08","13:56:06","Send","S6F11","119056 (1D110h)","0822","OFF",
"50","02/08","13:56:06","Recv","S6F6","","0821","OFF",
"51","02/08","13:56:06","Send","S6F5","","0821","ON",
"52","02/08","13:56:06","Send","S6F1","","0820","OFF",
"53","02/08","13:56:06","Send","S6F1","","081F","OFF",
"54","02/08","13:56:06","Send","S6F1","","081E","OFF",
"55","02/08","13:56:06","Send","S6F1","","081D","OFF",
"56","02/08","13:56:05","Send","S6F1","","081C","OFF",
"57","02/08","13:56:05","Send","S6F1","","081B","OFF",
"58","02/08","13:56:05","Send","S6F1","","081A","OFF",
"59","02/08","13:56:05","Send","S6F1","","0819","OFF",
"60","02/08","13:56:04","Send","S6F1","","0818","OFF",
"61","02/08","13:56:04","Send","S6F1","","0817","OFF",
"62","02/08","13:56:04","Send","S6F1","","0816","OFF",
"63","02/08","13:56:04","Send","S6F1","","0815","OFF",
"64","02/08","13:56:03","Send","S6F1","","0814","OFF",
"65","02/08","13:56:03","Send","S6F1","","0813","OFF",
"66","02/08","13:56:03","Send","S6F11","105268 (19B34h)","0812","OFF",
"67","02/08","13:56:03","Send","S6F11","102416 (19010h)","0811","OFF",
"68","02/08","13:56:03","Send","S6F1","","0810","OFF",
"69","02/08","13:56:03","Send","S6F1","","080F","OFF",
"70","02/08","13:56:03","Send","S6F1","","080E","OFF",
"71","02/08","13:56:02","Send","S6F1","","080D","OFF",
"72","02/08","13:56:02","Send","S6F1","","080C","OFF",
"73","02/08","13:56:02","Send","S6F1","","080B","OFF",
"74","02/08","13:56:02","Send","S6F1","","080A","OFF",
