//
//	Scripted by THINH NGUYEN
//  File: Ceids.txt
//	Version: 1.0
//	Date: Mon Mar  5 16:31:37 2018
//
// This file is to configure all CEIDs. WARNING!!! DO NOT_EDIT without reading first.
// All comments should follow the format being used and seen.
// The last line should be an empty line.
//
// This is a typical way to express an CEID.
//   ceid		is id of the ceid
//   name		is name of the ceid
//
// ceid		name
//
69648 EquipmentOFF-LINE
69664 ControlStateLOCAL
69680 ControlStateREMOTE
73744 IssueOperatorCommand
73760 ConfirmTerminalMessage
77840 ProcessStarted
77856 ProcessCompleted
77872 ProcessStopped
77888 ProcessStateChanged
77905 RC1StateChanged
77906 RC2StateChanged
77907 RC3StateChanged
77908 RC4StateChanged
77909 RC5StateChanged
81937 RC1LimitAI0
85009 RC1LimitAI64
81938 RC2LimitAI0
85010 RC2LimitAI64
81939 RC3LimitAI0
85011 RC3LimitAI64
81940 RC4LimitAI0
85012 RC4LimitAI64
81941 RC5LimitAI0
85013 RC5LimitAI64
82961 RC1LimitTI0
79633 RC1LimitTI32
82962 RC2LimitTI0
79634 RC2LimitTI32
82963 RC3LimitTI0
79635 RC3LimitTI32
82964 RC4LimitTI0
79636 RC4LimitTI32
82965 RC5LimitTI0
79637 RC5LimitTI32
83473 RC1LimitDI0
85521 RC1LimitDI96
80145 RC1LimitDI144
83474 RC2LimitDI0
85522 RC2LimitDI96
80146 RC2LimitDI144
83475 RC3LimitDI0
85523 RC3LimitDI96
80147 RC3LimitDI144
83476 RC4LimitDI0
85524 RC4LimitDI96
80148 RC4LimitDI144
83477 RC5LimitDI0
85525 RC5LimitDI96
80149 RC5LimitDI144
86288 WLLimitAI0
86544 WLLimitSAI0
87056 WLLimitDI0
78339 LL1PurgeStart
78340 LL1PurgeFinish
78341 LL2PurgeStart
78342 LL2PurgeFinish
78352 WaferMovedStartFERbtALN
78368 WaferMovedFinishFERbtALN
78384 WaferMovedStartALNFERbt
78400 WaferMovedFinishALNFERbt
78033 WaferMovedStartLP1FERbt
78034 WaferMovedStartLP2FERbt
78035 WaferMovedStartLP3FERbt
78036 WaferMovedStartLP4FERbt
78049 WaferMovedFinishLP1FERbt
78050 WaferMovedFinishLP2FERbt
78051 WaferMovedFinishLP3FERbt
78052 WaferMovedFinishLP4FERbt
78065 WaferMovedStartFERbtLL1
78066 WaferMovedStartFERbtLL2
78081 WaferMovedFinishFERbtLL1
